modismo,ejemplo_real,Amazon_Nova_Micro_V1_sinonimo,Amazon_Nova_Micro_V1_ejemplo_con_sinonimo,Cohere_Command_R_08_2024_sinonimo,Cohere_Command_R_08_2024_ejemplo_con_sinonimo
acatar,Sólo cuando descargamos el mercado acatamos que se nos habían quedado los plátanos en la casa del compadre.,reconocer la verdad,Sólo cuando descargamos el mercado reconocer la verdad que se nos habían quedado los plátanos en la casa del compadre.,obedecer,Sólo cuando descargamos el mercado obedecer que se nos habían quedado los plátanos en la casa del compadre.
accesar,Para accesar al sistema debes introducir tu contraseña.,entrar al sistema,Para entrar al sistema al sistema debes introducir tu contraseña.,entrar,Para entrar al sistema debes introducir tu contraseña.
aceite,Los camioneros le midieron el aceite al nuevo ministro amenazándolo con un paro de transportadores que nunca pensaron llevar a cabo.,amenazar,Los camioneros le midieron el amenazar al nuevo ministro amenazándolo con un paro de transportadores que nunca pensaron llevar a cabo.,provocación,Los camioneros le midieron el provocación al nuevo ministro amenazándolo con un paro de transportadores que nunca pensaron llevar a cabo.
acelerado,"Sus amigos dicen que Angelita es muy acelerada, pero que siempre tiene iniciativa y es muy decidida.",decidido rápido,"Sus amigos dicen que Angelita es muy decidido rápido, pero que siempre tiene iniciativa y es muy decidida.",impulsiva,"Sus amigos dicen que Angelita es muy impulsiva, pero que siempre tiene iniciativa y es muy decidida."
acelere,El acelere de la Administración Municipal conlleva a graves errores en los cálculos de la tributación.,aumento rápido,El aumento rápido de la Administración Municipal conlleva a graves errores en los cálculos de la tributación.,prisa,El prisa de la Administración Municipal conlleva a graves errores en los cálculos de la tributación.
acema,"Que uno vaya a una casa a realizar un pesebre y le tengan su chocolate, su pedazo de queso, su pedazo de acema, se ve muy tradicional.",pan de centeno,"Que uno vaya a una casa a realizar un pesebre y le tengan su chocolate, su pedazo de queso, su pedazo de pan de centeno, se ve muy tradicional.",bizcochuelo,"Que uno vaya a una casa a realizar un pesebre y le tengan su chocolate, su pedazo de queso, su pedazo de bizcochuelo, se ve muy tradicional."
achacado,"Volvió más achacado, entonces lo trajeron a la clínica. Pero él es fuerte y se está reponiendo.",enfermo,"Volvió más enfermo, entonces lo trajeron a la clínica. Pero él es fuerte y se está reponiendo.",enfermo,"Volvió más enfermo, entonces lo trajeron a la clínica. Pero él es fuerte y se está reponiendo."
achajuanado,Los dos viajeros llegaron a la posada hambrientos y achajuanados.,cansado extremo,Los dos viajeros llegaron a la posada hambrientos y cansado extremos.,cansado,Los dos viajeros llegaron a la posada hambrientos y cansados.
achantado,"Así que empecé a devolverme y un poco achantado miraba atrás constantemente, en un intento por mantener la esperanza de llegar a verla.",asustado,"Así que empecé a devolverme y un poco asustado miraba atrás constantemente, en un intento por mantener la esperanza de llegar a verla.",temeroso,"Así que empecé a devolverme y un poco temeroso miraba atrás constantemente, en un intento por mantener la esperanza de llegar a verla."
achantar,"No se dejó achantar, decidió irse por el lado de la percusión rítmica y ahí, por fin, llegó el swing esperado.",asustar,"No se dejó asustar, decidió irse por el lado de la percusión rítmica y ahí, por fin, llegó el swing esperado.",amedrentar,"No se dejó amedrentar, decidió irse por el lado de la percusión rítmica y ahí, por fin, llegó el swing esperado."
achante,Andaba en un achante porque nadie lo había felicitado de cumpleaños en el colegio.,enojado,Andaba en un enojado porque nadie lo había felicitado de cumpleaños en el colegio.,aburrido,Andaba en un aburrido porque nadie lo había felicitado de cumpleaños en el colegio.
achapado,"Es muy achapado, dijo que quería ir al baño cuando ya íbamos a pagar.",pedir ir al baño,"Es muy pedir ir al baño, dijo que quería ir al baño cuando ya íbamos a pagar.",maleducado,"Es muy maleducado, dijo que quería ir al baño cuando ya íbamos a pagar."
achicar,"Mijo, ayúdeme a achicar la champa para que no se nos hunda.",bajar el agua,"Mijo, ayúdeme a bajar el agua la champa para que no se nos hunda.",reducir,"Mijo, ayúdeme a reducir la champa para que no se nos hunda."
achicharrar,"Los campos se secaron y se achicharraron por la falta de lluvia, y las cosechas se marchitaban de sed.",secarse y quemarse,"Los campos se secaron y se secarse y quemarseon por la falta de lluvia, y las cosechas se marchitaban de sed.",quemar,"Los campos se secaron y se quemaron por la falta de lluvia, y las cosechas se marchitaban de sed."
achicopalado,"Carajo, me hace falta Estelita hoy para subirme el ánimo, porque estoy achicopalada.",sin ánimo,"Carajo, me hace falta Estelita hoy para subirme el ánimo, porque estoy sin ánimo.",deprimida,"Carajo, me hace falta Estelita hoy para subirme el ánimo, porque estoy deprimida."
achicopalar,"Hay que sacarle también jugo a la experiencia, y eso depende de nosotras mismas, de no dejarnos achicopalar.",no achicharrar,"Hay que sacarle también jugo a la experiencia, y eso depende de nosotras mismas, de no dejarnos no achicharrar.",amedrentar,"Hay que sacarle también jugo a la experiencia, y eso depende de nosotras mismas, de no dejarnos amedrentar."
achilado,"Fue una música que los padres detestaron porque venía de personajes con el pelo lacio, largo y caótico, de barbas achiladas y guitarras destrozadas.",barbas cortas,"Fue una música que los padres detestaron porque venía de personajes con el pelo lacio, largo y caótico, de barbas barbas cortas y guitarras destrozadas.",encrespado,"Fue una música que los padres detestaron porque venía de personajes con el pelo lacio, largo y caótico, de barbas encrespado y guitarras destrozadas."
achilar,Se le achila el pelo a pesar de gastar fortunas en cuidados y tratamientos.,perder cabello,Se le perder cabello el pelo a pesar de gastar fortunas en cuidados y tratamientos.,caer,Se le caer el pelo a pesar de gastar fortunas en cuidados y tratamientos.
achiote,El achiote crece y se desarrolla en muy buenas condiciones desde el nivel del mar hasta los 1.200 metros de altura.,árbol de achiote,El árbol de achiote crece y se desarrolla en muy buenas condiciones desde el nivel del mar hasta los 1.200 metros de altura.,planta,El planta crece y se desarrolla en muy buenas condiciones desde el nivel del mar hasta los 1.200 metros de altura.
achiquitar,"No metas tu ropa de lana en la secadora, ya que se puede rasgar y achiquitar.",encoger,"No metas tu ropa de lana en la secadora, ya que se puede rasgar y encoger.",encoger,"No metas tu ropa de lana en la secadora, ya que se puede rasgar y encoger."
achira,"Por su buen tamaño, su color verde intenso y un sabor muy agradable, en algunas regiones de Colombia los tamales se envuelven en hojas de achira y no de plátano.",hojas de achira,"Por su buen tamaño, su color verde intenso y un sabor muy agradable, en algunas regiones de Colombia los tamales se envuelven en hojas de hojas de achira y no de plátano.",plátano,"Por su buen tamaño, su color verde intenso y un sabor muy agradable, en algunas regiones de Colombia los tamales se envuelven en hojas de plátano y no de plátano."
achucado,Está como achucado por esa tos.,tos persistente,Está como tos persistente por esa tos.,afectado,Está como afectado por esa tos.
achucarse,Me achuqué ayer por comer rápido y casi muero.,tener un ataque,Me tener un ataque ayer por comer rápido y casi muero.,indispuesto,Me indispuesto ayer por comer rápido y casi muero.
achín,"También está la papa china o achín, un tubérculo parecido a la yuca, de gran tamaño y de sabor delicado, con la que se pueden preparar sudados y purés para acompañar pollo o mariscos.",papa china,"También está la papa china o papa china, un tubérculo parecido a la yuca, de gran tamaño y de sabor delicado, con la que se pueden preparar sudados y purés para acompañar pollo o mariscos.",papa china,"También está la papa china o papa china, un tubérculo parecido a la yuca, de gran tamaño y de sabor delicado, con la que se pueden preparar sudados y purés para acompañar pollo o mariscos."
aco,"Para preparar el aco, tostaba la linaza en callana y después se la molía; se cernía en cedazo muy fino y esta harina se la preparaba con panela rallada.",harina de linaza,"Para preparar el harina de linaza, tostaba la linaza en callana y después se la molía; se cernía en cedazo muy fino y esta harina se la preparaba con panela rallada.",bebida,"Para preparar el bebida, tostaba la linaza en callana y después se la molía; se cernía en cedazo muy fino y esta harina se la preparaba con panela rallada."
acobalar,"El taller ofrece chalecos, cascos, forros, mecánica en general, servicio electrónico, y técnicos en radiar y acobalar toda clase de rines.",reparar rines,"El taller ofrece chalecos, cascos, forros, mecánica en general, servicio electrónico, y técnicos en radiar y reparar rines toda clase de rines.",reparar,"El taller ofrece chalecos, cascos, forros, mecánica en general, servicio electrónico, y técnicos en radiar y reparar toda clase de rines."
acolitar,"Antes de enviudar, su esposo le acolitó su voluntariado, como también le auspició sus clases de cocina.",apoyar actividades,"Antes de enviudar, su esposo le apoyar actividades su voluntariado, como también le auspició sus clases de cocina.",apoyar,"Antes de enviudar, su esposo le apoyar su voluntariado, como también le auspició sus clases de cocina."
acomedirse,"Como vieron que no podía solo, varios de sus compañeros rápidamente se acomidieron y con la fuerza de siete hombres, la pesada puerta se abrió lentamente.",ayudar,"Como vieron que no podía solo, varios de sus compañeros rápidamente se ayudar y con la fuerza de siete hombres, la pesada puerta se abrió lentamente.",ofrecerse,"Como vieron que no podía solo, varios de sus compañeros rápidamente se ofrecerse y con la fuerza de siete hombres, la pesada puerta se abrió lentamente."
acondicionar,"Pensando en la calidad de vida de los discapacitados, la empresa ofrece acondicionar los vehículos y así mejorar su movilidad.",adaptar vehículos,"Pensando en la calidad de vida de los discapacitados, la empresa ofrece adaptar vehículos los vehículos y así mejorar su movilidad.",adaptar,"Pensando en la calidad de vida de los discapacitados, la empresa ofrece adaptar los vehículos y así mejorar su movilidad."
acordeonero,Estos conjuntos clásicos se caracterizaban porque el acordeonero era el mismo cantante y se hacía acompañar de una caja y una guacharaca.,cantante de acordeón,Estos conjuntos clásicos se caracterizaban porque el cantante de acordeón era el mismo cantante y se hacía acompañar de una caja y una guacharaca.,intérprete de acordeón,Estos conjuntos clásicos se caracterizaban porque el intérprete de acordeón era el mismo cantante y se hacía acompañar de una caja y una guacharaca.
acose,Pero qué acose el tuyo. Al menos espera a que lleguemos a la casa.,corre mucho,Pero qué corre mucho el tuyo. Al menos espera a que lleguemos a la casa.,descuido,Pero qué descuido el tuyo. Al menos espera a que lleguemos a la casa.
acosón,"Soy muy exigente, muy acosón y me exijo a mí mismo. Discutir conmigo no es fácil, pero cedo ante las razones de la inteligencia.",exigencia,"Soy muy exigente, muy exigencia y me exijo a mí mismo. Discutir conmigo no es fácil, pero cedo ante las razones de la inteligencia.",exigente,"Soy muy exigente, muy exigente y me exijo a mí mismo. Discutir conmigo no es fácil, pero cedo ante las razones de la inteligencia."
acotejar,Se están acotejando las pruebas para demostrar que financieramente esta empresa no puede asumir el contrato.,recopilar evidencia,Se están recopilar evidencia las pruebas para demostrar que financieramente esta empresa no puede asumir el contrato.,reunir,Se están reunir las pruebas para demostrar que financieramente esta empresa no puede asumir el contrato.
acudiente,El rector informó que el desconocido ingresó como cualquier acudiente que llega a la institución a traer a un estudiante que viene tarde.,padre o madre,El rector informó que el desconocido ingresó como cualquier padre o madre que llega a la institución a traer a un estudiante que viene tarde.,acompañante,El rector informó que el desconocido ingresó como cualquier acompañante que llega a la institución a traer a un estudiante que viene tarde.
acuerpado,"A la entrada un guardaespaldas de estatura media, acuerpado y de traje negro intenta impedir el ingreso de más personas.",corporeño,"A la entrada un guardaespaldas de estatura media, corporeño y de traje negro intenta impedir el ingreso de más personas.",físicamente fuerte,"A la entrada un guardaespaldas de estatura media, físicamente fuerte y de traje negro intenta impedir el ingreso de más personas."
aculillarse,"Tembló la madre tierra y hasta los más incrédulos, los que no van a misa, se aculillaron, se echaron la bendición y gritaron.",echarse la bendición,"Tembló la madre tierra y hasta los más incrédulos, los que no van a misa, se echarse la bendición, se echaron la bendición y gritaron.",arrodillarse,"Tembló la madre tierra y hasta los más incrédulos, los que no van a misa, se arrodillarse, se echaron la bendición y gritaron."
acurrucarse,"En el momento en que la tierra se empezó a sacudir bruscamente, mi amigo tiró su bicicleta y se acurrucó al lado del barranco.",esconderse cerca,"En el momento en que la tierra se empezó a sacudir bruscamente, mi amigo tiró su bicicleta y se esconderse cerca al lado del barranco.",abriéndose,"En el momento en que la tierra se empezó a sacudir bruscamente, mi amigo tiró su bicicleta y se abriéndose al lado del barranco."
acusaletas,"El niño Jorge Mario se ha ganado la enemistad de sus compañeros, que lo tildan de acusaletas.",delator,"El niño Jorge Mario se ha ganado la enemistad de sus compañeros, que lo tildan de delator.",chivato,"El niño Jorge Mario se ha ganado la enemistad de sus compañeros, que lo tildan de chivato."
acusetas,"Pone en tela de juicio a todo el que se le atraviese, sin que hasta ahora en sus múltiples incursiones de rufián desafiante y acusetas, haya podido probar nada de lo que afirma.",acusar sin pruebas,"Pone en tela de juicio a todo el que se le atraviese, sin que hasta ahora en sus múltiples incursiones de rufián desafiante y acusar sin pruebas, haya podido probar nada de lo que afirma.",sospechoso,"Pone en tela de juicio a todo el que se le atraviese, sin que hasta ahora en sus múltiples incursiones de rufián desafiante y sospechoso, haya podido probar nada de lo que afirma."
acápite,"En los acápites que se leen a continuación, se especifica cuando un hecho doloso puede considerarse como agravado.",párrafo,"En los párrafos que se leen a continuación, se especifica cuando un hecho doloso puede considerarse como agravado.",apartado,"En los apartados que se leen a continuación, se especifica cuando un hecho doloso puede considerarse como agravado."
aeróbicos,La profesora de aeróbicos supervisa que los ejercicios se realicen de forma apropiada.,ejercicios físicos,La profesora de ejercicios físicos supervisa que los ejercicios se realicen de forma apropiada.,entrenamiento físico,La profesora de entrenamiento físico supervisa que los ejercicios se realicen de forma apropiada.
afanar,"- Te veo muy seguro. - Lo he pensado con calma, sin afanarme.",estresarme,"- Te veo muy seguro. - Lo he pensado con calma, sin estresarmeme.",apresurarse,"- Te veo muy seguro. - Lo he pensado con calma, sin apresurarseme."
afiche,¿Le prende veladora al afiche de la selección que tiene autografiado en el cuarto?,carta de fútbol,¿Le prende veladora al carta de fútbol de la selección que tiene autografiado en el cuarto?,cartel,¿Le prende veladora al cartel de la selección que tiene autografiado en el cuarto?
afiebrado,El New York Times destaca que colombianos son los más 'afiebrados' por su selección de fútbol.,entusiasmado,El New York Times destaca que colombianos son los más 'entusiasmados' por su selección de fútbol.,entusiasmados,El New York Times destaca que colombianos son los más 'entusiasmadoss' por su selección de fútbol.
afiebrarse,Con la llegada de los primeros dientes lo más probable es que el niño se afiebre y tenga otras molestias.,tener fiebre,Con la llegada de los primeros dientes lo más probable es que el niño se tener fiebre y tenga otras molestias.,tener fiebre,Con la llegada de los primeros dientes lo más probable es que el niño se tener fiebre y tenga otras molestias.
afilado,Estudiamos en grupos y llegamos a presentar bien afiladas el examen final que tanto nos preocupaba.,respuestas precisas,Estudiamos en grupos y llegamos a presentar bien respuestas precisas el examen final que tanto nos preocupaba.,bien preparados,Estudiamos en grupos y llegamos a presentar bien bien preparados el examen final que tanto nos preocupaba.
afilarse,Tenía planeado trasnochar y afilarse para el examen de admisión.,estudiar,Tenía planeado trasnochar y estudiar para el examen de admisión.,prepararse,Tenía planeado trasnochar y prepararse para el examen de admisión.
afirmativo,"Afirmativo, mi General: en cosa de minutos le traigo al plomero.",estoy de acuerdo,"estoy de acuerdo, mi General: en cosa de minutos le traigo al plomero.",dando la orden,"dando la orden, mi General: en cosa de minutos le traigo al plomero."
aflojachocho,"Todos esos tragos eran bien recibidos por nosotros, sin embargo, yo le hacía fuerza para que mi amiga tomara el popular 'aflojachocho'.",cachaza suave,"Todos esos tragos eran bien recibidos por nosotros, sin embargo, yo le hacía fuerza para que mi amiga tomara el popular 'cachaza suave'.",relax,"Todos esos tragos eran bien recibidos por nosotros, sin embargo, yo le hacía fuerza para que mi amiga tomara el popular 'relax'."
aforar,Si usted considera que su equipaje vale más entonces deberá aforar su equipaje en donde se asegurará y se declarará su valor.,pesar el equipaje,Si usted considera que su equipaje vale más entonces deberá pesar el equipaje su equipaje en donde se asegurará y se declarará su valor.,cotizar,Si usted considera que su equipaje vale más entonces deberá cotizar su equipaje en donde se asegurará y se declarará su valor.
afrijolar,En medio del relajo le afrijolaron dos pepazos en la cabeza y por eso expulsaron al culpable.,golpear fuerte,En medio del relajo le golpear fuerteon dos pepazos en la cabeza y por eso expulsaron al culpable.,golpear,En medio del relajo le golpearon dos pepazos en la cabeza y por eso expulsaron al culpable.
afro,Dentro de un mes se realizará en Medellín la primera muestra de cine y video afro e indígena.,cultura afro,Dentro de un mes se realizará en Medellín la primera muestra de cine y video cultura afro e indígena.,africano,Dentro de un mes se realizará en Medellín la primera muestra de cine y video africano e indígena.
afugias,El proyecto de reelección pasará sin mayores afugias su primera prueba esta semana en el Congreso.,sin problemas,El proyecto de reelección pasará sin mayores sin problemas su primera prueba esta semana en el Congreso.,dificultades,El proyecto de reelección pasará sin mayores dificultades su primera prueba esta semana en el Congreso.
agache,Lo preocupante fue que en la noticia publicada pasaron de agache que la pobreza extrema prácticamente se mantuvo inalterada.,omitieron,Lo preocupante fue que en la noticia publicada pasaron de omitieron que la pobreza extrema prácticamente se mantuvo inalterada.,descuidado,Lo preocupante fue que en la noticia publicada pasaron de descuidado que la pobreza extrema prácticamente se mantuvo inalterada.
agalla,"Creo que se precipitó o se le abrió la agalla, se hubiera esperado un año más y hubiera ganado más dinero.",impaciencia,"Creo que se precipitó o se le abrió la impaciencia, se hubiera esperado un año más y hubiera ganado más dinero.",atención,"Creo que se precipitó o se le abrió la atención, se hubiera esperado un año más y hubiera ganado más dinero."
agalludo,"Ya continuaremos esta crónica de cómo una nación, pequeña pero resuelta, agalluda como ninguna otra, acaba engulléndose a otra.",muy decidido,"Ya continuaremos esta crónica de cómo una nación, pequeña pero resuelta, muy decidido como ninguna otra, acaba engulléndose a otra.",valiente,"Ya continuaremos esta crónica de cómo una nación, pequeña pero resuelta, valiente como ninguna otra, acaba engulléndose a otra."
agarrar,"Fue Tránsito Ariza la que agarró la ocasión al vuelo y mandó a la viuda para el dormitorio del hijo, con el pretexto de que en el suyo no había lugar.",aprovechar oportunidad,"Fue Tránsito Ariza la que aprovechar oportunidad la ocasión al vuelo y mandó a la viuda para el dormitorio del hijo, con el pretexto de que en el suyo no había lugar.",aprovechar,"Fue Tránsito Ariza la que aprovechar la ocasión al vuelo y mandó a la viuda para el dormitorio del hijo, con el pretexto de que en el suyo no había lugar."
agarrón,El agarrón se filtró a los medios y al otro día era la comidilla de las crónicas políticas.,pelea pública,El pelea pública se filtró a los medios y al otro día era la comidilla de las crónicas políticas.,escándalo,El escándalo se filtró a los medios y al otro día era la comidilla de las crónicas políticas.
agonía,Tengo una agonía en el estómago que con gusto me comería tu plato también.,gran hambre,Tengo una gran hambre en el estómago que con gusto me comería tu plato también.,dolor intestinal,Tengo una dolor intestinal en el estómago que con gusto me comería tu plato también.
agrieras,"Últimamente he tenido 'agrieras', que aparecen después de que he comido. Y para eso tomo antiácidos.",reflujo gastroesofágico,"Últimamente he tenido 'reflujo gastroesofágico', que aparecen después de que he comido. Y para eso tomo antiácidos.",acidez estomacal,"Últimamente he tenido 'acidez estomacal', que aparecen después de que he comido. Y para eso tomo antiácidos."
agringarse,"Después de vivir tanto tiempo en Chicago, la verdad poco a poco se le ha ido el acento barranquillero que tenía, ya está empezando a agringarse.",perder acento,"Después de vivir tanto tiempo en Chicago, la verdad poco a poco se le ha ido el acento barranquillero que tenía, ya está empezando a perder acento.",americanizarse,"Después de vivir tanto tiempo en Chicago, la verdad poco a poco se le ha ido el acento barranquillero que tenía, ya está empezando a americanizarse."
agrio,"Su abuela paterna, una mujer agria y dominante, la cuidó desde sus cuatro años.",mala temperamento,"Su abuela paterna, una mujer mala temperamento y dominante, la cuidó desde sus cuatro años.",amargada,"Su abuela paterna, una mujer amargada y dominante, la cuidó desde sus cuatro años."
agripado,Consúltale si tu hijo puede realizar actividades normalmente a pesar de estar agripado.,tener resfriado,Consúltale si tu hijo puede realizar actividades normalmente a pesar de estar tener resfriado.,constipado,Consúltale si tu hijo puede realizar actividades normalmente a pesar de estar constipado.
agropecuario,Siempre que combinaba mal la ropa su tía arribista lo llamaba agropecuario.,vestido inapropiado,Siempre que combinaba mal la ropa su tía arribista lo llamaba vestido inapropiado.,rural,Siempre que combinaba mal la ropa su tía arribista lo llamaba rural.
agua,"Se desarrolló una caracterización física y química de los principales ríos, quebradas y humedales en la época de aguas altas y bajas del Río Orinoco.",nivel de agua,"Se desarrolló una caracterización física y química de los principales ríos, quebradas y humedales en la época de nivel de aguas altas y bajas del Río Orinoco.",niveles del líquido,"Se desarrolló una caracterización física y química de los principales ríos, quebradas y humedales en la época de niveles del líquidos altas y bajas del Río Orinoco."
