abrigar,Calentar los alimentos en la estufa.,Añadir ingredientes para mejorar el sabor de la comida.,Aumentar la temperatura de un alimento para resaltar su sabor.
abrirse,Irse de un lugar.,Comunicar la verdad sin ocultar o engañar.,Revelar la verdad de manera honesta y transparente.
abrochar,Exigirle duramente a alguien que realice una tarea o cumpla con sus deberes.,Recibir una corrección o castigo por no cumplir con una tarea o responsabilidad.,Reprimir o amonestar a alguien con severidad.
abuelita,Cuna portátil para bebé que facilita llevarlo de un sitio a otro.,Un asiento plegable que es cómodo para adultos mayores durante viajes.,"Objeto destinado a facilitar el asiento, con respaldo."
abullonado,"Referido a un mueble o prenda de vestir, relleno o abultado por un material que se expande, utilizado en los textiles con que se recubren o elaboran estos objetos.",Un sofá con pliegues y arrugas que provocan incomodidad física y emocional.,Presentando una deformación o inconveniente en su estructura.
aburria,"Ave de hasta 70 cm de longitud, de cabeza pequeña, cuello largo y delgado, patas amarillas y pico de color azul pálido en la base y oscuro en el extremo.",Una especie de pava que vive en zonas montañosas y es relativamente grande.,
aburrición,Cosa o situación que produce pereza o falta de interés.,Estado de falta de variedad o novedad en una actividad.,Sentimiento de fastidio o monotonía por algo repetitivo.
acabado,"Referido a una persona, con aspecto débil y enfermizo.",En estado de cansancio extremo debido a esfuerzos prolongados o enfermedades.,Indica un nivel extremo de cansancio o fatiga física.
acabarropa,"Referido a una persona, holgazán.",Solicitar una cantidad adicional de dinero sin haber realizado un esfuerzo significativo.,Se refiere a una acción o comportamiento que se realiza sin demasiado cuidado o precaución.
acabose,Acontecimiento irreparable o con el que se llega al extremo de una situación negativa.,Momento en que la situación ya no tiene remedio y todo va a peor.,La conclusión o culminación de algo.
acartonado,"Referido a una persona, poco natural en su comportamiento, esquemática.",Presentarse sin espontaneidad o naturalidad en una actuación.,"Sin expresión o movimiento, falta de flexibilidad."
acatar,Caer en cuenta de algo.,Admitir o aceptar una realidad o una situación que ya existía.,Cumplir con una orden o regla establecida.
accesar,Tener acceso a los datos de un sistema informático.,Abrir una sesión en un programa o plataforma usando credenciales.,Acceder a una zona restringida o a un lugar del sistema.
aceite,Comprobar o evaluar alguien la capacidad de otro sometiéndolo de manera inadvertida a una prueba o situación difícil para determinar el curso posterior de una acción.,Advertir a alguien con la intención de imponer condiciones o causar temor.,"Acción de incitar, incentivar o provocar a otra persona."
acelerado,"Referido a una persona, que actúa con precipitud, impaciencia.",Persona que toma decisiones con prontitud y actúa con determinación.,"Tendencia a actuar sin pensar, siendo impredecible."
acelere,Afán o rapidez exagerada con que se hace algo.,Un incremento acelerado que puede causar problemas en los cálculos.,Estado de apuro o necesidad de actuar con rapidez.
acema,"Pan dulce de forma redonda, elaborado con harina de trigo y bicarbonato sódico y condimentado con anís, papelón y, en ocasiones, queso rallado.","Pan hecho con harina de centeno, tradicional en algunas regiones colombianas.","Repostería dulce y esponjosa, servida en rodajas."
achacado,"Referido a una persona, enferma o débil, especialmente por problemas asociados con la vejez.","En estado de salud deteriorado, necesitando atención médica.",Tiene una dolencia o enfermedad que requiere atención médica.
achajuanado,"Referido a una persona o un animal, sofocado por el calor o el trabajo excesivo.",Muy fatigado o exhausto debido a un esfuerzo prolongado o condiciones adversas.,"Afección de estar fatigado, cansado o exhausto."
achantado,"Referdio a una persona, triste, desencantado.",Sentimiento de temor o miedo que provoca precaución y cautela.,"Con miedo o inseguridad, preocupado por algo."
achantar,Desalentar o hacer perder el ánimo.,No dejarse intimidar o amedrentar por alguien o algo.,Dar miedo o temor a alguien mediante intimidación.
achante,"Depresión, abatimiento.",Sintiendo molestia o irritación por algo que no le gustó.,Sentimiento de desánimo y desaprobación.
achapado,"Referido a una persona, avara, tacaña.",Solicitar permiso para ir al servicio sanitario en un momento inoportuno.,Persona que tiene un comportamiento impetuoso o poco apropiado.
achicar,Extraer el agua que se mete en las embarcaciones al navegar.,Reducir el nivel de agua para evitar hundimiento.,Disminuir el tamaño o volumen de algo.
achicharrar,Tostar demasiado o quemar algo.,Perder humedad y sufrir daño por calor excesivo.,Produce daños irreversibles por altas temperaturas.
achicopalado,"Referido a una persona, triste, desencantado.",Estado de poca energía o motivación para realizar actividades.,"Sentirse triste, abrumado o sin entusiasmo."
achicopalar,Desalentar o hacer perder el ánimo.,No permitir que se nos quite la iniciativa o se nos impida crecer.,Infundir miedo o intimidar a alguien.
achilado,"Referido al cabello o a las plantas, deteriorados o sin la vitalidad que deberían mostrar.",Característica de tener barbas recortadas o afeitadas.,"Caldo o sopa cuya textura ha espesado por alguna causa, dando esa consistencia pegajosa."
achilar,"Perder algo la apariencia de vitalidad que debería tener, especialmente el pelo y las plantas.",Experimentar una reducción en la cantidad de pelo debido a la calvicie o otros factores.,"Perder volumen o densidad, especialmente en cabello o pelo."
achiote,"Arbusto de hasta 5 m de altura, de hojas alternas, flores rosadas o rojas y fruto de color castaño cuyas semillas se usan como colorante o condimento.",Planta que crece en condiciones variadas desde la costa hasta alturas de 1.200 metros.,Organismo viviente autótrofo perteneciente al reino Plantae.
achiquitar,Hacer que algo sea más pequeño de lo normal.,"Reducir el tamaño de un objeto, especialmente telas, por calor excesivo.","Reducir el tamaño de un objeto o prenda, por efecto del calor o uso."
achira,"Planta herbácea, de hasta 3 m de altura, con hojas grandes, flores amarillas, naranjas o rojas; sus hojas sirven para envolver algunos alimentos y de sus rizomas se extrae almidón comestible.",Hojas de la planta achira utilizadas para envoltura de tamales en ciertas regiones.,Fruta con una corteza gruesa y carne comestible.
achucado,"Referido a una persona, atragantado o que tiene dificultades para respirar ya sea por la comida, por enfermedad o por una aspiración.",Una tos que no cesa y causa molestia continua.,Altamente influenciable o perjudicado por una circunstancia o agente externo.
achucarse,"Referido a una persona o un animal, ahogarse con algo que le obstaculiza la garganta.","Experimentar una crisis repentina, como un ataque cardíaco, por comer demasiado rápido.","Sentirse mal o enfermo, posiblemente por comer demasiado rápido."
achín,"Planta herbácea, de hojas de color verde oscuro muy grandes, que se utilizan en el forraje y de tallos comestibles ricos en almidón al cocinarla cambia de blanco a morado.",Un tubérculo grande y suave que se usa para cocinar y acompañar platos.,Nombre específico de un tipo de papa.
aco,"Mezcla de maíz, linaza o cebada tostada y molida con panela o azúcar.",Mezcla de harina fina de linaza tostada y panela rallada.,Una mezcla líquida preparada con linaza tostada y panela.
acobalar,Devolver la simetría a algo que estaba torcido.,Realizar arreglos y mantenimiento en los neumáticos de vehículos.,Restaurar o arreglar algo dañado para volver a utilizarlo.
acolitar,Apoyar a una persona en algún proyecto o idea.,Facilitar o proporcionar apoyo a iniciativas o esfuerzos personales.,Dar respaldo o ayuda a una actividad o causa.
acomedirse,Ofrecerse o ponerse al servicio de otro para hacer algo.,Proveer asistencia para realizar una tarea que uno no puede hacer solo.,Hacer algo de forma voluntaria o generosa para ayudar a otro.
acondicionar,"Modificar las características de algo, agregando un implemento que no es original.",Modificar vehículos para facilitar el acceso y uso por personas con discapacidad.,Hacer las modificaciones necesarias para ajustar algo a una situación específica.
acordeonero,Persona que toca en el acordeón música vallenata o músico que toca el acordeón en el conjunto vallenato.,El músico que canta y toca el acordeón en una banda o conjunto musical.,Persona que interpreta y canta canciones utilizando el acordeón como instrumento principal.
acose,Persecusión o presión causada por la insistencia de alguien.,Se refiere a un vehículo que avanza rápidamente o con prisa.,
acosón,"Referido a una persona, que acostumbra presionar a los demás.",El estado de ser muy riguroso y demandante en uno mismo o en los demás.,Persona que se caracteriza por imponer normas y estándares altos a los demás.
acotejar,"Acomodar, disponer en orden una serie de objetos en un espacio o lugar",Reunir información o documentos para respaldar una afirmación o argumento.,"Acopiar, juntar o acumular elementos para un propósito específico."
acudiente,"Persona mayor de edad, generalmente familiar o amigo, que se hace responsable de un estudiante ante las directivas de una institución escolar.",Persona que acompaña y supervisa a un estudiante en una institución educativa.,Persona que asiste a un lugar en representación de otra.
acuerpado,"Referido a una persona, grande, robusta.","De cuerpo fuerte y musculoso, indicando una persona físicamente robusta.",Que cuenta con una constitución física robusta y bien desarrollada.
aculillarse,Atemorizarse o acobardarse alguien ante una situación.,Pedir protección divina en momentos de peligro o sorpresa.,Quedarse en posición de rodillas.
acurrucarse,Ponerse en posición de cuclillas.,Colocar el cuerpo cerca de algo para protegerse o evitar peligro.,Acercarse a un lugar o cosa para buscar protección.
acusaletas,"Referido a una persona, que tiene por costumbre acusar a otros.",Persona que acusa a otros de manera constante y sin pruebas.,Alguien que informa o delata a otros.
acusetas,"Referido a una persona, que tiene por costumbre acusar a otros.",Hacer acusaciones sin tener evidencia o pruebas para respaldarlas.,"Alguien que manifiesta dudas sobre algo o alguien, buscando pruebas."
acápite,"En un escrito legal, fragmento que aclara o especifica algún aspecto de una ley o un decreto.",Parte de un texto que trata un tema específico dentro de un documento.,Sector o sección específica dentro de un texto o tema.
aeróbicos,Ejercicios físicos que se caracterizan por seguir esquemas rítmicos que generan un alto consumo de oxígeno y por tener acompañamiento musical.,Actividades de movimiento con el objetivo de mejorar la condición física.,Práctica de actividad aeróbica para mejorar la salud física.
afanar,Preocuparse o angustiarse ante una situación.,Experimentar ansiedad o preocupación excesiva por algo.,"Actuar con prisa o impaciencia, sin seguir un ritmo calmado."
afiche,"Cartel impreso con información, publicidad o contenidos decorativos.",Fotografía o imagen de un jugador de fútbol con una firma personal.,Una hoja grande que se exhibe en pared o ventanas.
afiebrado,"Referido a una persona, que actúa con excesiva ansia por gusto o interés en la realización de algo.","Muestra de gran pasión y entusiasmo por algo, en este caso, el fútbol.",Muestra un gran interés y emoción por algo.
afiebrarse,Tener fiebre.,Experimentar un aumento de temperatura corporal debido a infección o crecimiento de dientes.,Aumentar la temperatura corporal por encima de lo habitual.
afilado,"Referido a una persona, bien preparada para una prueba o examen.",Respuestas correctas y bien preparadas en un examen.,Con un nivel alto de preparación y conocimiento.
afilarse,Prepararse para realizar adecuadamente una tarea.,Prepararse intensamente para un examen o prueba mediante el estudio.,Adquirir conocimientos y habilidades para estar listo para algo.
afirmativo,"Entre militares, policías y operadores de radio, sí, aceptado o confirmado.",Expreso consentimiento o aceptación de una petición o instrucción.,Instrucción o mandato dado con autoridad y decisión.
aflojachocho,Bebida alcohólica que desinhibe el deseo sexual.,Bebida alcohólica de baja graduación que se consume para relajarse sin embriagarse demasiado.,Fraser que denota tranquilidad o relajación.
aforar,"Referido al equipaje o a un producto, calcular su cantidad y su valor.",Medir el volumen de equipaje para determinar su valor.,Estimar el valor o precio de un bien o servicio.
afrijolar,Propinar un golpe.,Dar un golpe significativo o violento a alguien.,Realizar un impacto físico con la intención de causar daño.
afro,"Referido a una persona, que pertenece o que es propio de los afrocolombianos.",Referente a la cultura y tradiciones de la población afrodescendiente.,"Que se refiere a la cultura, historia o origen de los africanos."
afugias,"Apuros, problemas, especialmente económicos.",Avanzará sin dificultades ni obstáculos significativos.,Problemas o complicación significativa para lograr un objetivo.
agache,Evadir con astucia un problema o un asunto pendiente.,No mencionaron o ignoraron la información sobre la pobreza extrema.,Sin prestar atención o cuidado a algo relevante.
agalla,Despertársele el afán de poseer más de algo o de adquirir riquezas.,Falta de paciencia que lleva a tomar decisiones precipitadas.,Capacidad de focalizar y mantener la concentración en una tarea.
agalludo,"Referido a una persona, ambiciosa, que siempre busca obtener más de lo que sería justo.",Muestra de gran resolución y determinación en acciones.,Referido a una persona o entidad que se caracteriza por su valentía y determinación.
agarrar,"Obtener o conseguir algo, especialmente de manera veloz, ágil.",Aprovechar una situación favorable para actuar o beneficiarse.,Actuar rápidamente para obtener una oportunidad o ventaja.
agarrón,"Altercado, riña muy fuerte o pelea a golpes.",Conflicto o discusión violenta que se hace visible para todos.,Un evento o noticia que atrae mucha atención pública y genera comentarios o rumores.
agonía,Hambre.,Estado de necesidad urgente de comer debido a la falta de alimento.,"Sensación molesta en el estómago o intestinos, que provoca una necesidad inmediata de alivio."
agrieras,Acidez estomacal.,"Condición donde el ácido del estómago sube al esófago, causando malestar.",Afección digestiva que causa una sensación de ardor.
agringarse,Adoptar los hábitos o el aspecto propios de un gringo.,Adquirir un acento diferente al original debido a la influencia de otro lugar.,Adquirir características culturales y lingÃ¼Ã­sticas estadounidenses.
agrio,"Referido a una persona, de mal carácter.",Persona con actitud hostil y difícil de llevar.,"Alguien que es serio y poco sociable, con un carácter difícil."
agripado,"Referido a una persona, enferma de gripa.","Tener síntomas de resfriado como fiebre, tos o congestion nasal.",Una condición respiratoria caracterizada por congestión y dificultad para respirar.
agropecuario,"Referido a una persona, que tiene gustos grotescos, ordinaria.",Una combinación de ropa que no es adecuada o está mal combinada.,Relacionado con el campo o la vida en zonas rurales.
agua,Época del año con grandes lluvias y aumento del caudal de los ríos y lagunas hasta el máximo nivel de las zonas inundables.,El estado de los niveles de ríos y humedales durante períodos de lluvia y sequía.,La medida o presencia de agua en diferentes momentos.
