definicion,modismo_real,Amazon_Nova_Micro_V1,Cohere_Command_R_08_2024
"Depresión, abatimiento.",achante,ponerse malito,caer en un pozo
"Referido a una persona, avara, tacaña.",achapado,chupamedias,patas de pollo
Extraer el agua que se mete en las embarcaciones al navegar.,achicar,esconder el agua,bombear agua
Tostar demasiado o quemar algo.,achicharrar,pasar la mano,pasarse de rosca
"Referido a una persona, triste, desencantado.",achicopalado,tirado de pena,bajoneado
Desalentar o hacer perder el ánimo.,achicopalar,dar la lata,bajar los ánimos
"Referido al cabello o a las plantas, deteriorados o sin la vitalidad que deberían mostrar.",achilado,apagados,quemar las plantas
"Perder algo la apariencia de vitalidad que debería tener, especialmente el pelo y las plantas.",achilar,ponerse apagado,pasar la cuenta
"Arbusto de hasta 5 m de altura, de hojas alternas, flores rosadas o rojas y fruto de color castaño cuyas semillas se usan como colorante o condimento.",achiote,arbusto de capulí,guarapo de anaco
Hacer que algo sea más pequeño de lo normal.,achiquitar,darle la vuelta,empequeñecerlo
"Planta herbácea, de hasta 3 m de altura, con hojas grandes, flores amarillas, naranjas o rojas; sus hojas sirven para envolver algunos alimentos y de sus rizomas se extrae almidón comestible.",achira,yuca,hoja de bijao
"Referido a una persona, atragantado o que tiene dificultades para respirar ya sea por la comida, por enfermedad o por una aspiración.",achucado,estar ahogado,ahogado
"Referido a una persona o un animal, ahogarse con algo que le obstaculiza la garganta.",achucarse,tragarse la lengua,atravesado
"Planta herbácea, de hojas de color verde oscuro muy grandes, que se utilizan en el forraje y de tallos comestibles ricos en almidón al cocinarla cambia de blanco a morado.",achín,malanga,yuca
"Mezcla de maíz, linaza o cebada tostada y molida con panela o azúcar.",aco,pambazo,mazamorra
Devolver la simetría a algo que estaba torcido.,acobalar,poner al derecho,enderezarse
Apoyar a una persona en algún proyecto o idea.,acolitar,darle el empujón,darle el espaldarazo
Ofrecerse o ponerse al servicio de otro para hacer algo.,acomedirse,dar una mano,echar una mano
"Modificar las características de algo, agregando un implemento que no es original.",acondicionar,ponerle aditamentos,ponerle su toque
Persona que toca en el acordeón música vallenata o músico que toca el acordeón en el conjunto vallenato.,acordeonero,acordeonista vallenato,vallenato
Persecusión o presión causada por la insistencia de alguien.,acose,hacer presión,insistir demasiado
"Referido a una persona, que acostumbra presionar a los demás.",acosón,hacer presión,ser aguijón
"Acomodar, disponer en orden una serie de objetos en un espacio o lugar",acotejar,arreglar,poner en orden
Técnica empleada para el cultivo de especies vegetales y animales acuáticas.,acuacultura,acuicultura,plantar un vivero
"Persona mayor de edad, generalmente familiar o amigo, que se hace responsable de un estudiante ante las directivas de una institución escolar.",acudiente,apoderado,responsable del estudiante
"Referido a una persona, grande, robusta.",acuerpado,hombre de palo,más fuerte que el vino
Atemorizarse o acobardarse alguien ante una situación.,aculillarse,echarse para atrás,dar miedos
Ponerse en posición de cuclillas.,acurrucarse,ponerse de cuclillas,echarse pata abajo
"Referido a una persona, que tiene por costumbre acusar a otros.",acusaletas,chismoso,chismoso o chismosa
"Referido a una persona, que tiene por costumbre acusar a otros.",acusetas,chismoso,denunciar muy fino
"En un escrito legal, fragmento que aclara o especifica algún aspecto de una ley o un decreto.",acápite,cláusula,nota al pie
"Referido a una persona, delicada por su excesiva compostura y esmero.",ademanoso,persona de palo,fino como china
Ejercicios físicos que se caracterizan por seguir esquemas rítmicos que generan un alto consumo de oxígeno y por tener acompañamiento musical.,aeróbicos,aerobic,aeróbicos
Preocuparse o angustiarse ante una situación.,afanar,ponerse las pilas,estar en vilo
"Cartel impreso con información, publicidad o contenidos decorativos.",afiche,cartaz,un pancartazo
"Referido a una persona, que actúa con excesiva ansia por gusto o interés en la realización de algo.",afiebrado,chupamedias,comerse el dulce
Tener fiebre.,afiebrarse,estar de palo,tener calentura
"Referido a una persona, bien preparada para una prueba o examen.",afilado,en la flor,estar mirando
Prepararse para realizar adecuadamente una tarea.,afilarse,ponerse las pilas,dar lo mejor
"Entre militares, policías y operadores de radio, sí, aceptado o confirmado.",afirmativo,aceptado,copiaste
Bebida alcohólica que desinhibe el deseo sexual.,aflojachocho,aguardiente,licor animoso
"Referido al equipaje o a un producto, calcular su cantidad y su valor.",aforar,hacer la cuenta,poner precio
"Ave de hasta 16 cm de longitud, de coloración blanquecina o gris en el pecho y el vientre, y rayas negras y castañas en el dorso.",afrechero,tortuga,gorrión norteño
Propinar un golpe.,afrijolar,dar un guanaco,dar un golpe
"Referido a una persona, que pertenece o que es propio de los afrocolombianos.",afro,afrocolombiano,de la cruz
"Apuros, problemas, especialmente económicos.",afugias,apurarse,pasar la línea
Evadir con astucia un problema o un asunto pendiente.,agache,dar la vuelta,salirse con la suya
Despertársele el afán de poseer más de algo o de adquirir riquezas.,agalla,tener ganas de más,le entró el hambre
"Referido a una persona, ambiciosa, que siempre busca obtener más de lo que sería justo.",agalludo,chupamedias,ser codicioso
"Planta ornamental de origen africano, de hasta 1 m de altura, hojas largas que salen de un mismo punto sin tallo visible.",agapanto,geranio,corazón de jesús
"Obtener o conseguir algo, especialmente de manera veloz, ágil.",agarrar,pillar,canchar rápido
"Altercado, riña muy fuerte o pelea a golpes.",agarrón,pelea a palos,andar a cabezazos
Hambre.,agonía,tener hambre,tener roncha
Persona encargada de administrar y vigilar una propiedad rural.,agregado,guarda rural,mayordomo
Cerveza.,agria,pilsen,chela
Acidez estomacal.,agrieras,quemadura de estómago,mal de huevos
Adoptar los hábitos o el aspecto propios de un gringo.,agringarse,ponerse gringo,ser un gringo
"Referido a una persona, de mal carácter.",agrio,mala onda,mal genio
"Referido a una persona, enferma de gripa.",agripado,con la gripe,estar mojado
Contagiarse y padecer de la gripa.,agriparse,coger la gripe,pillarse la gripa
"Referido a una persona, que tiene gustos grotescos, ordinaria.",agropecuario,chuzo de punta,de mal gusto
Época del año con grandes lluvias y aumento del caudal de los ríos y lagunas hasta el máximo nivel de las zonas inundables.,agua,la temporada de lluvias,invierno lluvioso
