modismo,definicion_real,Amazon_Nova_Micro_V1,Cohere_Command_R_08_2024
aburria,"Ave de hasta 70 cm de longitud, de cabeza pequeña, cuello largo y delgado, patas amarillas y pico de color azul pálido en la base y oscuro en el extremo.",Actitud de aburrirse o mostrarse desinteresado en algo.,Una reunión o fiesta en la que se comparte comida y bebidas.
aburrición,Cosa o situación que produce pereza o falta de interés.,Estado de aburrimiento o falta de interés en algo.,Sentimiento de tedio y aburrimiento extremo.
acabado,"Referido a una persona, con aspecto débil y enfermizo.","Terminar o finalizar algo, o quedarse sin algo.","Estado de finalización total, completo o definitivo."
acabarropa,"Referido a una persona, holgazán.",Reunir o acumular cosas en desorden.,Acción de seguir algo hasta el final o completado.
acabose,Acontecimiento irreparable o con el que se llega al extremo de una situación negativa.,Situación irremediable o sin esperanza.,"Indicativo del momento de máximo clímax, para bien o para mal."
acartonado,"Referido a una persona, poco natural en su comportamiento, esquemática.",Persona que está muy seria o que no tiene alegría.,Pereza o falta de naturalidad en el comportamiento.
acatar,Caer en cuenta de algo.,Aceptar y cumplir una decisión o exigencia impuesta.,Observar y cumplir con sumisión las órdenes o normas.
accesar,Tener acceso a los datos de un sistema informático.,"Ingresar o acceder a un lugar o sistema, especialmente tecnológico.",Acceder o ingresar a un lugar o información.
aceite,Comprobar o evaluar alguien la capacidad de otro sometiéndolo de manera inadvertida a una prueba o situación difícil para determinar el curso posterior de una acción.,Expresión para indicar que algo es falso o no auténtico.,"Mantenerse callado, no revelar secretos."
acelerado,"Referido a una persona, que actúa con precipitud, impaciencia.","Desarrollo rápido y sin pausa, a toda velocidad.","Acción rápida, apresurada y enérgicamente impulsada."
acelere,Afán o rapidez exagerada con que se hace algo.,Insistir o presionar para que algo avance más rápido.,Acelerar o precipitar una acción o evento.
acema,"Pan dulce de forma redonda, elaborado con harina de trigo y bicarbonato sódico y condimentado con anís, papelón y, en ocasiones, queso rallado.",Actitud de desinterés o falta de compromiso en una situación.,"Espacio pequeño, estrecho o reducido."
acerola,"Arbusto de hasta 6 m de altura, corteza obscura y denso ramaje, hojas simples de color verde obscuro, flores de color lila, rosado y blanco, su fruto es redondo y comestible.","Fruta pequeña y ácida, rica en vitamina C, nativa de América tropical.","Fruta pequeña, redonda, de color rojo oscuro o morado."
achacado,"Referido a una persona, enferma o débil, especialmente por problemas asociados con la vejez.",Persona que está cansada o agotada por exceso de trabajo.,"Describir una persona con dificultades de movimiento, normalmente asociado a la edad."
achajuanado,"Referido a una persona o un animal, sofocado por el calor o el trabajo excesivo.",Persona muy aprensiva o que se preocupa excesivamente por cualquier cosa.,"Describir a alguien que es diminuto, frágil o delicado."
achantada,"Depresión, abatimiento.",Estado de alguien que está triste o desanimado.,"Acción de bajarse, abatirse o encogerse."
achantado,"Referdio a una persona, triste, desencantado.",Persona que está muy asustada o intimidada.,Sentirse acobardado o intimidado ante una situación.
achantar,Desalentar o hacer perder el ánimo.,Intimidar o asustar a alguien para que ceda.,Acobardarse o perder la valentía ante una situación.
achante,"Depresión, abatimiento.",Persona que provoca o molesta a otros de manera insistente.,Actitud de modestia ante logros personales.
achapado,"Referido a una persona, avara, tacaña.",Persona que está muy aburrida o sin nada que hacer.,Persona que actúa o se comporta sin personalidad propia.
achicar,Extraer el agua que se mete en las embarcaciones al navegar.,Reducir el tamaño o cantidad de algo.,"Hacer o reducir algo más pequeño, encoger."
achicharrar,Tostar demasiado o quemar algo.,"Terminar algo completamente, como si se quemara a fuego.","Cocinar o quemar algo, especialmente alimentos, en exceso."
achicopalado,"Referido a una persona, triste, desencantado.",Persona acomodada que presume de su riqueza o estatus social.,"Sensación de desánimo o desconsuelo, estado de ánimo decaído."
achicopalar,Desalentar o hacer perder el ánimo.,"Reducir o minimizar algo, hacer una cosa más pequeña.",Hacer que alguien se sienta abatido o desanimado.
achilado,"Referido al cabello o a las plantas, deteriorados o sin la vitalidad que deberían mostrar.","Estado de estar muy cansado, agotado o desanimado.",Yerno o hijo político de una persona.
achilar,"Perder algo la apariencia de vitalidad que debería tener, especialmente el pelo y las plantas.","Reducir o acortar algo, especialmente en términos de tiempo.",Despojar o quitar algo con agilidad y destreza.
achiote,"Arbusto de hasta 5 m de altura, de hojas alternas, flores rosadas o rojas y fruto de color castaño cuyas semillas se usan como colorante o condimento.","Color anaranjado obtenido de la semilla del achiote, usado en la cocina.",Término para referirse a la semilla del achiote.
achiquitar,Hacer que algo sea más pequeño de lo normal.,Reducir o hacer algo más pequeño.,"Reducir, menguar o minimizar en tamaño o importancia."
achira,"Planta herbácea, de hasta 3 m de altura, con hojas grandes, flores amarillas, naranjas o rojas; sus hojas sirven para envolver algunos alimentos y de sus rizomas se extrae almidón comestible.",Planta medicinal tradicionalmente utilizada para aliviar dolores articulares.,Planta similar a la patata con rizoma comestible.
achucado,"Referido a una persona, atragantado o que tiene dificultades para respirar ya sea por la comida, por enfermedad o por una aspiración.",Persona que ha sido estafada o engañada en una transacción.,Estado de ansiedad o nerviosismo.
achucarse,"Referido a una persona o un animal, ahogarse con algo que le obstaculiza la garganta.",Tomar una decisión arriesgada o asumir una responsabilidad grande.,Acercarse o apretujarse para brindar calor o consuelo.
achín,"Planta herbácea, de hojas de color verde oscuro muy grandes, que se utilizan en el forraje y de tallos comestibles ricos en almidón al cocinarla cambia de blanco a morado.",Expresión que indica algo muy pequeño o insignificante.,Sentirse cansado o agotado físicamente.
aco,"Mezcla de maíz, linaza o cebada tostada y molida con panela o azúcar.",Actitud de desinterés o despreocupación ante una situación.,"Cierto, verdaderamente; término para confirmar una afirmación."
acobalar,Devolver la simetría a algo que estaba torcido.,Confundir o alterar a alguien con palabras o acciones.,Hacer que alguien se sienta temeroso o intimidado.
acolitar,Apoyar a una persona en algún proyecto o idea.,Apoyar o respaldar a alguien en una situación difícil.,Acompañar y apoyar a alguien en una misión o causa.
acomedirse,Ofrecerse o ponerse al servicio de otro para hacer algo.,Actuar con audacia o atreverse a hacer algo que antes no se intentaba.,Mostrar disposición para acometer un asunto o tarea.
acondicionar,"Modificar las características de algo, agregando un implemento que no es original.",Preparar o adaptar algo para un uso específico.,Adaptar un lugar o ambiente a una temperatura o condición específica.
acordeonero,Persona que toca en el acordeón música vallenata o músico que toca el acordeón en el conjunto vallenato.,Persona que se adapta fácilmente a los cambios y situaciones.,Músico especializado en tocar el acordeón de forma tradicional.
acose,Persecusión o presión causada por la insistencia de alguien.,Termino informal que significa estar muy cansado o agotado.,Dificultar el avance o progreso en una situación o tarea.
acosón,"Referido a una persona, que acostumbra presionar a los demás.",Estado de aburrimiento o desgano por falta de actividades interesantes.,Sentimiento de agobio o preocupación intensa.
acotejar,"Acomodar, disponer en orden una serie de objetos en un espacio o lugar",Buscar o conseguir algo de manera informal o poco convencional.,"Acto de defender o apoyar un argumento, activamente."
acuacultura,Técnica empleada para el cultivo de especies vegetales y animales acuáticas.,Cultivo de organismos acuáticos en ambientes controlados.,Cultivo de organismos acuáticos para consumo humano.
acudiente,"Persona mayor de edad, generalmente familiar o amigo, que se hace responsable de un estudiante ante las directivas de una institución escolar.",Persona que cuida o asiste a un niño en lugar de sus padres.,Persona responsable del cuidado y protección de otra.
acuerpado,"Referido a una persona, grande, robusta.","Persona que está muy cansada, agotada o con poca energía.","Describir algo consistente, de buen tamaño o sólido."
aculillarse,Atemorizarse o acobardarse alguien ante una situación.,Perderse o desorientarse en un lugar conocido.,"Hacerse pequeño y retraerse, guardando las distancias."
acurrucarse,Ponerse en posición de cuclillas.,"Sentir deseo de abrazarse y protegerse, generalmente por calor o comodidad.",Acercarse a alguien o algo o recogerse en posición fetal.
acusaletas,"Referido a una persona, que tiene por costumbre acusar a otros.",Persona que constantemente critica o encuentra fallas en otros.,Palabras utilizadas para señalar culpables o acusar a alguien.
acusetas,"Referido a una persona, que tiene por costumbre acusar a otros.",Expresión que indica que alguien está exagerando o mintiendo.,Detalles o puntos de vista caprichosos y personales.
acápite,"En un escrito legal, fragmento que aclara o especifica algún aspecto de una ley o un decreto.","Parte inicial de un texto, introducción o primer párrafo.",Párrafo o apartado independiente dentro de un texto
ademanoso,"Referido a una persona, delicada por su excesiva compostura y esmero.",Persona que utiliza gestos exagerados para expresarse.,Que expresa o indica algo con gestos o movimientos.
aeróbicos,Ejercicios físicos que se caracterizan por seguir esquemas rítmicos que generan un alto consumo de oxígeno y por tener acompañamiento musical.,Actividad física que mejora la resistencia y la capacidad cardiovascular.,Actividad física agradable y excitante; ejercicio dinámico.
afanar,Preocuparse o angustiarse ante una situación.,Buscar o rebuscar algo con diligencia.,Hurtar o robar algo por la vía de la sustracción.
afiche,"Cartel impreso con información, publicidad o contenidos decorativos.",Cartel publicitario o informativo pegado en lugares públicos.,Cartel con información visual o publicitaria.
afiebrado,"Referido a una persona, que actúa con excesiva ansia por gusto o interés en la realización de algo.",Persona muy entusiasta o apasionada por algo.,Persona con fiebre o que presenta síntomas febriles.
afiebrarse,Tener fiebre.,Perder la razón o enloquecer por un problema o una situación.,Adquirir fiebre o una alta temperatura corporal.
afilado,"Referido a una persona, bien preparada para una prueba o examen.",Persona muy ingeniosa o que habla con gran perspicacia.,Acción de pulir o pulimentar una superficie.
afilarse,Prepararse para realizar adecuadamente una tarea.,Prepararse o ponerse en alerta para enfrentar una situación.,Acutizar o reforzar las habilidades para un objetivo.
afirmativo,"Entre militares, policías y operadores de radio, sí, aceptado o confirmado.",Respuesta que indica acuerdo o aceptación.,Contestación positiva o de acuerdo.
aflojachocho,Bebida alcohólica que desinhibe el deseo sexual.,Persona que es muy floja y no se esfuerza por nada.,"Tanto como jajaja que?Amplio, holgado o amplio de forma extravagante."
aforar,"Referido al equipaje o a un producto, calcular su cantidad y su valor.",Medir o evaluar la capacidad o potencial de algo o alguien.,Exceder la capacidad o límites establecidos.
afrechero,"Ave de hasta 16 cm de longitud, de coloración blanquecina o gris en el pecho y el vientre, y rayas negras y castañas en el dorso.","Comportamiento de hacer algo sin necesidad, generando desorden o molestia.",Persona que es mal hablada o grosera.
afrijolar,Propinar un golpe.,Perder la compostura o el control en un momento de emoción.,Reflejar o mostrar una situación de penuria económica.
afro,"Referido a una persona, que pertenece o que es propio de los afrocolombianos.",Comportamiento o actitud despreocupada y desenfadada.,Perteneciente o relacionado con el pueblo afrodescendiente.
afugias,"Apuros, problemas, especialmente económicos.",Expresión que indica no hacer nada o no moverse de un lugar.,"Estado de apuro o necesidad extrema, precipitándose por falta de tiempo."
agache,Evadir con astucia un problema o un asunto pendiente.,Acción de bajar la cabeza o el cuerpo en señal de respeto o sumisión.,Actitud de sumisión o de no respuesta.
agalla,Despertársele el afán de poseer más de algo o de adquirir riquezas.,Resistirse o enfrentar con valor y determinación una situación difícil.,"Valentía, temeridad o audacia en una acción."
agalludo,"Referido a una persona, ambiciosa, que siempre busca obtener más de lo que sería justo.",Persona que se pasa de la raya o que hace cosas exageradas.,"Persona tacaña, que ahorra excesivamente."
agapanto,"Planta ornamental de origen africano, de hasta 1 m de altura, hojas largas que salen de un mismo punto sin tallo visible.",Acción de rehuir responsabilidades o evitar cumplir con obligaciones.,Alguien que guarda un secreto a petición de otro.
agarrar,"Obtener o conseguir algo, especialmente de manera veloz, ágil.",Tomar o agarrar algo con fuerza o decisión.,"Tomar, asir o sujetar algo con las manos."
agarrón,"Altercado, riña muy fuerte o pelea a golpes.","Conflicto o pelea física, especialmente en un contexto informal.",Enfrentamiento físico o disputa violenta entre varias personas.
agonía,Hambre.,Estado de gran angustia o sufrimiento emocional.,Estado de intenso sufrimiento físico o emocional.
agregado,Persona encargada de administrar y vigilar una propiedad rural.,Un complemento o adición extra que se incorpora a algo.,Acción de unir o agregar algo a otro elemento.
agria,Cerveza.,Persona que tiene actitudes o comportamientos hostiles y desagradables.,Alta concentración de sourness.
agrieras,Acidez estomacal.,Expresión que indica una situación muy difícil o desesperada.,Expresar disgusto o falta de conformidad con algo.
agringarse,Adoptar los hábitos o el aspecto propios de un gringo.,Perder la paciencia o enojarse fácilmente por algo menor.,Adquirir rasgos o conductas típicos de un extranjero o gringo.
agrio,"Referido a una persona, de mal carácter.",Persona que es malhumorada o de trato difícil.,Expresión que describe algo amargo o desagradable.
agripado,"Referido a una persona, enferma de gripa.","Estar enfermo, especialmente con síntomas de resfriado.",Estado de salud débil o resentido.
agriparse,Contagiarse y padecer de la gripa.,Perder la paciencia o enojarse fácilmente.,Enojarse o molestarse exageradamente.
agropecuario,"Referido a una persona, que tiene gustos grotescos, ordinaria.",Relativo a la agricultura y la ganadería.,Referente a la agricultura y la ganadería.
agua,Época del año con grandes lluvias y aumento del caudal de los ríos y lagunas hasta el máximo nivel de las zonas inundables.,"Referencia a algo que es común, trivial o poco significativo.","Medio necesario para la vida, símbolo de renovación."
