modismo,modelo,precision,recall,f1_score,definicion_real,definicion_sinonimo
abrochar,Amazon_Nova_Micro_V1,0.6648911833763123,0.6670466661453247,0.6659672260284424,Exigirle duramente a alguien que realice una tarea o cumpla con sus deberes.,Recibir una corrección o castigo por no cumplir con una tarea o responsabilidad.
abuelita,Amazon_Nova_Micro_V1,0.6276188492774963,0.5804651975631714,0.6031217575073242,Cuna portátil para bebé que facilita llevarlo de un sitio a otro.,Un asiento plegable que es cómodo para adultos mayores durante viajes.
abullonado,Amazon_Nova_Micro_V1,0.4948849380016327,0.4814684987068176,0.4880845546722412,"Referido a un mueble o prenda de vestir, relleno o abultado por un material que se expande, utilizado en los textiles con que se recubren o elaboran estos objetos.",Un sofá con pliegues y arrugas que provocan incomodidad física y emocional.
aburria,Amazon_Nova_Micro_V1,0.5906256437301636,0.5162163376808167,0.5509198307991028,"Ave de hasta 70 cm de longitud, de cabeza pequeña, cuello largo y delgado, patas amarillas y pico de color azul pálido en la base y oscuro en el extremo.",Una especie de pava que vive en zonas montañosas y es relativamente grande.
aburrición,Amazon_Nova_Micro_V1,0.5191953778266907,0.5255465507507324,0.5223516821861267,Cosa o situación que produce pereza o falta de interés.,Estado de falta de variedad o novedad en una actividad.
acabado,Amazon_Nova_Micro_V1,0.4965849816799164,0.517021656036377,0.5065972805023193,"Referido a una persona, con aspecto débil y enfermizo.",En estado de cansancio extremo debido a esfuerzos prolongados o enfermedades.
acabarropa,Amazon_Nova_Micro_V1,0.4176802933216095,0.4418201148509979,0.4294112026691437,"Referido a una persona, holgazán.",Solicitar una cantidad adicional de dinero sin haber realizado un esfuerzo significativo.
acabose,Amazon_Nova_Micro_V1,0.4555210471153259,0.47324031591415405,0.46421167254447937,Acontecimiento irreparable o con el que se llega al extremo de una situación negativa.,Momento en que la situación ya no tiene remedio y todo va a peor.
acartonado,Amazon_Nova_Micro_V1,0.5665434002876282,0.5748347640037537,0.5706589818000793,"Referido a una persona, poco natural en su comportamiento, esquemática.",Presentarse sin espontaneidad o naturalidad en una actuación.
acatar,Amazon_Nova_Micro_V1,0.46598124504089355,0.4686076045036316,0.4672907590866089,Caer en cuenta de algo.,Admitir o aceptar una realidad o una situación que ya existía.
accesar,Amazon_Nova_Micro_V1,0.598082959651947,0.6126462817192078,0.6052770018577576,Tener acceso a los datos de un sistema informático.,Abrir una sesión en un programa o plataforma usando credenciales.
aceite,Amazon_Nova_Micro_V1,0.5319467186927795,0.4986356794834137,0.5147528052330017,Comprobar o evaluar alguien la capacidad de otro sometiéndolo de manera inadvertida a una prueba o situación difícil para determinar el curso posterior de una acción.,Advertir a alguien con la intención de imponer condiciones o causar temor.
acelerado,Amazon_Nova_Micro_V1,0.5931986570358276,0.5697034001350403,0.581213653087616,"Referido a una persona, que actúa con precipitud, impaciencia.",Persona que toma decisiones con prontitud y actúa con determinación.
acelere,Amazon_Nova_Micro_V1,0.4487617313861847,0.4666590094566345,0.45753538608551025,Afán o rapidez exagerada con que se hace algo.,Un incremento acelerado que puede causar problemas en los cálculos.
acema,Amazon_Nova_Micro_V1,0.6290069222450256,0.5972769856452942,0.6127314567565918,"Pan dulce de forma redonda, elaborado con harina de trigo y bicarbonato sódico y condimentado con anís, papelón y, en ocasiones, queso rallado.","Pan hecho con harina de centeno, tradicional en algunas regiones colombianas."
achacado,Amazon_Nova_Micro_V1,0.5134567618370056,0.4964984953403473,0.5048351883888245,"Referido a una persona, enferma o débil, especialmente por problemas asociados con la vejez.","En estado de salud deteriorado, necesitando atención médica."
achajuanado,Amazon_Nova_Micro_V1,0.6603806614875793,0.6555867195129395,0.6579749584197998,"Referido a una persona o un animal, sofocado por el calor o el trabajo excesivo.",Muy fatigado o exhausto debido a un esfuerzo prolongado o condiciones adversas.
achantado,Amazon_Nova_Micro_V1,0.49668240547180176,0.49618253111839294,0.4964323341846466,"Referdio a una persona, triste, desencantado.",Sentimiento de temor o miedo que provoca precaución y cautela.
achantar,Amazon_Nova_Micro_V1,0.386974036693573,0.40964019298553467,0.39798465371131897,Desalentar o hacer perder el ánimo.,No dejarse intimidar o amedrentar por alguien o algo.
achante,Amazon_Nova_Micro_V1,0.47569888830184937,0.5646047592163086,0.5163527727127075,"Depresión, abatimiento.",Sintiendo molestia o irritación por algo que no le gustó.
achapado,Amazon_Nova_Micro_V1,0.3358749449253082,0.38448286056518555,0.3585389256477356,"Referido a una persona, avara, tacaña.",Solicitar permiso para ir al servicio sanitario en un momento inoportuno.
achicar,Amazon_Nova_Micro_V1,0.5335976481437683,0.5374924540519714,0.5355379581451416,Extraer el agua que se mete en las embarcaciones al navegar.,Reducir el nivel de agua para evitar hundimiento.
achicharrar,Amazon_Nova_Micro_V1,0.4676753580570221,0.4648103713989258,0.46623849868774414,Tostar demasiado o quemar algo.,Perder humedad y sufrir daño por calor excesivo.
achicopalado,Amazon_Nova_Micro_V1,0.3920026421546936,0.4124203026294708,0.4019523561000824,"Referido a una persona, triste, desencantado.",Estado de poca energía o motivación para realizar actividades.
achicopalar,Amazon_Nova_Micro_V1,0.3587417006492615,0.39344197511672974,0.3752914071083069,Desalentar o hacer perder el ánimo.,No permitir que se nos quite la iniciativa o se nos impida crecer.
achilado,Amazon_Nova_Micro_V1,0.5020933747291565,0.4805792570114136,0.49110081791877747,"Referido al cabello o a las plantas, deteriorados o sin la vitalidad que deberían mostrar.",Característica de tener barbas recortadas o afeitadas.
achilar,Amazon_Nova_Micro_V1,0.5389408469200134,0.5565915703773499,0.5476240515708923,"Perder algo la apariencia de vitalidad que debería tener, especialmente el pelo y las plantas.",Experimentar una reducción en la cantidad de pelo debido a la calvicie o otros factores.
achiote,Amazon_Nova_Micro_V1,0.6484104990959167,0.566907525062561,0.6049261093139648,"Arbusto de hasta 5 m de altura, de hojas alternas, flores rosadas o rojas y fruto de color castaño cuyas semillas se usan como colorante o condimento.",Planta que crece en condiciones variadas desde la costa hasta alturas de 1.200 metros.
achiquitar,Amazon_Nova_Micro_V1,0.4562883675098419,0.47715914249420166,0.4664904475212097,Hacer que algo sea más pequeño de lo normal.,"Reducir el tamaño de un objeto, especialmente telas, por calor excesivo."
achira,Amazon_Nova_Micro_V1,0.615344226360321,0.5725131630897522,0.5931564569473267,"Planta herbácea, de hasta 3 m de altura, con hojas grandes, flores amarillas, naranjas o rojas; sus hojas sirven para envolver algunos alimentos y de sus rizomas se extrae almidón comestible.",Hojas de la planta achira utilizadas para envoltura de tamales en ciertas regiones.
achucado,Amazon_Nova_Micro_V1,0.5180222988128662,0.48480224609375,0.5008620023727417,"Referido a una persona, atragantado o que tiene dificultades para respirar ya sea por la comida, por enfermedad o por una aspiración.",Una tos que no cesa y causa molestia continua.
achucarse,Amazon_Nova_Micro_V1,0.5138210654258728,0.4880477488040924,0.5006029009819031,"Referido a una persona o un animal, ahogarse con algo que le obstaculiza la garganta.","Experimentar una crisis repentina, como un ataque cardíaco, por comer demasiado rápido."
achín,Amazon_Nova_Micro_V1,0.5158942341804504,0.47066015005111694,0.49224019050598145,"Planta herbácea, de hojas de color verde oscuro muy grandes, que se utilizan en el forraje y de tallos comestibles ricos en almidón al cocinarla cambia de blanco a morado.",Un tubérculo grande y suave que se usa para cocinar y acompañar platos.
aco,Amazon_Nova_Micro_V1,0.8263169527053833,0.8198881149291992,0.8230899572372437,"Mezcla de maíz, linaza o cebada tostada y molida con panela o azúcar.",Mezcla de harina fina de linaza tostada y panela rallada.
acobalar,Amazon_Nova_Micro_V1,0.4169246256351471,0.3801572322845459,0.3976929485797882,Devolver la simetría a algo que estaba torcido.,Realizar arreglos y mantenimiento en los neumáticos de vehículos.
acolitar,Amazon_Nova_Micro_V1,0.6171054840087891,0.6205541491508484,0.6188249588012695,Apoyar a una persona en algún proyecto o idea.,Facilitar o proporcionar apoyo a iniciativas o esfuerzos personales.
acomedirse,Amazon_Nova_Micro_V1,0.5196371078491211,0.5272061228752136,0.5233942270278931,Ofrecerse o ponerse al servicio de otro para hacer algo.,Proveer asistencia para realizar una tarea que uno no puede hacer solo.
acondicionar,Amazon_Nova_Micro_V1,0.4892735481262207,0.4966574013233185,0.492937833070755,"Modificar las características de algo, agregando un implemento que no es original.",Modificar vehículos para facilitar el acceso y uso por personas con discapacidad.
acordeonero,Amazon_Nova_Micro_V1,0.7549237012863159,0.7301824688911438,0.7423469424247742,Persona que toca en el acordeón música vallenata o músico que toca el acordeón en el conjunto vallenato.,El músico que canta y toca el acordeón en una banda o conjunto musical.
acose,Amazon_Nova_Micro_V1,0.5611289143562317,0.539423406124115,0.5500621199607849,Persecusión o presión causada por la insistencia de alguien.,Se refiere a un vehículo que avanza rápidamente o con prisa.
acosón,Amazon_Nova_Micro_V1,0.522131085395813,0.5404344797134399,0.5311251282691956,"Referido a una persona, que acostumbra presionar a los demás.",El estado de ser muy riguroso y demandante en uno mismo o en los demás.
acotejar,Amazon_Nova_Micro_V1,0.4968815743923187,0.4812190532684326,0.48892489075660706,"Acomodar, disponer en orden una serie de objetos en un espacio o lugar",Reunir información o documentos para respaldar una afirmación o argumento.
acudiente,Amazon_Nova_Micro_V1,0.6976840496063232,0.6297695636749268,0.6619895100593567,"Persona mayor de edad, generalmente familiar o amigo, que se hace responsable de un estudiante ante las directivas de una institución escolar.",Persona que acompaña y supervisa a un estudiante en una institución educativa.
acuerpado,Amazon_Nova_Micro_V1,0.5691514015197754,0.5983821749687195,0.5834008455276489,"Referido a una persona, grande, robusta.","De cuerpo fuerte y musculoso, indicando una persona físicamente robusta."
aculillarse,Amazon_Nova_Micro_V1,0.49975597858428955,0.4873015582561493,0.49345019459724426,Atemorizarse o acobardarse alguien ante una situación.,Pedir protección divina en momentos de peligro o sorpresa.
acurrucarse,Amazon_Nova_Micro_V1,0.48843979835510254,0.5023190975189209,0.49528223276138306,Ponerse en posición de cuclillas.,Colocar el cuerpo cerca de algo para protegerse o evitar peligro.
acusaletas,Amazon_Nova_Micro_V1,0.614738941192627,0.6398047804832458,0.6270214319229126,"Referido a una persona, que tiene por costumbre acusar a otros.",Persona que acusa a otros de manera constante y sin pruebas.
acusetas,Amazon_Nova_Micro_V1,0.4716157019138336,0.497259259223938,0.4840981364250183,"Referido a una persona, que tiene por costumbre acusar a otros.",Hacer acusaciones sin tener evidencia o pruebas para respaldarlas.
acápite,Amazon_Nova_Micro_V1,0.6549627780914307,0.6343767046928406,0.6445053815841675,"En un escrito legal, fragmento que aclara o especifica algún aspecto de una ley o un decreto.",Parte de un texto que trata un tema específico dentro de un documento.
aeróbicos,Amazon_Nova_Micro_V1,0.5568279027938843,0.5272691249847412,0.5416455864906311,Ejercicios físicos que se caracterizan por seguir esquemas rítmicos que generan un alto consumo de oxígeno y por tener acompañamiento musical.,Actividades de movimiento con el objetivo de mejorar la condición física.
afanar,Amazon_Nova_Micro_V1,0.6458237171173096,0.6590222716331482,0.6523562073707581,Preocuparse o angustiarse ante una situación.,Experimentar ansiedad o preocupación excesiva por algo.
afiche,Amazon_Nova_Micro_V1,0.5064321160316467,0.5239827036857605,0.5150579214096069,"Cartel impreso con información, publicidad o contenidos decorativos.",Fotografía o imagen de un jugador de fútbol con una firma personal.
afiebrado,Amazon_Nova_Micro_V1,0.588169515132904,0.5840545296669006,0.5861047506332397,"Referido a una persona, que actúa con excesiva ansia por gusto o interés en la realización de algo.","Muestra de gran pasión y entusiasmo por algo, en este caso, el fútbol."
afiebrarse,Amazon_Nova_Micro_V1,0.45941632986068726,0.6243808269500732,0.5293439626693726,Tener fiebre.,Experimentar un aumento de temperatura corporal debido a infección o crecimiento de dientes.
afilado,Amazon_Nova_Micro_V1,0.6136016249656677,0.5827650427818298,0.5977859497070312,"Referido a una persona, bien preparada para una prueba o examen.",Respuestas correctas y bien preparadas en un examen.
afilarse,Amazon_Nova_Micro_V1,0.5961059331893921,0.6615204811096191,0.6271119713783264,Prepararse para realizar adecuadamente una tarea.,Prepararse intensamente para un examen o prueba mediante el estudio.
afirmativo,Amazon_Nova_Micro_V1,0.5524046421051025,0.5099894404411316,0.5303503274917603,"Entre militares, policías y operadores de radio, sí, aceptado o confirmado.",Expreso consentimiento o aceptación de una petición o instrucción.
aflojachocho,Amazon_Nova_Micro_V1,0.6530349850654602,0.678561270236969,0.6655534505844116,Bebida alcohólica que desinhibe el deseo sexual.,Bebida alcohólica de baja graduación que se consume para relajarse sin embriagarse demasiado.
aforar,Amazon_Nova_Micro_V1,0.6806783080101013,0.6569648385047913,0.6686113476753235,"Referido al equipaje o a un producto, calcular su cantidad y su valor.",Medir el volumen de equipaje para determinar su valor.
afrijolar,Amazon_Nova_Micro_V1,0.620566189289093,0.6708786487579346,0.6447424292564392,Propinar un golpe.,Dar un golpe significativo o violento a alguien.
afro,Amazon_Nova_Micro_V1,0.6073806285858154,0.5676893591880798,0.5868645906448364,"Referido a una persona, que pertenece o que es propio de los afrocolombianos.",Referente a la cultura y tradiciones de la población afrodescendiente.
afugias,Amazon_Nova_Micro_V1,0.5225358009338379,0.5339565277099609,0.5281844139099121,"Apuros, problemas, especialmente económicos.",Avanzará sin dificultades ni obstáculos significativos.
agache,Amazon_Nova_Micro_V1,0.3684704601764679,0.3856223225593567,0.37685132026672363,Evadir con astucia un problema o un asunto pendiente.,No mencionaron o ignoraron la información sobre la pobreza extrema.
agalla,Amazon_Nova_Micro_V1,0.3326764702796936,0.3414725065231323,0.33701708912849426,Despertársele el afán de poseer más de algo o de adquirir riquezas.,Falta de paciencia que lleva a tomar decisiones precipitadas.
agalludo,Amazon_Nova_Micro_V1,0.525581955909729,0.48971113562583923,0.5070129036903381,"Referido a una persona, ambiciosa, que siempre busca obtener más de lo que sería justo.",Muestra de gran resolución y determinación en acciones.
agarrar,Amazon_Nova_Micro_V1,0.5438846945762634,0.5354046821594238,0.5396113395690918,"Obtener o conseguir algo, especialmente de manera veloz, ágil.",Aprovechar una situación favorable para actuar o beneficiarse.
agarrón,Amazon_Nova_Micro_V1,0.5289114713668823,0.5560376644134521,0.54213547706604,"Altercado, riña muy fuerte o pelea a golpes.",Conflicto o discusión violenta que se hace visible para todos.
agonía,Amazon_Nova_Micro_V1,0.3923986852169037,0.5017125606536865,0.4403732717037201,Hambre.,Estado de necesidad urgente de comer debido a la falta de alimento.
agrieras,Amazon_Nova_Micro_V1,0.33333802223205566,0.3713480532169342,0.3513179421424866,Acidez estomacal.,"Condición donde el ácido del estómago sube al esófago, causando malestar."
agringarse,Amazon_Nova_Micro_V1,0.47114354372024536,0.4833150804042816,0.4771517217159271,Adoptar los hábitos o el aspecto propios de un gringo.,Adquirir un acento diferente al original debido a la influencia de otro lugar.
agrio,Amazon_Nova_Micro_V1,0.5879141092300415,0.5938212275505066,0.5908529162406921,"Referido a una persona, de mal carácter.",Persona con actitud hostil y difícil de llevar.
agripado,Amazon_Nova_Micro_V1,0.5509543418884277,0.523724377155304,0.536994457244873,"Referido a una persona, enferma de gripa.","Tener síntomas de resfriado como fiebre, tos o congestion nasal."
agropecuario,Amazon_Nova_Micro_V1,0.5510236024856567,0.5239077806472778,0.5371236801147461,"Referido a una persona, que tiene gustos grotescos, ordinaria.",Una combinación de ropa que no es adecuada o está mal combinada.
agua,Amazon_Nova_Micro_V1,0.6640028953552246,0.6451617479324341,0.6544467806816101,Época del año con grandes lluvias y aumento del caudal de los ríos y lagunas hasta el máximo nivel de las zonas inundables.,El estado de los niveles de ríos y humedales durante períodos de lluvia y sequía.
abajeño,Cohere_Command_R_08_2024,0.47362464666366577,0.4980437159538269,0.485527366399765,Propio o nativo de las costas o de las tierras bajas.,Persona que vive en las zonas bajas de una ciudad o región.
abalear,Cohere_Command_R_08_2024,0.6162720322608948,0.5983214974403381,0.6071641445159912,Disparar a alguien o a algo de manera repetida con un arma de fuego.,Accionar armas de fuego en dirección a un objeto o persona.
abaleo,Cohere_Command_R_08_2024,0.5086702108383179,0.48577672243118286,0.49695995450019836,Situación en la que hay disparos repetidos que provienen de una o varias armas de fuego.,"Sonido potente y resonante, a menudo causado por un impacto o alteración"
abanicar,Cohere_Command_R_08_2024,0.5489736795425415,0.48930495977401733,0.5174248218536377,"En el beisbol, fallar el bateador al no tocar la pelota que se le lanza habiendo hecho el movimiento completo del bate para golpearla.",Mover el bate adelante y atrás de manera vigorosa.
abanico,Cohere_Command_R_08_2024,0.7240313291549683,0.684628427028656,0.7037788033485413,Aparato eléctrico que crea una corriente de aire en una habitación para ventilarla y disminuir su temperatura.,Dispositivo utilizado para circular aire y enfriar un ambiente.
abarco,Cohere_Command_R_08_2024,0.61513352394104,0.4797956645488739,0.5391004085540771,"Árbol maderable que alcanza una altura hasta 50 m, de hojas lanceoladas, follaje poco frondoso, la corteza se procesa para la elaboración de canastos.","Material obtenido de árboles, utilizado para construcción."
abarrotes,Cohere_Command_R_08_2024,0.5725021362304688,0.5877487659454346,0.5800252556800842,Víveres de consumo diario.,"Productos esenciales de consumo diario, como alimentos y provisiones."
abeja,Cohere_Command_R_08_2024,0.505182683467865,0.4752560555934906,0.48976266384124756,Ser hábil o astuto para salir bien librado de situaciones complicadas.,Alguien que posee conocimientos precisos y detallados sobre un lugar o situación.
abejorrear,Cohere_Command_R_08_2024,0.5607313513755798,0.5845806002616882,0.5724076628684998,Manosear lujuriosamente a alguien en público.,Acosar persistentemente a alguien de forma física o verbal.
abismante,Cohere_Command_R_08_2024,0.6904945373535156,0.6407797336578369,0.6647088527679443,"Referido a alguien o a algo, que es sorprendente o muy notorio.","De forma inesperada, admirable o significativa."
abombado,Cohere_Command_R_08_2024,0.6113947033882141,0.6594626307487488,0.634519636631012,"Referido a un alimento, que está descompuesto.",Descriptivo de un objeto o materia que ha aumentado de tamaño.
aborrajado,Cohere_Command_R_08_2024,0.721418559551239,0.6641121506690979,0.6915802359580994,"Plato típico hecho con dos capas de plátano maduro frito con un relleno de queso y bocadillo entre ellas, y que se apana y se frita hasta dorarse.",Alimento que se prepara con algo relleno o con un agregado
abotar,Cohere_Command_R_08_2024,0.45000454783439636,0.4196966886520386,0.4343225061893463,Ubicarse alguien o algo en la orilla del río o la acera.,Hacer una petición formal de bendición o protección.
abozao,Cohere_Command_R_08_2024,0.5737152695655823,0.4936595559120178,0.5306852459907532,Danza caracterizada por movimientos pélvicos enérgicos y rápidos de los danzantes y se acompaña con frecuentes gritos.,Es una descripción musical de ritmo.
abrebocas,Cohere_Command_R_08_2024,0.49297472834587097,0.47518086433410645,0.48391425609588623,Adelanto que a manera de muestra se ofrece como motivación para que el público asista a una presentación o a un espectáculo.,"Contiene algo al inicio, actúa como apertura o comienzo de algo."
abrigar,Cohere_Command_R_08_2024,0.4112199544906616,0.4197196662425995,0.4154263138771057,Calentar los alimentos en la estufa.,Aumentar la temperatura de un alimento para resaltar su sabor.
abrirse,Cohere_Command_R_08_2024,0.30030661821365356,0.3213421702384949,0.31046849489212036,Irse de un lugar.,Revelar la verdad de manera honesta y transparente.
abrochar,Cohere_Command_R_08_2024,0.6284134984016418,0.5566763877868652,0.5903737545013428,Exigirle duramente a alguien que realice una tarea o cumpla con sus deberes.,Reprimir o amonestar a alguien con severidad.
abuelita,Cohere_Command_R_08_2024,0.5308102369308472,0.4980686902999878,0.5139184594154358,Cuna portátil para bebé que facilita llevarlo de un sitio a otro.,"Objeto destinado a facilitar el asiento, con respaldo."
abullonado,Cohere_Command_R_08_2024,0.49718475341796875,0.4310496151447296,0.4617612063884735,"Referido a un mueble o prenda de vestir, relleno o abultado por un material que se expande, utilizado en los textiles con que se recubren o elaboran estos objetos.",Presentando una deformación o inconveniente en su estructura.
aburrición,Cohere_Command_R_08_2024,0.5582467317581177,0.5760417580604553,0.5670046210289001,Cosa o situación que produce pereza o falta de interés.,Sentimiento de fastidio o monotonía por algo repetitivo.
acabado,Cohere_Command_R_08_2024,0.5003352165222168,0.47020161151885986,0.48480063676834106,"Referido a una persona, con aspecto débil y enfermizo.",Indica un nivel extremo de cansancio o fatiga física.
acabarropa,Cohere_Command_R_08_2024,0.5654698610305786,0.6157363057136536,0.5895335078239441,"Referido a una persona, holgazán.",Se refiere a una acción o comportamiento que se realiza sin demasiado cuidado o precaución.
acabose,Cohere_Command_R_08_2024,0.6035483479499817,0.5633041858673096,0.5827323198318481,Acontecimiento irreparable o con el que se llega al extremo de una situación negativa.,La conclusión o culminación de algo.
acartonado,Cohere_Command_R_08_2024,0.5740130543708801,0.5510735511779785,0.5623094439506531,"Referido a una persona, poco natural en su comportamiento, esquemática.","Sin expresión o movimiento, falta de flexibilidad."
acatar,Cohere_Command_R_08_2024,0.4851105809211731,0.46505141258239746,0.4748692512512207,Caer en cuenta de algo.,Cumplir con una orden o regla establecida.
accesar,Cohere_Command_R_08_2024,0.6714571118354797,0.677629828453064,0.6745293140411377,Tener acceso a los datos de un sistema informático.,Acceder a una zona restringida o a un lugar del sistema.
aceite,Cohere_Command_R_08_2024,0.48136982321739197,0.44878950715065,0.4645090699195862,Comprobar o evaluar alguien la capacidad de otro sometiéndolo de manera inadvertida a una prueba o situación difícil para determinar el curso posterior de una acción.,"Acción de incitar, incentivar o provocar a otra persona."
acelerado,Cohere_Command_R_08_2024,0.4706456661224365,0.46912696957588196,0.46988511085510254,"Referido a una persona, que actúa con precipitud, impaciencia.","Tendencia a actuar sin pensar, siendo impredecible."
acelere,Cohere_Command_R_08_2024,0.6308013200759888,0.6113156080245972,0.6209056377410889,Afán o rapidez exagerada con que se hace algo.,Estado de apuro o necesidad de actuar con rapidez.
acema,Cohere_Command_R_08_2024,0.6496889591217041,0.5484480261802673,0.5947911143302917,"Pan dulce de forma redonda, elaborado con harina de trigo y bicarbonato sódico y condimentado con anís, papelón y, en ocasiones, queso rallado.","Repostería dulce y esponjosa, servida en rodajas."
achacado,Cohere_Command_R_08_2024,0.5408225059509277,0.523476243019104,0.5320079922676086,"Referido a una persona, enferma o débil, especialmente por problemas asociados con la vejez.",Tiene una dolencia o enfermedad que requiere atención médica.
achajuanado,Cohere_Command_R_08_2024,0.5608920454978943,0.5338755249977112,0.547050416469574,"Referido a una persona o un animal, sofocado por el calor o el trabajo excesivo.","Afección de estar fatigado, cansado o exhausto."
achantado,Cohere_Command_R_08_2024,0.5713580250740051,0.556648313999176,0.5639072060585022,"Referdio a una persona, triste, desencantado.","Con miedo o inseguridad, preocupado por algo."
achantar,Cohere_Command_R_08_2024,0.5034719705581665,0.5052891969680786,0.5043789148330688,Desalentar o hacer perder el ánimo.,Dar miedo o temor a alguien mediante intimidación.
achante,Cohere_Command_R_08_2024,0.5971043109893799,0.6653948426246643,0.6294026374816895,"Depresión, abatimiento.",Sentimiento de desánimo y desaprobación.
achapado,Cohere_Command_R_08_2024,0.4743278920650482,0.5023201107978821,0.48792287707328796,"Referido a una persona, avara, tacaña.",Persona que tiene un comportamiento impetuoso o poco apropiado.
achicar,Cohere_Command_R_08_2024,0.4191265106201172,0.3834517002105713,0.400496244430542,Extraer el agua que se mete en las embarcaciones al navegar.,Disminuir el tamaño o volumen de algo.
achicharrar,Cohere_Command_R_08_2024,0.3543078899383545,0.3567790389060974,0.3555392026901245,Tostar demasiado o quemar algo.,Produce daños irreversibles por altas temperaturas.
achicopalado,Cohere_Command_R_08_2024,0.601218581199646,0.5956832766532898,0.5984381437301636,"Referido a una persona, triste, desencantado.","Sentirse triste, abrumado o sin entusiasmo."
achicopalar,Cohere_Command_R_08_2024,0.5874007344245911,0.5812471508979797,0.5843077301979065,Desalentar o hacer perder el ánimo.,Infundir miedo o intimidar a alguien.
achilado,Cohere_Command_R_08_2024,0.5427476167678833,0.547308623790741,0.5450186133384705,"Referido al cabello o a las plantas, deteriorados o sin la vitalidad que deberían mostrar.","Caldo o sopa cuya textura ha espesado por alguna causa, dando esa consistencia pegajosa."
achilar,Cohere_Command_R_08_2024,0.7102292776107788,0.6519296169281006,0.679831862449646,"Perder algo la apariencia de vitalidad que debería tener, especialmente el pelo y las plantas.","Perder volumen o densidad, especialmente en cabello o pelo."
