modismo,modelo,respuesta_real,respuesta_generada,correcto
achicopalar,Cohere_Command_R_08_2024,Sí,Sí,True
achilado,Cohere_Command_R_08_2024,Sí,Sí,True
achilar,Cohere_Command_R_08_2024,Sí,Sí,True
achiote,Cohere_Command_R_08_2024,Sí,No,False
achiquitar,Cohere_Command_R_08_2024,Sí,Sí,True
achira,Cohere_Command_R_08_2024,Sí,No,False
achucado,Cohere_Command_R_08_2024,Sí,Sí,True
achucarse,Cohere_Command_R_08_2024,Sí,Sí,True
achín,Cohere_Command_R_08_2024,Sí,No,False
aco,Cohere_Command_R_08_2024,Sí,Sí,True
acobalar,Cohere_Command_R_08_2024,Sí,No,False
acolitar,Cohere_Command_R_08_2024,Sí,Sí,True
acomedirse,Cohere_Command_R_08_2024,Sí,Sí,True
acondicionar,Cohere_Command_R_08_2024,Sí,Sí,True
acordeonero,Cohere_Command_R_08_2024,Sí,Sí,True
acose,Cohere_Command_R_08_2024,Sí,No,False
acosón,Cohere_Command_R_08_2024,Sí,Sí,True
acotejar,Cohere_Command_R_08_2024,Sí,Sí,True
acuacultura,Cohere_Command_R_08_2024,Sí,No,False
acudiente,Cohere_Command_R_08_2024,Sí,Sí,True
acuerpado,Cohere_Command_R_08_2024,Sí,Sí,True
aculillarse,Cohere_Command_R_08_2024,Sí,Sí,True
acurrucarse,Cohere_Command_R_08_2024,Sí,Sí,True
acusaletas,Cohere_Command_R_08_2024,Sí,No,False
acusetas,Cohere_Command_R_08_2024,Sí,Sí,True
acápite,Cohere_Command_R_08_2024,Sí,No,False
ademanoso,Cohere_Command_R_08_2024,Sí,Sí,True
aeróbicos,Cohere_Command_R_08_2024,Sí,No,False
afanar,Cohere_Command_R_08_2024,Sí,Sí,True
afiche,Cohere_Command_R_08_2024,Sí,No,False
afiebrado,Cohere_Command_R_08_2024,Sí,No,False
afiebrarse,Cohere_Command_R_08_2024,Sí,Sí,True
afilado,Cohere_Command_R_08_2024,Sí,Sí,True
afilarse,Cohere_Command_R_08_2024,Sí,No,False
afirmativo,Cohere_Command_R_08_2024,Sí,No,False
aflojachocho,Cohere_Command_R_08_2024,Sí,No,False
aforar,Cohere_Command_R_08_2024,Sí,Sí,True
afrechero,Cohere_Command_R_08_2024,Sí,Sí,True
afrijolar,Cohere_Command_R_08_2024,Sí,Sí,True
afro,Cohere_Command_R_08_2024,Sí,No,False
afugias,Cohere_Command_R_08_2024,Sí,Sí,True
agache,Cohere_Command_R_08_2024,Sí,Sí,True
agalla,Cohere_Command_R_08_2024,Sí,No,False
agalludo,Cohere_Command_R_08_2024,Sí,No,False
agapanto,Cohere_Command_R_08_2024,Sí,Sí,True
agarrar,Cohere_Command_R_08_2024,Sí,No,False
agarrón,Cohere_Command_R_08_2024,Sí,Sí,True
agonía,Cohere_Command_R_08_2024,Sí,No,False
agregado,Cohere_Command_R_08_2024,Sí,Sí,True
agria,Cohere_Command_R_08_2024,Sí,No,False
agrieras,Cohere_Command_R_08_2024,Sí,No,False
agringarse,Cohere_Command_R_08_2024,Sí,Sí,True
agrio,Cohere_Command_R_08_2024,Sí,Sí,True
agripado,Cohere_Command_R_08_2024,Sí,Sí,True
agriparse,Cohere_Command_R_08_2024,Sí,Sí,True
agropecuario,Cohere_Command_R_08_2024,Sí,No,False
agua,Cohere_Command_R_08_2024,Sí,No,False
