modismo,ejemplo_original,modelo,sinonimo,ejemplo_con_sinonimo,align_score
acartonado,El cantante vallenato no hacía gala de sus acostumbradas actuaciones y se le notaba serio y acartonado.,Amazon_Nova_Micro_V1,actuar rígido,El cantante vallenato no hacía gala de sus acostumbradas actuaciones y se le notaba serio y actuar rígido.,0.18107329308986664
acatar,Sólo cuando descargamos el mercado acatamos que se nos habían quedado los plátanos en la casa del compadre.,Amazon_Nova_Micro_V1,reconocer la verdad,Sólo cuando descargamos el mercado reconocer la verdad que se nos habían quedado los plátanos en la casa del compadre.,0.11128079891204834
accesar,Para accesar al sistema debes introducir tu contraseña.,Amazon_Nova_Micro_V1,entrar al sistema,Para entrar al sistema al sistema debes introducir tu contraseña.,0.6622353196144104
aceite,Los camioneros le midieron el aceite al nuevo ministro amenazándolo con un paro de transportadores que nunca pensaron llevar a cabo.,Amazon_Nova_Micro_V1,amenazar,Los camioneros le midieron el amenazar al nuevo ministro amenazándolo con un paro de transportadores que nunca pensaron llevar a cabo.,0.6622370481491089
acelerado,"Sus amigos dicen que Angelita es muy acelerada, pero que siempre tiene iniciativa y es muy decidida.",Amazon_Nova_Micro_V1,decidido rápido,"Sus amigos dicen que Angelita es muy decidido rápido, pero que siempre tiene iniciativa y es muy decidida.",0.25751665234565735
acelere,El acelere de la Administración Municipal conlleva a graves errores en los cálculos de la tributación.,Amazon_Nova_Micro_V1,aumento rápido,El aumento rápido de la Administración Municipal conlleva a graves errores en los cálculos de la tributación.,0.7177873849868774
acema,"Que uno vaya a una casa a realizar un pesebre y le tengan su chocolate, su pedazo de queso, su pedazo de acema, se ve muy tradicional.",Amazon_Nova_Micro_V1,pan de centeno,"Que uno vaya a una casa a realizar un pesebre y le tengan su chocolate, su pedazo de queso, su pedazo de pan de centeno, se ve muy tradicional.",0.029176296666264534
achacado,"Volvió más achacado, entonces lo trajeron a la clínica. Pero él es fuerte y se está reponiendo.",Amazon_Nova_Micro_V1,enfermo,"Volvió más enfermo, entonces lo trajeron a la clínica. Pero él es fuerte y se está reponiendo.",0.7752424478530884
achajuanado,Los dos viajeros llegaron a la posada hambrientos y achajuanados.,Amazon_Nova_Micro_V1,cansado extremo,Los dos viajeros llegaron a la posada hambrientos y cansado extremos.,0.30290523171424866
achantado,"Así que empecé a devolverme y un poco achantado miraba atrás constantemente, en un intento por mantener la esperanza de llegar a verla.",Amazon_Nova_Micro_V1,asustado,"Así que empecé a devolverme y un poco asustado miraba atrás constantemente, en un intento por mantener la esperanza de llegar a verla.",0.9973607659339905
achantar,"No se dejó achantar, decidió irse por el lado de la percusión rítmica y ahí, por fin, llegó el swing esperado.",Amazon_Nova_Micro_V1,asustar,"No se dejó asustar, decidió irse por el lado de la percusión rítmica y ahí, por fin, llegó el swing esperado.",0.9329102635383606
achante,Andaba en un achante porque nadie lo había felicitado de cumpleaños en el colegio.,Amazon_Nova_Micro_V1,enojado,Andaba en un enojado porque nadie lo había felicitado de cumpleaños en el colegio.,0.948876142501831
achapado,"Es muy achapado, dijo que quería ir al baño cuando ya íbamos a pagar.",Amazon_Nova_Micro_V1,pedir ir al baño,"Es muy pedir ir al baño, dijo que quería ir al baño cuando ya íbamos a pagar.",0.6290221214294434
achicar,"Mijo, ayúdeme a achicar la champa para que no se nos hunda.",Amazon_Nova_Micro_V1,bajar el agua,"Mijo, ayúdeme a bajar el agua la champa para que no se nos hunda.",0.19823244214057922
achicharrar,"Los campos se secaron y se achicharraron por la falta de lluvia, y las cosechas se marchitaban de sed.",Amazon_Nova_Micro_V1,secarse y quemarse,"Los campos se secaron y se secarse y quemarseon por la falta de lluvia, y las cosechas se marchitaban de sed.",0.9391359090805054
achicopalado,"Carajo, me hace falta Estelita hoy para subirme el ánimo, porque estoy achicopalada.",Amazon_Nova_Micro_V1,sin ánimo,"Carajo, me hace falta Estelita hoy para subirme el ánimo, porque estoy sin ánimo.",0.1165856122970581
achicopalar,"Hay que sacarle también jugo a la experiencia, y eso depende de nosotras mismas, de no dejarnos achicopalar.",Amazon_Nova_Micro_V1,no achicharrar,"Hay que sacarle también jugo a la experiencia, y eso depende de nosotras mismas, de no dejarnos no achicharrar.",0.9228067994117737
achilado,"Fue una música que los padres detestaron porque venía de personajes con el pelo lacio, largo y caótico, de barbas achiladas y guitarras destrozadas.",Amazon_Nova_Micro_V1,barbas cortas,"Fue una música que los padres detestaron porque venía de personajes con el pelo lacio, largo y caótico, de barbas barbas cortas y guitarras destrozadas.",0.24531282484531403
achilar,Se le achila el pelo a pesar de gastar fortunas en cuidados y tratamientos.,Amazon_Nova_Micro_V1,perder cabello,Se le perder cabello el pelo a pesar de gastar fortunas en cuidados y tratamientos.,0.4204973876476288
achiote,El achiote crece y se desarrolla en muy buenas condiciones desde el nivel del mar hasta los 1.200 metros de altura.,Amazon_Nova_Micro_V1,árbol de achiote,El árbol de achiote crece y se desarrolla en muy buenas condiciones desde el nivel del mar hasta los 1.200 metros de altura.,0.15070177614688873
achiquitar,"No metas tu ropa de lana en la secadora, ya que se puede rasgar y achiquitar.",Amazon_Nova_Micro_V1,encoger,"No metas tu ropa de lana en la secadora, ya que se puede rasgar y encoger.",0.6045094728469849
achira,"Por su buen tamaño, su color verde intenso y un sabor muy agradable, en algunas regiones de Colombia los tamales se envuelven en hojas de achira y no de plátano.",Amazon_Nova_Micro_V1,hojas de achira,"Por su buen tamaño, su color verde intenso y un sabor muy agradable, en algunas regiones de Colombia los tamales se envuelven en hojas de hojas de achira y no de plátano.",0.9988742470741272
achucado,Está como achucado por esa tos.,Amazon_Nova_Micro_V1,tos persistente,Está como tos persistente por esa tos.,0.5909568071365356
achucarse,Me achuqué ayer por comer rápido y casi muero.,Amazon_Nova_Micro_V1,tener un ataque,Me tener un ataque ayer por comer rápido y casi muero.,0.9773705005645752
achín,"También está la papa china o achín, un tubérculo parecido a la yuca, de gran tamaño y de sabor delicado, con la que se pueden preparar sudados y purés para acompañar pollo o mariscos.",Amazon_Nova_Micro_V1,papa china,"También está la papa china o papa china, un tubérculo parecido a la yuca, de gran tamaño y de sabor delicado, con la que se pueden preparar sudados y purés para acompañar pollo o mariscos.",0.9886355400085449
aco,"Para preparar el aco, tostaba la linaza en callana y después se la molía; se cernía en cedazo muy fino y esta harina se la preparaba con panela rallada.",Amazon_Nova_Micro_V1,harina de linaza,"Para preparar el harina de linaza, tostaba la linaza en callana y después se la molía; se cernía en cedazo muy fino y esta harina se la preparaba con panela rallada.",0.21068990230560303
acobalar,"El taller ofrece chalecos, cascos, forros, mecánica en general, servicio electrónico, y técnicos en radiar y acobalar toda clase de rines.",Amazon_Nova_Micro_V1,reparar rines,"El taller ofrece chalecos, cascos, forros, mecánica en general, servicio electrónico, y técnicos en radiar y reparar rines toda clase de rines.",0.2883342504501343
acolitar,"Antes de enviudar, su esposo le acolitó su voluntariado, como también le auspició sus clases de cocina.",Amazon_Nova_Micro_V1,apoyar actividades,"Antes de enviudar, su esposo le apoyar actividades su voluntariado, como también le auspició sus clases de cocina.",0.9503183960914612
acomedirse,"Como vieron que no podía solo, varios de sus compañeros rápidamente se acomidieron y con la fuerza de siete hombres, la pesada puerta se abrió lentamente.",Amazon_Nova_Micro_V1,ayudar,"Como vieron que no podía solo, varios de sus compañeros rápidamente se ayudar y con la fuerza de siete hombres, la pesada puerta se abrió lentamente.",0.9653201699256897
acondicionar,"Pensando en la calidad de vida de los discapacitados, la empresa ofrece acondicionar los vehículos y así mejorar su movilidad.",Amazon_Nova_Micro_V1,adaptar vehículos,"Pensando en la calidad de vida de los discapacitados, la empresa ofrece adaptar vehículos los vehículos y así mejorar su movilidad.",0.9183281660079956
acordeonero,Estos conjuntos clásicos se caracterizaban porque el acordeonero era el mismo cantante y se hacía acompañar de una caja y una guacharaca.,Amazon_Nova_Micro_V1,cantante de acordeón,Estos conjuntos clásicos se caracterizaban porque el cantante de acordeón era el mismo cantante y se hacía acompañar de una caja y una guacharaca.,0.9567641019821167
acose,Pero qué acose el tuyo. Al menos espera a que lleguemos a la casa.,Amazon_Nova_Micro_V1,corre mucho,Pero qué corre mucho el tuyo. Al menos espera a que lleguemos a la casa.,0.5978112816810608
acosón,"Soy muy exigente, muy acosón y me exijo a mí mismo. Discutir conmigo no es fácil, pero cedo ante las razones de la inteligencia.",Amazon_Nova_Micro_V1,exigencia,"Soy muy exigente, muy exigencia y me exijo a mí mismo. Discutir conmigo no es fácil, pero cedo ante las razones de la inteligencia.",0.6303612589836121
acotejar,Se están acotejando las pruebas para demostrar que financieramente esta empresa no puede asumir el contrato.,Amazon_Nova_Micro_V1,recopilar evidencia,Se están recopilar evidencia las pruebas para demostrar que financieramente esta empresa no puede asumir el contrato.,0.7496534585952759
acudiente,El rector informó que el desconocido ingresó como cualquier acudiente que llega a la institución a traer a un estudiante que viene tarde.,Amazon_Nova_Micro_V1,padre o madre,El rector informó que el desconocido ingresó como cualquier padre o madre que llega a la institución a traer a un estudiante que viene tarde.,0.008715378120541573
acuerpado,"A la entrada un guardaespaldas de estatura media, acuerpado y de traje negro intenta impedir el ingreso de más personas.",Amazon_Nova_Micro_V1,corporeño,"A la entrada un guardaespaldas de estatura media, corporeño y de traje negro intenta impedir el ingreso de más personas.",0.5172560214996338
aculillarse,"Tembló la madre tierra y hasta los más incrédulos, los que no van a misa, se aculillaron, se echaron la bendición y gritaron.",Amazon_Nova_Micro_V1,echarse la bendición,"Tembló la madre tierra y hasta los más incrédulos, los que no van a misa, se echarse la bendición, se echaron la bendición y gritaron.",0.9815019965171814
acurrucarse,"En el momento en que la tierra se empezó a sacudir bruscamente, mi amigo tiró su bicicleta y se acurrucó al lado del barranco.",Amazon_Nova_Micro_V1,esconderse cerca,"En el momento en que la tierra se empezó a sacudir bruscamente, mi amigo tiró su bicicleta y se esconderse cerca al lado del barranco.",0.9620353579521179
acusaletas,"El niño Jorge Mario se ha ganado la enemistad de sus compañeros, que lo tildan de acusaletas.",Amazon_Nova_Micro_V1,delator,"El niño Jorge Mario se ha ganado la enemistad de sus compañeros, que lo tildan de delator.",0.004468320868909359
acusetas,"Pone en tela de juicio a todo el que se le atraviese, sin que hasta ahora en sus múltiples incursiones de rufián desafiante y acusetas, haya podido probar nada de lo que afirma.",Amazon_Nova_Micro_V1,acusar sin pruebas,"Pone en tela de juicio a todo el que se le atraviese, sin que hasta ahora en sus múltiples incursiones de rufián desafiante y acusar sin pruebas, haya podido probar nada de lo que afirma.",0.052955277264118195
acápite,"En los acápites que se leen a continuación, se especifica cuando un hecho doloso puede considerarse como agravado.",Amazon_Nova_Micro_V1,párrafo,"En los párrafos que se leen a continuación, se especifica cuando un hecho doloso puede considerarse como agravado.",0.6382954716682434
aeróbicos,La profesora de aeróbicos supervisa que los ejercicios se realicen de forma apropiada.,Amazon_Nova_Micro_V1,ejercicios físicos,La profesora de ejercicios físicos supervisa que los ejercicios se realicen de forma apropiada.,0.19854891300201416
afanar,"- Te veo muy seguro. - Lo he pensado con calma, sin afanarme.",Amazon_Nova_Micro_V1,estresarme,"- Te veo muy seguro. - Lo he pensado con calma, sin estresarmeme.",0.6787055134773254
afiche,¿Le prende veladora al afiche de la selección que tiene autografiado en el cuarto?,Amazon_Nova_Micro_V1,carta de fútbol,¿Le prende veladora al carta de fútbol de la selección que tiene autografiado en el cuarto?,0.4460640847682953
afiebrado,El New York Times destaca que colombianos son los más 'afiebrados' por su selección de fútbol.,Amazon_Nova_Micro_V1,entusiasmado,El New York Times destaca que colombianos son los más 'entusiasmados' por su selección de fútbol.,0.05642974004149437
afiebrarse,Con la llegada de los primeros dientes lo más probable es que el niño se afiebre y tenga otras molestias.,Amazon_Nova_Micro_V1,tener fiebre,Con la llegada de los primeros dientes lo más probable es que el niño se tener fiebre y tenga otras molestias.,0.9891090393066406
afilado,Estudiamos en grupos y llegamos a presentar bien afiladas el examen final que tanto nos preocupaba.,Amazon_Nova_Micro_V1,respuestas precisas,Estudiamos en grupos y llegamos a presentar bien respuestas precisas el examen final que tanto nos preocupaba.,0.3898104429244995
afilarse,Tenía planeado trasnochar y afilarse para el examen de admisión.,Amazon_Nova_Micro_V1,estudiar,Tenía planeado trasnochar y estudiar para el examen de admisión.,0.5384387373924255
afirmativo,"Afirmativo, mi General: en cosa de minutos le traigo al plomero.",Amazon_Nova_Micro_V1,estoy de acuerdo,"estoy de acuerdo, mi General: en cosa de minutos le traigo al plomero.",0.31653842329978943
aflojachocho,"Todos esos tragos eran bien recibidos por nosotros, sin embargo, yo le hacía fuerza para que mi amiga tomara el popular 'aflojachocho'.",Amazon_Nova_Micro_V1,cachaza suave,"Todos esos tragos eran bien recibidos por nosotros, sin embargo, yo le hacía fuerza para que mi amiga tomara el popular 'cachaza suave'.",0.0028949195984750986
aforar,Si usted considera que su equipaje vale más entonces deberá aforar su equipaje en donde se asegurará y se declarará su valor.,Amazon_Nova_Micro_V1,pesar el equipaje,Si usted considera que su equipaje vale más entonces deberá pesar el equipaje su equipaje en donde se asegurará y se declarará su valor.,0.5502163767814636
afrijolar,En medio del relajo le afrijolaron dos pepazos en la cabeza y por eso expulsaron al culpable.,Amazon_Nova_Micro_V1,golpear fuerte,En medio del relajo le golpear fuerteon dos pepazos en la cabeza y por eso expulsaron al culpable.,0.7658542394638062
afro,Dentro de un mes se realizará en Medellín la primera muestra de cine y video afro e indígena.,Amazon_Nova_Micro_V1,cultura afro,Dentro de un mes se realizará en Medellín la primera muestra de cine y video cultura afro e indígena.,0.15245860815048218
afugias,El proyecto de reelección pasará sin mayores afugias su primera prueba esta semana en el Congreso.,Amazon_Nova_Micro_V1,sin problemas,El proyecto de reelección pasará sin mayores sin problemas su primera prueba esta semana en el Congreso.,0.25594741106033325
agache,Lo preocupante fue que en la noticia publicada pasaron de agache que la pobreza extrema prácticamente se mantuvo inalterada.,Amazon_Nova_Micro_V1,omitieron,Lo preocupante fue que en la noticia publicada pasaron de omitieron que la pobreza extrema prácticamente se mantuvo inalterada.,0.050469666719436646
agalla,"Creo que se precipitó o se le abrió la agalla, se hubiera esperado un año más y hubiera ganado más dinero.",Amazon_Nova_Micro_V1,impaciencia,"Creo que se precipitó o se le abrió la impaciencia, se hubiera esperado un año más y hubiera ganado más dinero.",0.059594281017780304
agalludo,"Ya continuaremos esta crónica de cómo una nación, pequeña pero resuelta, agalluda como ninguna otra, acaba engulléndose a otra.",Amazon_Nova_Micro_V1,muy decidido,"Ya continuaremos esta crónica de cómo una nación, pequeña pero resuelta, muy decidido como ninguna otra, acaba engulléndose a otra.",0.07554063200950623
agarrar,"Fue Tránsito Ariza la que agarró la ocasión al vuelo y mandó a la viuda para el dormitorio del hijo, con el pretexto de que en el suyo no había lugar.",Amazon_Nova_Micro_V1,aprovechar oportunidad,"Fue Tránsito Ariza la que aprovechar oportunidad la ocasión al vuelo y mandó a la viuda para el dormitorio del hijo, con el pretexto de que en el suyo no había lugar.",0.6300604343414307
agarrón,El agarrón se filtró a los medios y al otro día era la comidilla de las crónicas políticas.,Amazon_Nova_Micro_V1,pelea pública,El pelea pública se filtró a los medios y al otro día era la comidilla de las crónicas políticas.,0.034506626427173615
agonía,Tengo una agonía en el estómago que con gusto me comería tu plato también.,Amazon_Nova_Micro_V1,gran hambre,Tengo una gran hambre en el estómago que con gusto me comería tu plato también.,0.7475239038467407
agrieras,"Últimamente he tenido 'agrieras', que aparecen después de que he comido. Y para eso tomo antiácidos.",Amazon_Nova_Micro_V1,reflujo gastroesofágico,"Últimamente he tenido 'reflujo gastroesofágico', que aparecen después de que he comido. Y para eso tomo antiácidos.",0.4936715066432953
agringarse,"Después de vivir tanto tiempo en Chicago, la verdad poco a poco se le ha ido el acento barranquillero que tenía, ya está empezando a agringarse.",Amazon_Nova_Micro_V1,perder acento,"Después de vivir tanto tiempo en Chicago, la verdad poco a poco se le ha ido el acento barranquillero que tenía, ya está empezando a perder acento.",0.05817313864827156
agrio,"Su abuela paterna, una mujer agria y dominante, la cuidó desde sus cuatro años.",Amazon_Nova_Micro_V1,mala temperamento,"Su abuela paterna, una mujer mala temperamento y dominante, la cuidó desde sus cuatro años.",0.1839320808649063
agripado,Consúltale si tu hijo puede realizar actividades normalmente a pesar de estar agripado.,Amazon_Nova_Micro_V1,tener resfriado,Consúltale si tu hijo puede realizar actividades normalmente a pesar de estar tener resfriado.,0.13662442564964294
agropecuario,Siempre que combinaba mal la ropa su tía arribista lo llamaba agropecuario.,Amazon_Nova_Micro_V1,vestido inapropiado,Siempre que combinaba mal la ropa su tía arribista lo llamaba vestido inapropiado.,0.18902461230754852
agua,"Se desarrolló una caracterización física y química de los principales ríos, quebradas y humedales en la época de aguas altas y bajas del Río Orinoco.",Amazon_Nova_Micro_V1,nivel de agua,"Se desarrolló una caracterización física y química de los principales ríos, quebradas y humedales en la época de nivel de aguas altas y bajas del Río Orinoco.",0.08137457817792892
abajeño,"Empezaron cultivos de tabaco y a elaborar un delicioso aguardiente de contrabando, al mismo tiempo que cultivaban cacao para llevar a los abajeños de Cartago.",Cohere_Command_R_08_2024,habitante de abajo,"Empezaron cultivos de tabaco y a elaborar un delicioso aguardiente de contrabando, al mismo tiempo que cultivaban cacao para llevar a los habitante de abajos de Cartago.",0.18978825211524963
abalear,El funcionario resultó ileso a pesar de que el avión en que se dirigía a la capital del departamento fue abaleado.,Cohere_Command_R_08_2024,disparar con armas,El funcionario resultó ileso a pesar de que el avión en que se dirigía a la capital del departamento fue disparar con armas.,0.11162154376506805
abaleo,Por la calle doce se oía un tremendo abaleo y al poco rato vimos llegar a la policía.,Cohere_Command_R_08_2024,ruido fuerte,Por la calle doce se oía un tremendo ruido fuerte y al poco rato vimos llegar a la policía.,0.4289797842502594
abanicar,El bateador se ponchó abanicando el tercer lanzamiento.,Cohere_Command_R_08_2024,sacudir,El bateador se ponchó sacudir el tercer lanzamiento.,0.5083258152008057
abanico,"No podía dormir la siesta de la tarde sin el abanico prendido, el calor era desesperante.",Cohere_Command_R_08_2024,ventilador,"No podía dormir la siesta de la tarde sin el ventilador prendido, el calor era desesperante.",0.05343862250447273
abarco,"Actualmente, la oferta de madera de abarco ha disminuido, como consecuencia de la reducción de sus poblaciones naturales.",Cohere_Command_R_08_2024,madera,"Actualmente, la oferta de madera de madera ha disminuido, como consecuencia de la reducción de sus poblaciones naturales.",0.11002300679683685
abarrotes,"El Plaza Centro tiene 389 soluciones destinadas para vendedores de hierbas, flores, artesanías, frutas, verduras, abarrotes, carnes y lácteos.",Cohere_Command_R_08_2024,productos básicos,"El Plaza Centro tiene 389 soluciones destinadas para vendedores de hierbas, flores, artesanías, frutas, verduras, productos básicos, carnes y lácteos.",0.16930899024009705
abeja,Llegaste sin problemas al sitio: no contaban con que eres una abeja y que siempre cargas un mapa del lugar a donde vas.,Cohere_Command_R_08_2024,persona informada,Llegaste sin problemas al sitio: no contaban con que eres una persona informada y que siempre cargas un mapa del lugar a donde vas.,0.6734721660614014
abejorrear,Se ha vuelto una práctica de lo más normal eso de que se le peguen a una los tipos en los buses y lo abejorreen.,Cohere_Command_R_08_2024,molestiar,Se ha vuelto una práctica de lo más normal eso de que se le peguen a una los tipos en los buses y lo molestiar.,0.4760095179080963
abismante,"Después de todo, el poder adquisitivo de los latinos y los asiáticos está creciendo de manera abismante en ese país.",Cohere_Command_R_08_2024,sorprendentemente,"Después de todo, el poder adquisitivo de los latinos y los asiáticos está creciendo de manera sorprendentemente en ese país.",0.07327968627214432
abombado,Juan no se comió la carne porque estaba abombada.,Cohere_Command_R_08_2024,inchado,Juan no se comió la carne porque estaba inchado.,0.3256475031375885
aborrajado,El aborrajado es un plato típico que se inscribe en la amplia gama de platos que conforman la 'cocina vallecaucana'.,Cohere_Command_R_08_2024,relleno,El relleno es un plato típico que se inscribe en la amplia gama de platos que conforman la 'cocina vallecaucana'.,0.020637908950448036
abotar,"Niña, abótese que la puede atropellar el carro.",Cohere_Command_R_08_2024,bendigase,"Niña, bendigase que la puede atropellar el carro.",0.9123560786247253
abozao,El grupo de Chocó bailó Voltea en ritmo de abozao que es una danza folclórica del Pacífico colombiano.,Cohere_Command_R_08_2024,de bambuko,El grupo de Chocó bailó Voltea en ritmo de de bambuko que es una danza folclórica del Pacífico colombiano.,0.6497721672058105
abrebocas,"Cine, arte y paz en 5 cortometrajes de abrebocas al festival Caleidoscopio de sueños.",Cohere_Command_R_08_2024,entrada,"Cine, arte y paz en 5 cortometrajes de entrada al festival Caleidoscopio de sueños.",0.09776511043310165
abrigar,Le voy a abrigar la arepita para que le sepa más rico.,Cohere_Command_R_08_2024,calentar,Le voy a calentar la arepita para que le sepa más rico.,0.734268844127655
abrirse,"No nos venga a engañar otra vez con sus cuentos, ábrase.",Cohere_Command_R_08_2024,ser sincero,"No nos venga a engañar otra vez con sus cuentos, ser sincero.",0.2656053602695465
abrochar,"Ponte a hacer la tarea, antes de que alguien llegue y te abroche.",Cohere_Command_R_08_2024,regañar,"Ponte a hacer la tarea, antes de que alguien llegue y te regañar.",0.7958536744117737
abuelita,"Trate de viajar en horarios que no haya congestión. Empaque un cargador de bebé, una abuelita cómoda o un coche portátil tipo paraguas.",Cohere_Command_R_08_2024,silla,"Trate de viajar en horarios que no haya congestión. Empaque un cargador de bebé, una silla cómoda o un coche portátil tipo paraguas.",0.78510981798172
abullonado,"Mientras se acomoda en el abullonado sofá, sufre un remezón sentimental enorme.",Cohere_Command_R_08_2024,abollado,"Mientras se acomoda en el abollado sofá, sufre un remezón sentimental enorme.",0.9349144697189331
