modismo,amazon_nova_micro_v1,cohere_command_r_08_2024
abombado,"{""prompt_id"":""P2"",""input"":""abombado"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""abombado"",""output"":{""es_modismo"":""No""}}"
aborrajado,"{""prompt_id"":""P2"",""input"":""aborrajado"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""aborrajado"",""output"":{""es_modismo"":""Sí""}}"
abotar,"{""prompt_id"":""P2"",""input"":""abotar"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""abotar"",""output"":{""es_modismo"":""Sí""}}"
abozao,"{""prompt_id"":""P2"",""input"":""abozao"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""abozao"",""output"":{""es_modismo"":""Sí""}}"
abrebocas,"{""prompt_id"":""P2"",""input"":""abrebocas"",""output"":{""es_modismo"":""Sí""}}","{""prompt_id"":""P2"",""input"":""abrebocas"",""output"":{""es_modismo"":""Sí""}}"
abrigar,"{""prompt_id"":""P2"",""input"":""abrigar"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""abrigar"",""output"":{""es_modismo"":""Sí""}}"
abrirse,"{""prompt_id"":""P2"",""input"":""abrirse"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""abrirse"",""output"":{""es_modismo"":""Sí""}}"
abrochar,"{""prompt_id"":""P2"",""input"":""abrochar"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""abrochar"",""output"":{""es_modismo"":""No""}}"
abuelita,"{""prompt_id"":""P2"",""input"":""abuelita"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""abuelita"",""output"":{""es_modismo"":""No""}}"
abullonado,"{""prompt_id"":""P2"",""input"":""abullonado"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""abullonado"",""output"":{""es_modismo"":""No""}}"
aburria,"{""prompt_id"":""P2"",""input"":""aburria"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""aburria"",""output"":{""es_modismo"":""Sí""}}"
aburrición,"{""prompt_id"":""P2"",""input"":""aburrición"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""aburrición"",""output"":{""es_modismo"":""Sí""}}"
acabado,"{""prompt_id"":""P2"",""input"":""acabado"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""acabado"",""output"":{""es_modismo"":""No""}}"
acabarropa,"{""prompt_id"":""P2"",""input"":""acabarropa"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""acabarropa"",""output"":{""es_modismo"":""Sí""}}"
acabose,"{""prompt_id"":""P2"",""input"":""acabose"",""output"":{""es_modismo"":""Sí""}}","{""prompt_id"":""P2"",""input"":""acabose"",""output"":{""es_modismo"":""Sí""}}"
acartonado,"{""prompt_id"":""P2"",""input"":""acartonado"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""acartonado"",""output"":{""es_modismo"":""No""}}"
acatar,"{""prompt_id"":""P2"",""input"":""acatar"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""acatar"",""output"":{""es_modismo"":""No""}}"
accesar,"{""prompt_id"":""P2"",""input"":""accesar"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""accesar"",""output"":{""es_modismo"":""No""}}"
aceite,"{""prompt_id"":""P2"",""input"":""aceite"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""aceite"",""output"":{""es_modismo"":""No""}}"
acelerado,"{""prompt_id"":""P2"",""input"":""acelerado"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""acelerado"",""output"":{""es_modismo"":""Sí""}}"
acelere,"{""prompt_id"":""P2"",""input"":""acelere"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""acelere"",""output"":{""es_modismo"":""Sí""}}"
acema,"{""prompt_id"":""P2"",""input"":""acema"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""acema"",""output"":{""es_modismo"":""Sí""}}"
acerola,"{""prompt_id"":""P2"",""input"":""acerola"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""acerola"",""output"":{""es_modismo"":""No""}}"
achacado,"{""prompt_id"":""P2"",""input"":""achacado"",""output"":{""es_modismo"":""Sí""}}","{""prompt_id"":""P2"",""input"":""achacado"",""output"":{""es_modismo"":""Sí""}}"
achajuanado,"{""prompt_id"":""P2"",""input"":""achajuanado"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""achajuanado"",""output"":{""es_modismo"":""Sí""}}"
achantada,"{""prompt_id"":""P2"",""input"":""achantada"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""achantada"",""output"":{""es_modismo"":""Sí""}}"
achantado,"{""prompt_id"":""P2"",""input"":""achantado"",""output"":{""es_modismo"":""Sí""}}","{""prompt_id"":""P2"",""input"":""achantado"",""output"":{""es_modismo"":""Sí""}}"
achantar,"{""prompt_id"":""P2"",""input"":""achantar"",""output"":{""es_modismo"":""Sí""}}","{""prompt_id"":""P2"",""input"":""achantar"",""output"":{""es_modismo"":""Sí""}}"
achante,"{""prompt_id"":""P2"",""input"":""achante"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""achante"",""output"":{""es_modismo"":""Sí""}}"
achapado,"{""prompt_id"":""P2"",""input"":""achapado"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""achapado"",""output"":{""es_modismo"":""Sí""}}"
achicar,"{""prompt_id"":""P2"",""input"":""achicar"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""achicar"",""output"":{""es_modismo"":""No""}}"
achicharrar,"{""prompt_id"":""P2"",""input"":""achicharrar"",""output"":{""es_modismo"":""Sí""}}","{""prompt_id"":""P2"",""input"":""achicharrar"",""output"":{""es_modismo"":""No""}}"
achicopalado,"{""prompt_id"":""P2"",""input"":""achicopalado"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""achicopalado"",""output"":{""es_modismo"":""Sí""}}"
achicopalar,"{""prompt_id"":""P2"",""input"":""achicopalar"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""achicopalar"",""output"":{""es_modismo"":""Sí""}}"
achilado,"{""prompt_id"":""P2"",""input"":""achilado"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""achilado"",""output"":{""es_modismo"":""Sí""}}"
achilar,"{""prompt_id"":""P2"",""input"":""achilar"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""achilar"",""output"":{""es_modismo"":""Sí""}}"
achiote,"{""prompt_id"":""P2"",""input"":""achiote"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""achiote"",""output"":{""es_modismo"":""No""}}"
achiquitar,"{""prompt_id"":""P2"",""input"":""achiquitar"",""output"":{""es_modismo"":""Sí""}}","{""prompt_id"":""P2"",""input"":""achiquitar"",""output"":{""es_modismo"":""Sí""}}"
achira,"{""prompt_id"":""P2"",""input"":""achira"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""achira"",""output"":{""es_modismo"":""No""}}"
achucado,"{""prompt_id"":""P2"",""input"":""achucado"",""output"":{""es_modismo"":""Sí""}}","{""prompt_id"":""P2"",""input"":""achucado"",""output"":{""es_modismo"":""Sí""}}"
achucarse,"{""prompt_id"":""P2"",""input"":""achucarse"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""achucarse"",""output"":{""es_modismo"":""Sí""}}"
achín,"{""prompt_id"":""P2"",""input"":""achín"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""achín"",""output"":{""es_modismo"":""No""}}"
aco,"{""prompt_id"":""P2"",""input"":""aco"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""aco"",""output"":{""es_modismo"":""Sí""}}"
acobalar,"{""prompt_id"":""P2"",""input"":""acobalar"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""acobalar"",""output"":{""es_modismo"":""No""}}"
acolitar,"{""prompt_id"":""P2"",""input"":""acolitar"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""acolitar"",""output"":{""es_modismo"":""Sí""}}"
acomedirse,"{""prompt_id"":""P2"",""input"":""acomedirse"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""acomedirse"",""output"":{""es_modismo"":""Sí""}}"
acondicionar,"{""prompt_id"":""P2"",""input"":""acondicionar"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""acondicionar"",""output"":{""es_modismo"":""Sí""}}"
acordeonero,"{""prompt_id"":""P2"",""input"":""acordeonero"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""acordeonero"",""output"":{""es_modismo"":""Sí""}}"
acose,"{""prompt_id"":""P2"",""input"":""acose"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""acose"",""output"":{""es_modismo"":""No""}}"
acosón,"{""prompt_id"":""P2"",""input"":""acosón"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""acosón"",""output"":{""es_modismo"":""Sí""}}"
acotejar,"{""prompt_id"":""P2"",""input"":""acotejar"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""acotejar"",""output"":{""es_modismo"":""Sí""}}"
acuacultura,"{""prompt_id"":""P2"",""input"":""acuacultura"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""acuacultura"",""output"":{""es_modismo"":""No""}}"
acudiente,"{""prompt_id"":""P2"",""input"":""acudiente"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""acudiente"",""output"":{""es_modismo"":""Sí""}}"
acuerpado,"{""prompt_id"":""P2"",""input"":""acuerpado"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""acuerpado"",""output"":{""es_modismo"":""Sí""}}"
aculillarse,"{""prompt_id"":""P2"",""input"":""aculillarse"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""aculillarse"",""output"":{""es_modismo"":""Sí""}}"
acurrucarse,"{""prompt_id"":""P2"",""input"":""acurrucarse"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""acurrucarse"",""output"":{""es_modismo"":""Sí""}}"
acusaletas,"{""prompt_id"":""P2"",""input"":""acusaletas"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""acusaletas"",""output"":{""es_modismo"":""No""}}"
acusetas,"{""prompt_id"":""P2"",""input"":""acusetas"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""acusetas"",""output"":{""es_modismo"":""Sí""}}"
acápite,"{""prompt_id"":""P2"",""input"":""acápite"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""acápite"",""output"":{""es_modismo"":""No""}}"
ademanoso,"{""prompt_id"":""P2"",""input"":""ademanoso"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""ademanoso"",""output"":{""es_modismo"":""Sí""}}"
aeróbicos,"{""prompt_id"":""P2"",""input"":""aeróbicos"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""aeróbicos"",""output"":{""es_modismo"":""No""}}"
afanar,"{""prompt_id"":""P2"",""input"":""afanar"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""afanar"",""output"":{""es_modismo"":""Sí""}}"
afiche,"{""prompt_id"":""P2"",""input"":""afiche"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""afiche"",""output"":{""es_modismo"":""No""}}"
afiebrado,"{""prompt_id"":""P2"",""input"":""afiebrado"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""afiebrado"",""output"":{""es_modismo"":""No""}}"
afiebrarse,"{""prompt_id"":""P2"",""input"":""afiebrarse"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""afiebrarse"",""output"":{""es_modismo"":""Sí""}}"
afilado,"{""prompt_id"":""P2"",""input"":""afilado"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""afilado"",""output"":{""es_modismo"":""Sí""}}"
afilarse,"{""prompt_id"":""P2"",""input"":""afilarse"",""output"":{""es_modismo"":""Sí""}}","{""prompt_id"":""P2"",""input"":""afilarse"",""output"":{""es_modismo"":""No""}}"
afirmativo,"{""prompt_id"":""P2"",""input"":""afirmativo"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""afirmativo"",""output"":{""es_modismo"":""No""}}"
aflojachocho,"{""prompt_id"":""P2"",""input"":""aflojachocho"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""aflojachocho"",""output"":{""es_modismo"":""No""}}"
aforar,"{""prompt_id"":""P2"",""input"":""aforar"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""aforar"",""output"":{""es_modismo"":""Sí""}}"
afrechero,"{""prompt_id"":""P2"",""input"":""afrechero"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""afrechero"",""output"":{""es_modismo"":""Sí""}}"
afrijolar,"{""prompt_id"":""P2"",""input"":""afrijolar"",""output"":{""es_modismo"":""Sí""}}","{""prompt_id"":""P2"",""input"":""afrijolar"",""output"":{""es_modismo"":""Sí""}}"
afro,"{""prompt_id"":""P2"",""input"":""afro"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""afro"",""output"":{""es_modismo"":""No""}}"
afugias,"{""prompt_id"":""P2"",""input"":""afugias"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""afugias"",""output"":{""es_modismo"":""Sí""}}"
agache,"{""prompt_id"":""P2"",""input"":""agache"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""agache"",""output"":{""es_modismo"":""Sí""}}"
agalla,"{""prompt_id"":""P2"",""input"":""agalla"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""agalla"",""output"":{""es_modismo"":""No""}}"
agalludo,"{""prompt_id"":""P2"",""input"":""agalludo"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""agalludo"",""output"":{""es_modismo"":""No""}}"
agapanto,"{""prompt_id"":""P2"",""input"":""agapanto"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""agapanto"",""output"":{""es_modismo"":""Sí""}}"
agarrar,"{""prompt_id"":""P2"",""input"":""agarrar"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""agarrar"",""output"":{""es_modismo"":""No""}}"
agarrón,"{""prompt_id"":""P2"",""input"":""agarrón"",""output"":{""es_modismo"":""Sí""}}","{""prompt_id"":""P2"",""input"":""agarrón"",""output"":{""es_modismo"":""Sí""}}"
agonía,"{""prompt_id"":""P2"",""input"":""agonía"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""agonía"",""output"":{""es_modismo"":""No""}}"
agregado,"{""prompt_id"":""P2"",""input"":""agregado"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""agregado"",""output"":{""es_modismo"":""Sí""}}"
agria,"{""prompt_id"":""P2"",""input"":""agria"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""agria"",""output"":{""es_modismo"":""No""}}"
agrieras,"{""prompt_id"":""P2"",""input"":""agrieras"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""agrieras"",""output"":{""es_modismo"":""No""}}"
agringarse,"{""prompt_id"":""P2"",""input"":""agringarse"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""agringarse"",""output"":{""es_modismo"":""Sí""}}"
agrio,"{""prompt_id"":""P2"",""input"":""agrio"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""agrio"",""output"":{""es_modismo"":""Sí""}}"
agripado,"{""prompt_id"":""P2"",""input"":""agripado"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""agripado"",""output"":{""es_modismo"":""Sí""}}"
agriparse,"{""prompt_id"":""P2"",""input"":""agriparse"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""agriparse"",""output"":{""es_modismo"":""Sí""}}"
agropecuario,"{""prompt_id"":""P2"",""input"":""agropecuario"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""agropecuario"",""output"":{""es_modismo"":""No""}}"
agua,"{""prompt_id"":""P2"",""input"":""agua"",""output"":{""es_modismo"":""No""}}","{""prompt_id"":""P2"",""input"":""agua"",""output"":{""es_modismo"":""No""}}"
