significado,modismo_original,amazon_nova_micro_v1,cohere_command_r_08_2024
"Referido a un alimento, que está descompuesto.",abombado,"{""prompt_id"":""P3"",""input"":""Referido a un alimento, que está descompuesto."",""output"":{""palabra"":""pudoroso""}}","{""prompt_id"":""P3"",""input"":""Referido a un alimento, que está descompuesto."",""output"":{""palabra"":""pasar de noche""}}"
"Plato típico hecho con dos capas de plátano maduro frito con un relleno de queso y bocadillo entre ellas, y que se apana y se frita hasta dorarse.",aborrajado,"{""prompt_id"":""P3"",""input"":""Plato típico hecho con dos capas de plátano maduro frito con un relleno de queso y bocadillo entre ellas, y que se apana y se frita hasta dorarse."",""output"":{""palabra"":""arepa de queso""}}","{""prompt_id"":""P3"",""input"":""Plato típico hecho con dos capas de plátano maduro frito con un relleno de queso y bocadillo entre ellas, y que se apana y se frita hasta dorarse."",""output"":{""palabra"":""cukrao e' queso""}}"
Ubicarse alguien o algo en la orilla del río o la acera.,abotar,"{""prompt_id"":""P3"",""input"":""Ubicarse alguien o algo en la orilla del río o la acera."",""output"":{""palabra"":""estar en la orilla""}}","{""prompt_id"":""P3"",""input"":""Ubicarse alguien o algo en la orilla del río o la acera."",""output"":{""palabra"":""quedar en echo""}}"
Danza caracterizada por movimientos pélvicos enérgicos y rápidos de los danzantes y se acompaña con frecuentes gritos.,abozao,"{""prompt_id"":""P3"",""input"":""Danza caracterizada por movimientos pélvicos enérgicos y rápidos de los danzantes y se acompaña con frecuentes gritos."",""output"":{""palabra"":""cumbia""}}","{""prompt_id"":""P3"",""input"":""Danza caracterizada por movimientos pélvicos enérgicos y rápidos de los danzantes y se acompaña con frecuentes gritos."",""output"":{""palabra"":""baile del tubo""}}"
Adelanto que a manera de muestra se ofrece como motivación para que el público asista a una presentación o a un espectáculo.,abrebocas,"{""prompt_id"":""P3"",""input"":""Adelanto que a manera de muestra se ofrece como motivación para que el público asista a una presentación o a un espectáculo."",""output"":{""palabra"":""tiradera""}}","{""prompt_id"":""P3"",""input"":""Adelanto que a manera de muestra se ofrece como motivación para que el público asista a una presentación o a un espectáculo."",""output"":{""palabra"":""dar una probadita""}}"
Calentar los alimentos en la estufa.,abrigar,"{""prompt_id"":""P3"",""input"":""Calentar los alimentos en la estufa."",""output"":{""palabra"":""calentar la comida""}}","{""prompt_id"":""P3"",""input"":""Calentar los alimentos en la estufa."",""output"":{""palabra"":""poner a fuego lento""}}"
Irse de un lugar.,abrirse,"{""prompt_id"":""P3"",""input"":""Irse de un lugar."",""output"":{""palabra"":""salir de onda""}}","{""prompt_id"":""P3"",""input"":""Irse de un lugar."",""output"":{""palabra"":""dar papaya""}}"
Exigirle duramente a alguien que realice una tarea o cumpla con sus deberes.,abrochar,"{""prompt_id"":""P3"",""input"":""Exigirle duramente a alguien que realice una tarea o cumpla con sus deberes."",""output"":{""palabra"":""darle la lata""}}","{""prompt_id"":""P3"",""input"":""Exigirle duramente a alguien que realice una tarea o cumpla con sus deberes."",""output"":{""palabra"":""meter presión""}}"
Cuna portátil para bebé que facilita llevarlo de un sitio a otro.,abuelita,"{""prompt_id"":""P3"",""input"":""Cuna portátil para bebé que facilita llevarlo de un sitio a otro."",""output"":{""palabra"":""cuna de viaje""}}","{""prompt_id"":""P3"",""input"":""Cuna portátil para bebé que facilita llevarlo de un sitio a otro."",""output"":{""palabra"":""cuna viajera""}}"
"Referido a un mueble o prenda de vestir, relleno o abultado por un material que se expande, utilizado en los textiles con que se recubren o elaboran estos objetos.",abullonado,"{""prompt_id"":""P3"",""input"":""Referido a un mueble o prenda de vestir, relleno o abultado por un material que se expande, utilizado en los textiles con que se recubren o elaboran estos objetos."",""output"":{""palabra"":""relleno de pluma""}}","{""prompt_id"":""P3"",""input"":""Referido a un mueble o prenda de vestir, relleno o abultado por un material que se expande, utilizado en los textiles con que se recubren o elaboran estos objetos."",""output"":{""palabra"":""relleno con guata""}}"
"Ave de hasta 70 cm de longitud, de cabeza pequeña, cuello largo y delgado, patas amarillas y pico de color azul pálido en la base y oscuro en el extremo.",aburria,"{""prompt_id"":""P3"",""input"":""Ave de hasta 70 cm de longitud, de cabeza pequeña, cuello largo y delgado, patas amarillas y pico de color azul pálido en la base y oscuro en el extremo."",""output"":{""palabra"":""cigüeña""}}","{""error"":""HTTPSConnectionPool(host='api.straico.com', port=443): Read timed out. (read timeout=30)""}"
Cosa o situación que produce pereza o falta de interés.,aburrición,"{""prompt_id"":""P3"",""input"":""Cosa o situación que produce pereza o falta de interés."",""output"":{""palabra"":""cosa de vago""}}","{""prompt_id"":""P3"",""input"":""Cosa o situación que produce pereza o falta de interés."",""output"":{""palabra"":""dar lata""}}"
"Referido a una persona, con aspecto débil y enfermizo.",acabado,"{""prompt_id"":""P3"",""input"":""Referido a una persona, con aspecto débil y enfermizo."",""output"":{""palabra"":""papear""}}","{""prompt_id"":""P3"",""input"":""Referido a una persona, con aspecto débil y enfermizo."",""output"":{""palabra"":"" puro pellejo""}}"
"Referido a una persona, holgazán.",acabarropa,"{""prompt_id"":""P3"",""input"":""Referido a una persona, holgazán."",""output"":{""palabra"":""vago de la vida""}}","{""prompt_id"":""P3"",""input"":""Referido a una persona, holgazán."",""output"":{""palabra"":""malo para el libro""}}"
Acontecimiento irreparable o con el que se llega al extremo de una situación negativa.,acabose,"{""prompt_id"":""P3"",""input"":""Acontecimiento irreparable o con el que se llega al extremo de una situación negativa."",""output"":{""palabra"":""tocar fondo""}}","{""prompt_id"":""P3"",""input"":""Acontecimiento irreparable o con el que se llega al extremo de una situación negativa."",""output"":{""palabra"":""toque de queda""}}"
"Referido a una persona, poco natural en su comportamiento, esquemática.",acartonado,"{""prompt_id"":""P3"",""input"":""Referido a una persona, poco natural en su comportamiento, esquemática."",""output"":{""palabra"":""raro como rana""}}","{""prompt_id"":""P3"",""input"":""Referido a una persona, poco natural en su comportamiento, esquemática."",""output"":{""palabra"":""está actuando""}}"
Caer en cuenta de algo.,acatar,"{""prompt_id"":""P3"",""input"":""Caer en cuenta de algo."",""output"":{""palabra"":""darle en la nariz""}}","{""prompt_id"":""P3"",""input"":""Caer en cuenta de algo."",""output"":{""palabra"":""darse cuenta""}}"
Tener acceso a los datos de un sistema informático.,accesar,"{""prompt_id"":""P3"",""input"":""Tener acceso a los datos de un sistema informático."",""output"":{""palabra"":""entrar al sistema""}}","{""prompt_id"":""P3"",""input"":""Tener acceso a los datos de un sistema informático."",""output"":{""palabra"":""entrar al tubo""}}"
Comprobar o evaluar alguien la capacidad de otro sometiéndolo de manera inadvertida a una prueba o situación difícil para determinar el curso posterior de una acción.,aceite,"{""prompt_id"":""P3"",""input"":""Comprobar o evaluar alguien la capacidad de otro sometiéndolo de manera inadvertida a una prueba o situación difícil para determinar el curso posterior de una acción."",""output"":{""palabra"":""tirar la casa por la ventana""}}","{""prompt_id"":""P3"",""input"":""Comprobar o evaluar alguien la capacidad de otro sometiéndolo de manera inadvertida a una prueba o situación difícil para determinar el curso posterior de una acción."",""output"":{""palabra"":""poner a prueba""}}"
"Referido a una persona, que actúa con precipitud, impaciencia.",acelerado,"{""prompt_id"":""P3"",""input"":""Referido a una persona, que actúa con precipitud, impaciencia."",""output"":{""palabra"":""correr como loco""}}","{""prompt_id"":""P3"",""input"":""Referido a una persona, que actúa con precipitud, impaciencia."",""output"":{""palabra"":""meterse en problemas""}}"
Afán o rapidez exagerada con que se hace algo.,acelere,"{""prompt_id"":""P3"",""input"":""Afán o rapidez exagerada con que se hace algo."",""output"":{""palabra"":""hacerlo a toda marcha""}}","{""prompt_id"":""P3"",""input"":""Afán o rapidez exagerada con que se hace algo."",""output"":{""palabra"":""correrse a mil""}}"
"Pan dulce de forma redonda, elaborado con harina de trigo y bicarbonato sódico y condimentado con anís, papelón y, en ocasiones, queso rallado.",acema,"{""prompt_id"":""P3"",""input"":""Pan dulce de forma redonda, elaborado con harina de trigo y bicarbonato sódico y condimentado con anís, papelón y, en ocasiones, queso rallado."",""output"":{""palabra"":""pan de coco""}}","{""prompt_id"":""P3"",""input"":""Pan dulce de forma redonda, elaborado con harina de trigo y bicarbonato sódico y condimentado con anís, papelón y, en ocasiones, queso rallado."",""output"":{""palabra"":""pan de queso""}}"
"Arbusto de hasta 6 m de altura, corteza obscura y denso ramaje, hojas simples de color verde obscuro, flores de color lila, rosado y blanco, su fruto es redondo y comestible.",acerola,"{""prompt_id"":""P3"",""input"":""Arbusto de hasta 6 m de altura, corteza obscura y denso ramaje, hojas simples de color verde obscuro, flores de color lila, rosado y blanco, su fruto es redondo y comestible."",""output"":{""palabra"":""maracuyá""}}","{""prompt_id"":""P3"",""input"":""Arbusto de hasta 6 m de altura, corteza obscura y denso ramaje, hojas simples de color verde obscuro, flores de color lila, rosado y blanco, su fruto es redondo y comestible."",""output"":{""palabra"":""frijolito brasileño""}}"
"Referido a una persona, enferma o débil, especialmente por problemas asociados con la vejez.",achacado,"{""prompt_id"":""P3"",""input"":""Referido a una persona, enferma o débil, especialmente por problemas asociados con la vejez."",""output"":{""palabra"":""vejez de palo""}}","{""prompt_id"":""P3"",""input"":""Referido a una persona, enferma o débil, especialmente por problemas asociados con la vejez."",""output"":{""palabra"":""está achacoso""}}"
"Referido a una persona o un animal, sofocado por el calor o el trabajo excesivo.",achajuanado,"{""prompt_id"":""P3"",""input"":""Referido a una persona o un animal, sofocado por el calor o el trabajo excesivo."",""output"":{""palabra"":""estar como un toro""}}","{""prompt_id"":""P3"",""input"":""Referido a una persona o un animal, sofocado por el calor o el trabajo excesivo."",""output"":{""palabra"":""lomo cocido""}}"
"Depresión, abatimiento.",achantada,"{""prompt_id"":""P3"",""input"":""Depresión, abatimiento."",""output"":{""palabra"":""ponerse malito""}}","{""prompt_id"":""P3"",""input"":""Depresión, abatimiento."",""output"":{""palabra"":""estar langostin""}}"
"Referdio a una persona, triste, desencantado.",achantado,"{""prompt_id"":""P3"",""input"":""Referdio a una persona, triste, desencantado."",""output"":{""palabra"":""tirar la onda""}}","{""prompt_id"":""P3"",""input"":""Referdio a una persona, triste, desencantado."",""output"":{""palabra"":""con el culo pa' bajo""}}"
Desalentar o hacer perder el ánimo.,achantar,"{""prompt_id"":""P3"",""input"":""Desalentar o hacer perder el ánimo."",""output"":{""palabra"":""dar la lata""}}","{""prompt_id"":""P3"",""input"":""Desalentar o hacer perder el ánimo."",""output"":{""palabra"":""bajar los ánimos""}}"
"Depresión, abatimiento.",achante,"{""prompt_id"":""P3"",""input"":""Depresión, abatimiento."",""output"":{""palabra"":""ponerse malito""}}","{""prompt_id"":""P3"",""input"":""Depresión, abatimiento."",""output"":{""palabra"":""caer en un pozo""}}"
"Referido a una persona, avara, tacaña.",achapado,"{""prompt_id"":""P3"",""input"":""Referido a una persona, avara, tacaña."",""output"":{""palabra"":""chupamedias""}}","{""prompt_id"":""P3"",""input"":""Referido a una persona, avara, tacaña."",""output"":{""palabra"":""patas de pollo""}}"
Extraer el agua que se mete en las embarcaciones al navegar.,achicar,"{""prompt_id"":""P3"",""input"":""Extraer el agua que se mete en las embarcaciones al navegar."",""output"":{""palabra"":""esconder el agua""}}","{""prompt_id"":""P3"",""input"":""Extraer el agua que se mete en las embarcaciones al navegar."",""output"":{""palabra"":""bombear agua""}}"
Tostar demasiado o quemar algo.,achicharrar,"{""prompt_id"":""P3"",""input"":""Tostar demasiado o quemar algo."",""output"":{""palabra"":""pasar la mano""}}","{""prompt_id"":""P3"",""input"":""Tostar demasiado o quemar algo."",""output"":{""palabra"":""pasarse de rosca""}}"
"Referido a una persona, triste, desencantado.",achicopalado,"{""prompt_id"":""P3"",""input"":""Referido a una persona, triste, desencantado."",""output"":{""palabra"":""tirado de pena""}}","{""prompt_id"":""P3"",""input"":""Referido a una persona, triste, desencantado."",""output"":{""palabra"":""bajoneado""}}"
Desalentar o hacer perder el ánimo.,achicopalar,"{""prompt_id"":""P3"",""input"":""Desalentar o hacer perder el ánimo."",""output"":{""palabra"":""dar la lata""}}","{""prompt_id"":""P3"",""input"":""Desalentar o hacer perder el ánimo."",""output"":{""palabra"":""bajar los ánimos""}}"
"Referido al cabello o a las plantas, deteriorados o sin la vitalidad que deberían mostrar.",achilado,"{""prompt_id"":""P3"",""input"":""Referido al cabello o a las plantas, deteriorados o sin la vitalidad que deberían mostrar."",""output"":{""palabra"":""apagados""}}","{""prompt_id"":""P3"",""input"":""Referido al cabello o a las plantas, deteriorados o sin la vitalidad que deberían mostrar."",""output"":{""palabra"":""quemar las plantas""}}"
"Perder algo la apariencia de vitalidad que debería tener, especialmente el pelo y las plantas.",achilar,"{""prompt_id"":""P3"",""input"":""Perder algo la apariencia de vitalidad que debería tener, especialmente el pelo y las plantas."",""output"":{""palabra"":""ponerse apagado""}}","{""prompt_id"":""P3"",""input"":""Perder algo la apariencia de vitalidad que debería tener, especialmente el pelo y las plantas."",""output"":{""palabra"":""pasar la cuenta""}}"
"Arbusto de hasta 5 m de altura, de hojas alternas, flores rosadas o rojas y fruto de color castaño cuyas semillas se usan como colorante o condimento.",achiote,"{""prompt_id"":""P3"",""input"":""Arbusto de hasta 5 m de altura, de hojas alternas, flores rosadas o rojas y fruto de color castaño cuyas semillas se usan como colorante o condimento."",""output"":{""palabra"":""arbusto de capulí""}}","{""prompt_id"":""P3"",""input"":""Arbusto de hasta 5 m de altura, de hojas alternas, flores rosadas o rojas y fruto de color castaño cuyas semillas se usan como colorante o condimento."",""output"":{""palabra"":""guarapo de anaco""}}"
Hacer que algo sea más pequeño de lo normal.,achiquitar,"{""prompt_id"":""P3"",""input"":""Hacer que algo sea más pequeño de lo normal."",""output"":{""palabra"":""darle la vuelta""}}","{""prompt_id"":""P3"",""input"":""Hacer que algo sea más pequeño de lo normal."",""output"":{""palabra"":""empequeñecerlo""}}"
"Planta herbácea, de hasta 3 m de altura, con hojas grandes, flores amarillas, naranjas o rojas; sus hojas sirven para envolver algunos alimentos y de sus rizomas se extrae almidón comestible.",achira,"{""prompt_id"":""P3"",""input"":""Planta herbácea, de hasta 3 m de altura, con hojas grandes, flores amarillas, naranjas o rojas; sus hojas sirven para envolver algunos alimentos y de sus rizomas se extrae almidón comestible."",""output"":{""palabra"":""yuca""}}","{""prompt_id"":""P3"",""input"":""Planta herbácea, de hasta 3 m de altura, con hojas grandes, flores amarillas, naranjas o rojas; sus hojas sirven para envolver algunos alimentos y de sus rizomas se extrae almidón comestible."",""output"":{""palabra"":""hoja de bijao""}}"
"Referido a una persona, atragantado o que tiene dificultades para respirar ya sea por la comida, por enfermedad o por una aspiración.",achucado,"{""prompt_id"":""P3"",""input"":""Referido a una persona, atragantado o que tiene dificultades para respirar ya sea por la comida, por enfermedad o por una aspiración."",""output"":{""palabra"":""estar ahogado""}}","{""prompt_id"":""P3"",""input"":""Referido a una persona, atragantado o que tiene dificultades para respirar ya sea por la comida, por enfermedad o por una aspiración."",""output"":{""palabra"":""ahogado""}}"
"Referido a una persona o un animal, ahogarse con algo que le obstaculiza la garganta.",achucarse,"{""prompt_id"":""P3"",""input"":""Referido a una persona o un animal, ahogarse con algo que le obstaculiza la garganta."",""output"":{""palabra"":""tragarse la lengua""}}","{""prompt_id"":""P3"",""input"":""Referido a una persona o un animal, ahogarse con algo que le obstaculiza la garganta."",""output"":{""palabra"":""atravesado""}}"
"Planta herbácea, de hojas de color verde oscuro muy grandes, que se utilizan en el forraje y de tallos comestibles ricos en almidón al cocinarla cambia de blanco a morado.",achín,"{""prompt_id"":""P3"",""input"":""Planta herbácea, de hojas de color verde oscuro muy grandes, que se utilizan en el forraje y de tallos comestibles ricos en almidón al cocinarla cambia de blanco a morado."",""output"":{""palabra"":""malanga""}}","{""prompt_id"":""P3"",""input"":""Planta herbácea, de hojas de color verde oscuro muy grandes, que se utilizan en el forraje y de tallos comestibles ricos en almidón al cocinarla cambia de blanco a morado."",""output"":{""palabra"":""yuca""}}"
"Mezcla de maíz, linaza o cebada tostada y molida con panela o azúcar.",aco,"{""prompt_id"":""P3"",""input"":""Mezcla de maíz, linaza o cebada tostada y molida con panela o azúcar."",""output"":{""palabra"":""pambazo""}}","{""prompt_id"":""P3"",""input"":""Mezcla de maíz, linaza o cebada tostada y molida con panela o azúcar."",""output"":{""palabra"":""mazamorra""}}"
Devolver la simetría a algo que estaba torcido.,acobalar,"{""prompt_id"":""P3"",""input"":""Devolver la simetría a algo que estaba torcido."",""output"":{""palabra"":""poner al derecho""}}","{""prompt_id"":""P3"",""input"":""Devolver la simetría a algo que estaba torcido."",""output"":{""palabra"":""enderezarse""}}"
Apoyar a una persona en algún proyecto o idea.,acolitar,"{""prompt_id"":""P3"",""input"":""Apoyar a una persona en algún proyecto o idea."",""output"":{""palabra"":""darle el empujón""}}","{""prompt_id"":""P3"",""input"":""Apoyar a una persona en algún proyecto o idea."",""output"":{""palabra"":""darle el espaldarazo""}}"
Ofrecerse o ponerse al servicio de otro para hacer algo.,acomedirse,"{""prompt_id"":""P3"",""input"":""Ofrecerse o ponerse al servicio de otro para hacer algo."",""output"":{""palabra"":""dar una mano""}}","{""prompt_id"":""P3"",""input"":""Ofrecerse o ponerse al servicio de otro para hacer algo."",""output"":{""palabra"":""echar una mano""}}"
"Modificar las características de algo, agregando un implemento que no es original.",acondicionar,"{""prompt_id"":""P3"",""input"":""Modificar las características de algo, agregando un implemento que no es original."",""output"":{""palabra"":""ponerle aditamentos""}}","{""prompt_id"":""P3"",""input"":""Modificar las características de algo, agregando un implemento que no es original."",""output"":{""palabra"":""ponerle su toque""}}"
Persona que toca en el acordeón música vallenata o músico que toca el acordeón en el conjunto vallenato.,acordeonero,"{""prompt_id"":""P3"",""input"":""Persona que toca en el acordeón música vallenata o músico que toca el acordeón en el conjunto vallenato."",""output"":{""palabra"":""acordeonista vallenato""}}","{""prompt_id"":""P3"",""input"":""Persona que toca en el acordeón música vallenata o músico que toca el acordeón en el conjunto vallenato."",""output"":{""palabra"":""vallenato""}}"
Persecusión o presión causada por la insistencia de alguien.,acose,"{""prompt_id"":""P3"",""input"":""Persecusión o presión causada por la insistencia de alguien."",""output"":{""palabra"":""hacer presión""}}","{""prompt_id"":""P3"",""input"":""Persecusión o presión causada por la insistencia de alguien."",""output"":{""palabra"":""insistir demasiado""}}"
"Referido a una persona, que acostumbra presionar a los demás.",acosón,"{""prompt_id"":""P3"",""input"":""Referido a una persona, que acostumbra presionar a los demás."",""output"":{""palabra"":""hacer presión""}}","{""prompt_id"":""P3"",""input"":""Referido a una persona, que acostumbra presionar a los demás."",""output"":{""palabra"":""ser aguijón""}}"
"Acomodar, disponer en orden una serie de objetos en un espacio o lugar",acotejar,"{""prompt_id"":""P3"",""input"":""Acomodar, disponer en orden una serie de objetos en un espacio o lugar"",""output"":{""palabra"":""arreglar""}}","{""prompt_id"":""P3"",""input"":""Acomodar, disponer en orden una serie de objetos en un espacio o lugar"",""output"":{""palabra"":""poner en orden""}}"
Técnica empleada para el cultivo de especies vegetales y animales acuáticas.,acuacultura,"{""prompt_id"":""P3"",""input"":""Técnica empleada para el cultivo de especies vegetales y animales acuáticas."",""output"":{""palabra"":""acuicultura""}}","{""prompt_id"":""P3"",""input"":""Técnica empleada para el cultivo de especies vegetales y animales acuáticas."",""output"":{""palabra"":""plantar un vivero""}}"
"Persona mayor de edad, generalmente familiar o amigo, que se hace responsable de un estudiante ante las directivas de una institución escolar.",acudiente,"{""prompt_id"":""P3"",""input"":""Persona mayor de edad, generalmente familiar o amigo, que se hace responsable de un estudiante ante las directivas de una institución escolar."",""output"":{""palabra"":""apoderado""}}","{""prompt_id"":""P3"",""input"":""Persona mayor de edad, generalmente familiar o amigo, que se hace responsable de un estudiante ante las directivas de una institución escolar."",""output"":{""palabra"":""responsable del estudiante""}}"
"Referido a una persona, grande, robusta.",acuerpado,"{""prompt_id"":""P3"",""input"":""Referido a una persona, grande, robusta."",""output"":{""palabra"":""hombre de palo""}}","{""prompt_id"":""P3"",""input"":""Referido a una persona, grande, robusta."",""output"":{""palabra"":""más fuerte que el vino""}}"
Atemorizarse o acobardarse alguien ante una situación.,aculillarse,"{""prompt_id"":""P3"",""input"":""Atemorizarse o acobardarse alguien ante una situación."",""output"":{""palabra"":""echarse para atrás""}}","{""prompt_id"":""P3"",""input"":""Atemorizarse o acobardarse alguien ante una situación."",""output"":{""palabra"":""dar miedos""}}"
Ponerse en posición de cuclillas.,acurrucarse,"{""prompt_id"":""P3"",""input"":""Ponerse en posición de cuclillas."",""output"":{""palabra"":""ponerse de cuclillas""}}","{""prompt_id"":""P3"",""input"":""Ponerse en posición de cuclillas."",""output"":{""palabra"":""echarse pata abajo""}}"
"Referido a una persona, que tiene por costumbre acusar a otros.",acusaletas,"{""prompt_id"":""P3"",""input"":""Referido a una persona, que tiene por costumbre acusar a otros."",""output"":{""palabra"":""chismoso""}}","{""prompt_id"":""P3"",""input"":""Referido a una persona, que tiene por costumbre acusar a otros."",""output"":{""palabra"":""chismoso o chismosa""}}"
"Referido a una persona, que tiene por costumbre acusar a otros.",acusetas,"{""prompt_id"":""P3"",""input"":""Referido a una persona, que tiene por costumbre acusar a otros."",""output"":{""palabra"":""chismoso""}}","{""prompt_id"":""P3"",""input"":""Referido a una persona, que tiene por costumbre acusar a otros."",""output"":{""palabra"":""denunciar muy fino""}}"
"En un escrito legal, fragmento que aclara o especifica algún aspecto de una ley o un decreto.",acápite,"{""prompt_id"":""P3"",""input"":""En un escrito legal, fragmento que aclara o especifica algún aspecto de una ley o un decreto."",""output"":{""palabra"":""cláusula""}}","{""prompt_id"":""P3"",""input"":""En un escrito legal, fragmento que aclara o especifica algún aspecto de una ley o un decreto."",""output"":{""palabra"":""nota al pie""}}"
"Referido a una persona, delicada por su excesiva compostura y esmero.",ademanoso,"{""prompt_id"":""P3"",""input"":""Referido a una persona, delicada por su excesiva compostura y esmero."",""output"":{""palabra"":""persona de palo""}}","{""prompt_id"":""P3"",""input"":""Referido a una persona, delicada por su excesiva compostura y esmero."",""output"":{""palabra"":""fino como china""}}"
Ejercicios físicos que se caracterizan por seguir esquemas rítmicos que generan un alto consumo de oxígeno y por tener acompañamiento musical.,aeróbicos,"{""prompt_id"":""P3"",""input"":""Ejercicios físicos que se caracterizan por seguir esquemas rítmicos que generan un alto consumo de oxígeno y por tener acompañamiento musical."",""output"":{""palabra"":""aerobic""}}","{""prompt_id"":""P3"",""input"":""Ejercicios físicos que se caracterizan por seguir esquemas rítmicos que generan un alto consumo de oxígeno y por tener acompañamiento musical."",""output"":{""palabra"":""aeróbicos""}}"
Preocuparse o angustiarse ante una situación.,afanar,"{""prompt_id"":""P3"",""input"":""Preocuparse o angustiarse ante una situación."",""output"":{""palabra"":""ponerse las pilas""}}","{""prompt_id"":""P3"",""input"":""Preocuparse o angustiarse ante una situación."",""output"":{""palabra"":""estar en vilo""}}"
"Cartel impreso con información, publicidad o contenidos decorativos.",afiche,"{""prompt_id"":""P3"",""input"":""Cartel impreso con información, publicidad o contenidos decorativos."",""output"":{""palabra"":""cartaz""}}","{""prompt_id"":""P3"",""input"":""Cartel impreso con información, publicidad o contenidos decorativos."",""output"":{""palabra"":""un pancartazo""}}"
"Referido a una persona, que actúa con excesiva ansia por gusto o interés en la realización de algo.",afiebrado,"{""prompt_id"":""P3"",""input"":""Referido a una persona, que actúa con excesiva ansia por gusto o interés en la realización de algo."",""output"":{""palabra"":""chupamedias""}}","{""prompt_id"":""P3"",""input"":""Referido a una persona, que actúa con excesiva ansia por gusto o interés en la realización de algo."",""output"":{""palabra"":""comerse el dulce""}}"
Tener fiebre.,afiebrarse,"{""prompt_id"":""P3"",""input"":""Tener fiebre."",""output"":{""palabra"":""estar de palo""}}","{""prompt_id"":""P3"",""input"":""Tener fiebre."",""output"":{""palabra"":""tener calentura""}}"
"Referido a una persona, bien preparada para una prueba o examen.",afilado,"{""prompt_id"":""P3"",""input"":""Referido a una persona, bien preparada para una prueba o examen."",""output"":{""palabra"":""en la flor""}}","{""prompt_id"":""P3"",""input"":""Referido a una persona, bien preparada para una prueba o examen."",""output"":{""palabra"":""estar mirando""}}"
