modismo,amazon_nova_micro_v1,cohere_command_r_08_2024
aborrajado,"{""prompt_id"":""P1"",""input"":""aborrajado"",""output"":{""definicion"":""Persona que está muy cansada o agotada.""}}","{""prompt_id"":""P1"",""input"":""aborrajado"",""output"":{""definicion"":""Estar lleno, repleto o sobrecargado de algo.""}}"
abotar,"{""prompt_id"":""P1"",""input"":""abotar"",""output"":{""definicion"":""Terminar en una situación sin salida o fracasar en un intento.""}}","{""prompt_id"":""P1"",""input"":""abotar"",""output"":{""definicion"":""Ingerir o tomar bebidas alcohólicas en exceso.""}}"
abozao,"{""prompt_id"":""P1"",""input"":""abozao"",""output"":{""definicion"":""Persona que tiene demasiada confianza en sus habilidades, a veces exagerada.""}}","{""prompt_id"":""P1"",""input"":""abozao"",""output"":{""definicion"":""Adjetivo para referirse a una persona impaciente o apurada.""}}"
abrebocas,"{""prompt_id"":""P1"",""input"":""abrebocas"",""output"":{""definicion"":""Comienzo o introducción que prepara para algo más importante.""}}","{""prompt_id"":""P1"",""input"":""abrebocas"",""output"":{""definicion"":""Apartir que prepara o presenta un evento.""}}"
abrigar,"{""prompt_id"":""P1"",""input"":""abrigar"",""output"":{""definicion"":""Cubrir o proteger a alguien o algo para mantenerlo caliente.""}}","{""prompt_id"":""P1"",""input"":""abrigar"",""output"":{""definicion"":""Proteger o abrigar del frío o del peligro.""}}"
abrirse,"{""prompt_id"":""P1"",""input"":""abrirse"",""output"":{""definicion"":""Comenzar a participar o involucrarse en algo nuevo.""}}","{""prompt_id"":""P1"",""input"":""abrirse"",""output"":{""definicion"":""Abandonar posiciones defensivas y asumir una postura más vulnerable.""}}"
abrochar,"{""prompt_id"":""P1"",""input"":""abrochar"",""output"":{""definicion"":""Terminar o concluir algo definitivamente, como si se abrochara un botón.""}}","{""prompt_id"":""P1"",""input"":""abrochar"",""output"":{""definicion"":""Acordar algo o resolver una situación rápidamente.""}}"
abuelita,"{""prompt_id"":""P1"",""input"":""abuelita"",""output"":{""definicion"":""Término cariñoso para referirse a una persona mayor, especialmente una mujer.""}}","{""prompt_id"":""P1"",""input"":""abuelita"",""output"":{""definicion"":""Mujer mayor, generalmente matriarca de una familia.""}}"
abullonado,"{""prompt_id"":""P1"",""input"":""abullonado"",""output"":{""definicion"":""Persona que está muy ocupada o ajetreada.""}}","{""prompt_id"":""P1"",""input"":""abullonado"",""output"":{""definicion"":""Perder la capacidad de reacción rápidamente.""}}"
aburria,"{""prompt_id"":""P1"",""input"":""aburria"",""output"":{""definicion"":""Actitud de aburrirse o mostrarse desinteresado en algo.""}}","{""prompt_id"":""P1"",""input"":""aburria"",""output"":{""definicion"":""Una reunión o fiesta en la que se comparte comida y bebidas.""}}"
aburrición,"{""prompt_id"":""P1"",""input"":""aburrición"",""output"":{""definicion"":""Estado de aburrimiento o falta de interés en algo.""}}","{""prompt_id"":""P1"",""input"":""aburrición"",""output"":{""definicion"":""Sentimiento de tedio y aburrimiento extremo.""}}"
acabado,"{""prompt_id"":""P1"",""input"":""acabado"",""output"":{""definicion"":""Terminar o finalizar algo, o quedarse sin algo.""}}","{""prompt_id"":""P1"",""input"":""acabado"",""output"":{""definicion"":""Estado de finalización total, completo o definitivo.""}}"
acabarropa,"{""prompt_id"":""P1"",""input"":""acabarropa"",""output"":{""definicion"":""Reunir o acumular cosas en desorden.""}}","{""prompt_id"":""P1"",""input"":""acabarropa"",""output"":{""definicion"":""Acción de seguir algo hasta el final o completado.""}}"
acabose,"{""prompt_id"":""P1"",""input"":""acabose"",""output"":{""definicion"":""Situación irremediable o sin esperanza.""}}","{""prompt_id"":""P1"",""input"":""acabose"",""output"":{""definicion"":""Indicativo del momento de máximo clímax, para bien o para mal.""}}"
acartonado,"{""prompt_id"":""P1"",""input"":""acartonado"",""output"":{""definicion"":""Persona que está muy seria o que no tiene alegría.""}}","{""prompt_id"":""P1"",""input"":""acartonado"",""output"":{""definicion"":""Pereza o falta de naturalidad en el comportamiento.""}}"
acatar,"{""prompt_id"":""P1"",""input"":""acatar"",""output"":{""definicion"":""Aceptar y cumplir una decisión o exigencia impuesta.""}}","{""prompt_id"":""P1"",""input"":""acatar"",""output"":{""definicion"":""Observar y cumplir con sumisión las órdenes o normas.""}}"
accesar,"{""prompt_id"":""P1"",""input"":""accesar"",""output"":{""definicion"":""Ingresar o acceder a un lugar o sistema, especialmente tecnológico.""}}","{""prompt_id"":""P1"",""input"":""accesar"",""output"":{""definicion"":""Acceder o ingresar a un lugar o información.""}}"
aceite,"{""prompt_id"":""P1"",""input"":""aceite"",""output"":{""definicion"":""Expresión para indicar que algo es falso o no auténtico.""}}","{""prompt_id"":""P1"",""input"":""aceite"",""output"":{""definicion"":""Mantenerse callado, no revelar secretos.""}}"
acelerado,"{""prompt_id"":""P1"",""input"":""acelerado"",""output"":{""definicion"":""Desarrollo rápido y sin pausa, a toda velocidad.""}}","{""prompt_id"":""P1"",""input"":""acelerado"",""output"":{""definicion"":""Acción rápida, apresurada y enérgicamente impulsada.""}}"
acelere,"{""prompt_id"":""P1"",""input"":""acelere"",""output"":{""definicion"":""Insistir o presionar para que algo avance más rápido.""}}","{""prompt_id"":""P1"",""input"":""acelere"",""output"":{""definicion"":""Acelerar o precipitar una acción o evento.""}}"
acema,"{""prompt_id"":""P1"",""input"":""acema"",""output"":{""definicion"":""Actitud de desinterés o falta de compromiso en una situación.""}}","{""prompt_id"":""P1"",""input"":""acema"",""output"":{""definicion"":""Espacio pequeño, estrecho o reducido.""}}"
acerola,"{""prompt_id"":""P1"",""input"":""acerola"",""output"":{""definicion"":""Fruta pequeña y ácida, rica en vitamina C, nativa de América tropical.""}}","{""prompt_id"":""P1"",""input"":""acerola"",""output"":{""definicion"":""Fruta pequeña, redonda, de color rojo oscuro o morado.""}}"
achacado,"{""prompt_id"":""P1"",""input"":""achacado"",""output"":{""definicion"":""Persona que está cansada o agotada por exceso de trabajo.""}}","{""prompt_id"":""P1"",""input"":""achacado"",""output"":{""definicion"":""Describir una persona con dificultades de movimiento, normalmente asociado a la edad.""}}"
achajuanado,"{""prompt_id"":""P1"",""input"":""achajuanado"",""output"":{""definicion"":""Persona muy aprensiva o que se preocupa excesivamente por cualquier cosa.""}}","{""prompt_id"":""P1"",""input"":""achajuanado"",""output"":{""definicion"":""Describir a alguien que es diminuto, frágil o delicado.""}}"
achantada,"{""prompt_id"":""P1"",""input"":""achantada"",""output"":{""definicion"":""Estado de alguien que está triste o desanimado.""}}","{""prompt_id"":""P1"",""input"":""achantada"",""output"":{""definicion"":""Acción de bajarse, abatirse o encogerse.""}}"
achantado,"{""prompt_id"":""P1"",""input"":""achantado"",""output"":{""definicion"":""Persona que está muy asustada o intimidada.""}}","{""prompt_id"":""P1"",""input"":""achantado"",""output"":{""definicion"":""Sentirse acobardado o intimidado ante una situación.""}}"
achantar,"{""prompt_id"":""P1"",""input"":""achantar"",""output"":{""definicion"":""Intimidar o asustar a alguien para que ceda.""}}","{""prompt_id"":""P1"",""input"":""achantar"",""output"":{""definicion"":""Acobardarse o perder la valentía ante una situación.""}}"
achante,"{""prompt_id"":""P1"",""input"":""achante"",""output"":{""definicion"":""Persona que provoca o molesta a otros de manera insistente.""}}","{""prompt_id"":""P1"",""input"":""achante"",""output"":{""definicion"":""Actitud de modestia ante logros personales.""}}"
achapado,"{""prompt_id"":""P1"",""input"":""achapado"",""output"":{""definicion"":""Persona que está muy aburrida o sin nada que hacer.""}}","{""prompt_id"":""P1"",""input"":""achapado"",""output"":{""definicion"":""Persona que actúa o se comporta sin personalidad propia.""}}"
achicar,"{""prompt_id"":""P1"",""input"":""achicar"",""output"":{""definicion"":""Reducir el tamaño o cantidad de algo.""}}","{""prompt_id"":""P1"",""input"":""achicar"",""output"":{""definicion"":""Hacer o reducir algo más pequeño, encoger.""}}"
achicharrar,"{""prompt_id"":""P1"",""input"":""achicharrar"",""output"":{""definicion"":""Terminar algo completamente, como si se quemara a fuego.""}}","{""prompt_id"":""P1"",""input"":""achicharrar"",""output"":{""definicion"":""Cocinar o quemar algo, especialmente alimentos, en exceso.""}}"
achicopalado,"{""prompt_id"":""P1"",""input"":""achicopalado"",""output"":{""definicion"":""Persona acomodada que presume de su riqueza o estatus social.""}}","{""prompt_id"":""P1"",""input"":""achicopalado"",""output"":{""definicion"":""Sensación de desánimo o desconsuelo, estado de ánimo decaído.""}}"
achicopalar,"{""prompt_id"":""P1"",""input"":""achicopalar"",""output"":{""definicion"":""Reducir o minimizar algo, hacer una cosa más pequeña.""}}","{""prompt_id"":""P1"",""input"":""achicopalar"",""output"":{""definicion"":""Hacer que alguien se sienta abatido o desanimado.""}}"
achilado,"{""prompt_id"":""P1"",""input"":""achilado"",""output"":{""definicion"":""Estado de estar muy cansado, agotado o desanimado.""}}","{""prompt_id"":""P1"",""input"":""achilado"",""output"":{""definicion"":""Yerno o hijo político de una persona.""}}"
achilar,"{""prompt_id"":""P1"",""input"":""achilar"",""output"":{""definicion"":""Reducir o acortar algo, especialmente en términos de tiempo.""}}","{""prompt_id"":""P1"",""input"":""achilar"",""output"":{""definicion"":""Despojar o quitar algo con agilidad y destreza.""}}"
achiote,"{""prompt_id"":""P1"",""input"":""achiote"",""output"":{""definicion"":""Color anaranjado obtenido de la semilla del achiote, usado en la cocina.""}}","{""prompt_id"":""P1"",""input"":""achiote"",""output"":{""definicion"":""Término para referirse a la semilla del achiote.""}}"
achiquitar,"{""prompt_id"":""P1"",""input"":""achiquitar"",""output"":{""definicion"":""Reducir o hacer algo más pequeño.""}}","{""prompt_id"":""P1"",""input"":""achiquitar"",""output"":{""definicion"":""Reducir, menguar o minimizar en tamaño o importancia.""}}"
achira,"{""prompt_id"":""P1"",""input"":""achira"",""output"":{""definicion"":""Planta medicinal tradicionalmente utilizada para aliviar dolores articulares.""}}","{""prompt_id"":""P1"",""input"":""achira"",""output"":{""definicion"":""Planta similar a la patata con rizoma comestible.""}}"
achucado,"{""prompt_id"":""P1"",""input"":""achucado"",""output"":{""definicion"":""Persona que ha sido estafada o engañada en una transacción.""}}","{""prompt_id"":""P1"",""input"":""achucado"",""output"":{""definicion"":""Estado de ansiedad o nerviosismo.""}}"
achucarse,"{""prompt_id"":""P1"",""input"":""achucarse"",""output"":{""definicion"":""Tomar una decisión arriesgada o asumir una responsabilidad grande.""}}","{""prompt_id"":""P1"",""input"":""achucarse"",""output"":{""definicion"":""Acercarse o apretujarse para brindar calor o consuelo.""}}"
achín,"{""prompt_id"":""P1"",""input"":""achín"",""output"":{""definicion"":""Expresión que indica algo muy pequeño o insignificante.""}}","{""prompt_id"":""P1"",""input"":""achín"",""output"":{""definicion"":""Sentirse cansado o agotado físicamente.""}}"
aco,"{""prompt_id"":""P1"",""input"":""aco"",""output"":{""definicion"":""Actitud de desinterés o despreocupación ante una situación.""}}","{""prompt_id"":""P1"",""input"":""aco"",""output"":{""definicion"":""Cierto, verdaderamente; término para confirmar una afirmación.""}}"
acobalar,"{""prompt_id"":""P1"",""input"":""acobalar"",""output"":{""definicion"":""Confundir o alterar a alguien con palabras o acciones.""}}","{""prompt_id"":""P1"",""input"":""acobalar"",""output"":{""definicion"":""Hacer que alguien se sienta temeroso o intimidado.""}}"
acolitar,"{""prompt_id"":""P1"",""input"":""acolitar"",""output"":{""definicion"":""Apoyar o respaldar a alguien en una situación difícil.""}}","{""prompt_id"":""P1"",""input"":""acolitar"",""output"":{""definicion"":""Acompañar y apoyar a alguien en una misión o causa.""}}"
acomedirse,"{""prompt_id"":""P1"",""input"":""acomedirse"",""output"":{""definicion"":""Actuar con audacia o atreverse a hacer algo que antes no se intentaba.""}}","{""prompt_id"":""P1"",""input"":""acomedirse"",""output"":{""definicion"":""Mostrar disposición para acometer un asunto o tarea.""}}"
acondicionar,"{""prompt_id"":""P1"",""input"":""acondicionar"",""output"":{""definicion"":""Preparar o adaptar algo para un uso específico.""}}","{""prompt_id"":""P1"",""input"":""acondicionar"",""output"":{""definicion"":""Adaptar un lugar o ambiente a una temperatura o condición específica.""}}"
acordeonero,"{""prompt_id"":""P1"",""input"":""acordeonero"",""output"":{""definicion"":""Persona que se adapta fácilmente a los cambios y situaciones.""}}","{""prompt_id"":""P1"",""input"":""acordeonero"",""output"":{""definicion"":""Músico especializado en tocar el acordeón de forma tradicional.""}}"
acose,"{""prompt_id"":""P1"",""input"":""acose"",""output"":{""definicion"":""Termino informal que significa estar muy cansado o agotado.""}}","{""prompt_id"":""P1"",""input"":""acose"",""output"":{""definicion"":""Dificultar el avance o progreso en una situación o tarea.""}}"
acosón,"{""prompt_id"":""P1"",""input"":""acosón"",""output"":{""definicion"":""Estado de aburrimiento o desgano por falta de actividades interesantes.""}}","{""prompt_id"":""P1"",""input"":""acosón"",""output"":{""definicion"":""Sentimiento de agobio o preocupación intensa.""}}"
acotejar,"{""prompt_id"":""P1"",""input"":""acotejar"",""output"":{""definicion"":""Buscar o conseguir algo de manera informal o poco convencional.""}}","{""prompt_id"":""P1"",""input"":""acotejar"",""output"":{""definicion"":""Acto de defender o apoyar un argumento, activamente.""}}"
acuacultura,"{""prompt_id"":""P1"",""input"":""acuacultura"",""output"":{""definicion"":""Cultivo de organismos acuáticos en ambientes controlados.""}}","{""prompt_id"":""P1"",""input"":""acuacultura"",""output"":{""definicion"":""Cultivo de organismos acuáticos para consumo humano.""}}"
acudiente,"{""prompt_id"":""P1"",""input"":""acudiente"",""output"":{""definicion"":""Persona que cuida o asiste a un niño en lugar de sus padres.""}}","{""prompt_id"":""P1"",""input"":""acudiente"",""output"":{""definicion"":""Persona responsable del cuidado y protección de otra.""}}"
acuerpado,"{""prompt_id"":""P1"",""input"":""acuerpado"",""output"":{""definicion"":""Persona que está muy cansada, agotada o con poca energía.""}}","{""prompt_id"":""P1"",""input"":""acuerpado"",""output"":{""definicion"":""Describir algo consistente, de buen tamaño o sólido.""}}"
aculillarse,"{""prompt_id"":""P1"",""input"":""aculillarse"",""output"":{""definicion"":""Perderse o desorientarse en un lugar conocido.""}}","{""prompt_id"":""P1"",""input"":""aculillarse"",""output"":{""definicion"":""Hacerse pequeño y retraerse, guardando las distancias.""}}"
acurrucarse,"{""prompt_id"":""P1"",""input"":""acurrucarse"",""output"":{""definicion"":""Sentir deseo de abrazarse y protegerse, generalmente por calor o comodidad.""}}","{""prompt_id"":""P1"",""input"":""acurrucarse"",""output"":{""definicion"":""Acercarse a alguien o algo o recogerse en posición fetal.""}}"
acusaletas,"{""prompt_id"":""P1"",""input"":""acusaletas"",""output"":{""definicion"":""Persona que constantemente critica o encuentra fallas en otros.""}}","{""prompt_id"":""P1"",""input"":""acusaletas"",""output"":{""definicion"":""Palabras utilizadas para señalar culpables o acusar a alguien.""}}"
acusetas,"{""prompt_id"":""P1"",""input"":""acusetas"",""output"":{""definicion"":""Expresión que indica que alguien está exagerando o mintiendo.""}}","{""prompt_id"":""P1"",""input"":""acusetas"",""output"":{""definicion"":""Detalles o puntos de vista caprichosos y personales.""}}"
acápite,"{""prompt_id"":""P1"",""input"":""acápite"",""output"":{""definicion"":""Parte inicial de un texto, introducción o primer párrafo.""}}","{""prompt_id"":""P1"",""input"":""acápite"",""output"":{""definicion"":""Párrafo o apartado independiente dentro de un texto""}}"
ademanoso,"{""prompt_id"":""P1"",""input"":""ademanoso"",""output"":{""definicion"":""Persona que utiliza gestos exagerados para expresarse.""}}","{""prompt_id"":""P1"",""input"":""ademanoso"",""output"":{""definicion"":""Que expresa o indica algo con gestos o movimientos.""}}"
aeróbicos,"{""prompt_id"":""P1"",""input"":""aeróbicos"",""output"":{""definicion"":""Actividad física que mejora la resistencia y la capacidad cardiovascular.""}}","{""prompt_id"":""P1"",""input"":""aeróbicos"",""output"":{""definicion"":""Actividad física agradable y excitante; ejercicio dinámico.""}}"
afanar,"{""prompt_id"":""P1"",""input"":""afanar"",""output"":{""definicion"":""Buscar o rebuscar algo con diligencia.""}}","{""prompt_id"":""P1"",""input"":""afanar"",""output"":{""definicion"":""Hurtar o robar algo por la vía de la sustracción.""}}"
afiche,"{""prompt_id"":""P1"",""input"":""afiche"",""output"":{""definicion"":""Cartel publicitario o informativo pegado en lugares públicos.""}}","{""prompt_id"":""P1"",""input"":""afiche"",""output"":{""definicion"":""Cartel con información visual o publicitaria.""}}"
afiebrado,"{""prompt_id"":""P1"",""input"":""afiebrado"",""output"":{""definicion"":""Persona muy entusiasta o apasionada por algo.""}}","{""prompt_id"":""P1"",""input"":""afiebrado"",""output"":{""definicion"":""Persona con fiebre o que presenta síntomas febriles.""}}"
afiebrarse,"{""prompt_id"":""P1"",""input"":""afiebrarse"",""output"":{""definicion"":""Perder la razón o enloquecer por un problema o una situación.""}}","{""prompt_id"":""P1"",""input"":""afiebrarse"",""output"":{""definicion"":""Adquirir fiebre o una alta temperatura corporal.""}}"
afilado,"{""prompt_id"":""P1"",""input"":""afilado"",""output"":{""definicion"":""Persona muy ingeniosa o que habla con gran perspicacia.""}}","{""prompt_id"":""P1"",""input"":""afilado"",""output"":{""definicion"":""Acción de pulir o pulimentar una superficie.""}}"
afilarse,"{""prompt_id"":""P1"",""input"":""afilarse"",""output"":{""definicion"":""Prepararse o ponerse en alerta para enfrentar una situación.""}}","{""prompt_id"":""P1"",""input"":""afilarse"",""output"":{""definicion"":""Acutizar o reforzar las habilidades para un objetivo.""}}"
afirmativo,"{""prompt_id"":""P1"",""input"":""afirmativo"",""output"":{""definicion"":""Respuesta que indica acuerdo o aceptación.""}}","{""prompt_id"":""P1"",""input"":""afirmativo"",""output"":{""definicion"":""Contestación positiva o de acuerdo.""}}"
aflojachocho,"{""prompt_id"":""P1"",""input"":""aflojachocho"",""output"":{""definicion"":""Persona que es muy floja y no se esfuerza por nada.""}}","{""prompt_id"":""P1"",""input"":""aflojachocho"",""output"":{""definicion"":""Tanto como jajaja que?Amplio, holgado o amplio de forma extravagante.""}}"
aforar,"{""prompt_id"":""P1"",""input"":""aforar"",""output"":{""definicion"":""Medir o evaluar la capacidad o potencial de algo o alguien.""}}","{""prompt_id"":""P1"",""input"":""aforar"",""output"":{""definicion"":""Exceder la capacidad o límites establecidos.""}}"
afrechero,"{""prompt_id"":""P1"",""input"":""afrechero"",""output"":{""definicion"":""Comportamiento de hacer algo sin necesidad, generando desorden o molestia.""}}","{""prompt_id"":""P1"",""input"":""afrechero"",""output"":{""definicion"":""Persona que es mal hablada o grosera.""}}"
afrijolar,"{""prompt_id"":""P1"",""input"":""afrijolar"",""output"":{""definicion"":""Perder la compostura o el control en un momento de emoción.""}}","{""prompt_id"":""P1"",""input"":""afrijolar"",""output"":{""definicion"":""Reflejar o mostrar una situación de penuria económica.""}}"
afro,"{""prompt_id"":""P1"",""input"":""afro"",""output"":{""definicion"":""Comportamiento o actitud despreocupada y desenfadada.""}}","{""prompt_id"":""P1"",""input"":""afro"",""output"":{""definicion"":""Perteneciente o relacionado con el pueblo afrodescendiente.""}}"
afugias,"{""prompt_id"":""P1"",""input"":""afugias"",""output"":{""definicion"":""Expresión que indica no hacer nada o no moverse de un lugar.""}}","{""prompt_id"":""P1"",""input"":""afugias"",""output"":{""definicion"":""Estado de apuro o necesidad extrema, precipitándose por falta de tiempo.""}}"
agache,"{""prompt_id"":""P1"",""input"":""agache"",""output"":{""definicion"":""Acción de bajar la cabeza o el cuerpo en señal de respeto o sumisión.""}}","{""prompt_id"":""P1"",""input"":""agache"",""output"":{""definicion"":""Actitud de sumisión o de no respuesta.""}}"
agalla,"{""prompt_id"":""P1"",""input"":""agalla"",""output"":{""definicion"":""Resistirse o enfrentar con valor y determinación una situación difícil.""}}","{""prompt_id"":""P1"",""input"":""agalla"",""output"":{""definicion"":""Valentía, temeridad o audacia en una acción.""}}"
agalludo,"{""prompt_id"":""P1"",""input"":""agalludo"",""output"":{""definicion"":""Persona que se pasa de la raya o que hace cosas exageradas.""}}","{""prompt_id"":""P1"",""input"":""agalludo"",""output"":{""definicion"":""Persona tacaña, que ahorra excesivamente.""}}"
agapanto,"{""prompt_id"":""P1"",""input"":""agapanto"",""output"":{""definicion"":""Acción de rehuir responsabilidades o evitar cumplir con obligaciones.""}}","{""prompt_id"":""P1"",""input"":""agapanto"",""output"":{""definicion"":""Alguien que guarda un secreto a petición de otro.""}}"
agarrar,"{""prompt_id"":""P1"",""input"":""agarrar"",""output"":{""definicion"":""Tomar o agarrar algo con fuerza o decisión.""}}","{""prompt_id"":""P1"",""input"":""agarrar"",""output"":{""definicion"":""Tomar, asir o sujetar algo con las manos.""}}"
agarrón,"{""prompt_id"":""P1"",""input"":""agarrón"",""output"":{""definicion"":""Conflicto o pelea física, especialmente en un contexto informal.""}}","{""prompt_id"":""P1"",""input"":""agarrón"",""output"":{""definicion"":""Enfrentamiento físico o disputa violenta entre varias personas.""}}"
agonía,"{""prompt_id"":""P1"",""input"":""agonía"",""output"":{""definicion"":""Estado de gran angustia o sufrimiento emocional.""}}","{""prompt_id"":""P1"",""input"":""agonía"",""output"":{""definicion"":""Estado de intenso sufrimiento físico o emocional.""}}"
agregado,"{""prompt_id"":""P1"",""input"":""agregado"",""output"":{""definicion"":""Un complemento o adición extra que se incorpora a algo.""}}","{""prompt_id"":""P1"",""input"":""agregado"",""output"":{""definicion"":""Acción de unir o agregar algo a otro elemento.""}}"
agria,"{""prompt_id"":""P1"",""input"":""agria"",""output"":{""definicion"":""Persona que tiene actitudes o comportamientos hostiles y desagradables.""}}","{""prompt_id"":""P1"",""input"":""agria"",""output"":{""definicion"":""Alta concentración de sourness.""}}"
agrieras,"{""prompt_id"":""P1"",""input"":""agrieras"",""output"":{""definicion"":""Expresión que indica una situación muy difícil o desesperada.""}}","{""prompt_id"":""P1"",""input"":""agrieras"",""output"":{""definicion"":""Expresar disgusto o falta de conformidad con algo.""}}"
agringarse,"{""prompt_id"":""P1"",""input"":""agringarse"",""output"":{""definicion"":""Perder la paciencia o enojarse fácilmente por algo menor.""}}","{""prompt_id"":""P1"",""input"":""agringarse"",""output"":{""definicion"":""Adquirir rasgos o conductas típicos de un extranjero o gringo.""}}"
agrio,"{""prompt_id"":""P1"",""input"":""agrio"",""output"":{""definicion"":""Persona que es malhumorada o de trato difícil.""}}","{""prompt_id"":""P1"",""input"":""agrio"",""output"":{""definicion"":""Expresión que describe algo amargo o desagradable.""}}"
agripado,"{""prompt_id"":""P1"",""input"":""agripado"",""output"":{""definicion"":""Estar enfermo, especialmente con síntomas de resfriado.""}}","{""prompt_id"":""P1"",""input"":""agripado"",""output"":{""definicion"":""Estado de salud débil o resentido.""}}"
agriparse,"{""prompt_id"":""P1"",""input"":""agriparse"",""output"":{""definicion"":""Perder la paciencia o enojarse fácilmente.""}}","{""prompt_id"":""P1"",""input"":""agriparse"",""output"":{""definicion"":""Enojarse o molestarse exageradamente.""}}"
agropecuario,"{""prompt_id"":""P1"",""input"":""agropecuario"",""output"":{""definicion"":""Relativo a la agricultura y la ganadería.""}}","{""prompt_id"":""P1"",""input"":""agropecuario"",""output"":{""definicion"":""Referente a la agricultura y la ganadería.""}}"
agua,"{""prompt_id"":""P1"",""input"":""agua"",""output"":{""definicion"":""Referencia a algo que es común, trivial o poco significativo.""}}","{""prompt_id"":""P1"",""input"":""agua"",""output"":{""definicion"":""Medio necesario para la vida, símbolo de renovación.""}}"
