modismo,amazon_nova-micro-v1
aborrajado,"{""prompt_id"": ""P1"", ""input"": ""El aborrajado es un plato típico que se inscribe en la amplia gama de platos que conforman la 'cocina vallecaucana'."", ""output"": {""definicion"": ""Un plato típico de la cocina vallecaucana hecho de calabaza rellena con carne, queso y ajo, luego frita.""}}"
abotar,"{""prompt_id"": ""P1"", ""input"": ""Niña, abótese que la puede atropellar el carro."", ""output"": {""definicion"": ""Advertencia informal para que un niño se aparte del camino de un vehículo que se aproxima.""}}"
abozao,"{""prompt_id"": ""P1"", ""input"": ""El grupo de Chocó bailó Voltea en ritmo de abozao que es una danza folclórica del Pacífico colombiano."", ""output"": {""definicion"": ""Ritmo musical tradicional del Pacífico colombiano, usado en danzas folclóricas.""}}"
abrebocas,"{""prompt_id"": ""P1"", ""input"": ""Cine, arte y paz en 5 cortometrajes de abrebocas al festival Caleidoscopio de sueños."", ""output"": {""definicion"": ""Una selección de cinco cortometrajes que presentan cine y arte como medio para promover la paz, previos al festival Caleidoscopio de sueños.""}}"
abrigar,"{""prompt_id"": ""P1"", ""input"": ""Le voy a abrigar la arepita para que le sepa más rico."", ""output"": {""definicion"": ""Preparar o mejorar la arepita para que tenga mejor sabor.""}}"
abrirse,"{""prompt_id"": ""P1"", ""input"": ""No nos venga a engañar otra vez con sus cuentos, ábrase."", ""output"": {""definicion"": ""Expresión que insta a alguien a ser sincero y a dejar de mentir o engañar.""}}"
abrochar,"{""prompt_id"": ""P1"", ""input"": ""Ponte a hacer la tarea, antes de que alguien llegue y te abroche."", ""output"": {""definicion"": ""Comienza a trabajar en la tarea antes de que un adulto te obligue o te supervise.""}}"
abuelita,"{""prompt_id"": ""P1"", ""input"": ""Trate de viajar en horarios que no haya congestión. Empaque un cargador de bebé, una abuelita cómoda o un coche portátil tipo paraguas."", ""output"": {""definicion"": ""Consejos para viajar con comodidad, evitando horarios pico y llevando artículos prácticos para el viaje.""}}"
abullonado,"{""prompt_id"": ""P1"", ""input"": ""Mientras se acomoda en el abullonado sofá, sufre un remezón sentimental enorme."", ""output"": {""definicion"": ""Experimenta una intensa emoción o nostalgia mientras se relaja en un sofá desgastado.""}}"
aburria,"{""prompt_id"": ""P1"", ""input"": ""Esta pava se encuentra en estado de Casi Amenazada y es la única pava negra relativamente grande que habite en zonas montañosas."", ""output"": {""definicion"": ""Una especie de ave rapaz en peligro de extinción, específica de regiones montañosas.""}}"
aburrición,"{""prompt_id"": ""P1"", ""input"": ""¡Qué aburrición! Siempre los mismos con lo mismo en lo mismo."", ""output"": {""definicion"": ""Expresión de desinterés y cansancio por situaciones repetitivas y aburridas.""}}"
acabado,"{""prompt_id"": ""P1"", ""input"": ""Si bien se ve acabado físicamente, su voz está intacta. Su intervención duró casi siete horas."", ""output"": {""definicion"": ""Una persona muy cansada pero con una voz fuerte y clara que habló durante mucho tiempo.""}}"
acabarropa,"{""prompt_id"": ""P1"", ""input"": ""Tronco acabarropa, no hizo nada y está pidiendo más plata."", ""output"": {""definicion"": ""Persona que se aprovecha de la buena voluntad de otros para obtener beneficios injustos.""}}"
acabose,"{""prompt_id"": ""P1"", ""input"": ""El restaurante dejaba mucho que desear pero el acabose fue cuando los meseros exigieron unas propinas exageradas."", ""output"": {""definicion"": ""El restaurante tenía malos servicios y la situación empeoró con meseros que pidieron propinas excesivas.""}}"
acartonado,"{""prompt_id"": ""P1"", ""input"": ""El cantante vallenato no hacía gala de sus acostumbradas actuaciones y se le notaba serio y acartonado."", ""output"": {""definicion"": ""El cantante vallenato no mostraba su estilo habitual y parecía ausente o poco emocionado.""}}"
acatar,"{""prompt_id"": ""P1"", ""input"": ""Sólo cuando descargamos el mercado acatamos que se nos habían quedado los plátanos en la casa del compadre."", ""output"": {""definicion"": ""Frase que indica la comprensión tardía de una situación familiar después de un esfuerzo comunitario.""}}"
accesar,"{""prompt_id"": ""P1"", ""input"": ""Para accesar al sistema debes introducir tu contraseña."", ""output"": {""definicion"": ""Acceder al sistema usando una contraseña de seguridad.""}}"
aceite,"{""prompt_id"": ""P1"", ""input"": ""Los camioneros le midieron el aceite al nuevo ministro amenazándolo con un paro de transportadores que nunca pensaron llevar a cabo."", ""output"": {""definicion"": ""Expresión que describe una amenaza vacía o una presión insustancial hecha por un grupo de camioneros hacia un nuevo ministro.""}}"
acelerado,"{""prompt_id"": ""P1"", ""input"": ""Sus amigos dicen que Angelita es muy acelerada, pero que siempre tiene iniciativa y es muy decidida."", ""output"": {""definicion"": ""Angelita es una persona rápida en sus acciones, pero también es proactiva y toma decisiones firmes.""}}"
acelere,"{""prompt_id"": ""P1"", ""input"": ""El acelere de la Administración Municipal conlleva a graves errores en los cálculos de la tributación."", ""output"": {""definicion"": ""La prisa o falta de cuidado en las decisiones de la administración local que resulta en cálculos fiscales incorrectos.""}}"
acema,"{""prompt_id"": ""P1"", ""input"": ""Que uno vaya a una casa a realizar un pesebre y le tengan su chocolate, su pedazo de queso, su pedazo de acema, se ve muy tradicional."", ""output"": {""definicion"": ""Visitar una casa para participar en la tradición navideña del pesebre y recibir alimentos típicos.""}}"
acerola,"{""prompt_id"": ""P1"", ""input"": ""acerola"", ""output"": {""definicion"": ""Fruta tropical con alto contenido en vitamina C.""}}"
achacado,"{""prompt_id"": ""P1"", ""input"": ""Volvió más achacado, entonces lo trajeron a la clínica. Pero él es fuerte y se está reponiendo."", ""output"": {""definicion"": ""El sujeto ha regresado con más problemas de salud y fue llevado a un centro médico; sin embargo, está recuperando su fuerza.""}}"
achajuanado,"{""prompt_id"": ""P1"", ""input"": ""Los dos viajeros llegaron a la posada hambrientos y achajuanados."", ""output"": {""definicion"": ""Los viajeros estaban muy cansados y famélicos al llegar a la posada.""}}"
achantada,"{""prompt_id"": ""P1"", ""input"": ""achantada"", ""output"": {""definicion"": ""Una persona que se ha retirado o escondido de una situación.""}}"
achantado,"{""prompt_id"": ""P1"", ""input"": ""Así que empecé a devolverme y un poco achantado miraba atrás constantemente, en un intento por mantener la esperanza de llegar a verla."", ""output"": {""definicion"": ""Acción de retroceder y sentirse inseguro, mirando constantemente atrás para mantener la esperanza.""}}"
achantar,"{""prompt_id"": ""P1"", ""input"": ""No se dejó achantar, decidió irse por el lado de la percusión rítmica y ahí, por fin, llegó el swing esperado."", ""output"": {""definicion"": ""Una expresión que describe cómo alguien, enfrentando dificultades, optó por un cambio positivo y exitoso en su enfoque musical.""}}"
achante,"{""prompt_id"": ""P1"", ""input"": ""Andaba en un achante porque nadie lo había felicitado de cumpleaños en el colegio."", ""output"": {""definicion"": ""Estaba enojado o molesto por no haber recibido felicitaciones por su cumpleaños en el colegio.""}}"
achapado,"{""prompt_id"": ""P1"", ""input"": ""Es muy achapado, dijo que quería ir al baño cuando ya íbamos a pagar."", ""output"": {""definicion"": ""Se refiere a alguien que se comporta de manera poco generosa o que hace excusas para evitar gastar dinero.""}}"
achicar,"{""prompt_id"": ""P1"", ""input"": ""Mijo, ayúdeme a achicar la champa para que no se nos hunda."", ""output"": {""definicion"": ""Término coloquial que indica la necesidad urgente de reducir gastos o deudas para evitar una situación económica crítica.""}}"
achicharrar,"{""prompt_id"": ""P1"", ""input"": ""Los campos se secaron y se achicharraron por la falta de lluvia, y las cosechas se marchitaban de sed."", ""output"": {""definicion"": ""Los cultivos se deterioraron debido a la ausencia de precipitación, afectando su crecimiento y productividad.""}}"
achicopalado,"{""prompt_id"": ""P1"", ""input"": ""Carajo, me hace falta Estelita hoy para subirme el ánimo, porque estoy achicopalada."", ""output"": {""definicion"": ""Expresión de necesidad de apoyo emocional de una persona llamada Estelita para levantar el ánimo, ya que se siente desanimada.""}}"
achicopalar,"{""prompt_id"": ""P1"", ""input"": ""Hay que sacarle también jugo a la experiencia, y eso depende de nosotras mismas, de no dejarnos achicopalar."", ""output"": {""definicion"": ""Aprovechar al máximo las enseñanzas y aprendizajes que se obtienen de una experiencia.""}}"
achilado,"{""prompt_id"": ""P1"", ""input"": ""Fue una música que los padres detestaron porque venía de personajes con el pelo lacio, largo y caótico, de barbas achiladas y guitarras destrozadas."", ""output"": {""definicion"": ""Rock psicodélico de los años 60 y 70 con influencias contraculturales.""}}"
achilar,"{""prompt_id"": ""P1"", ""input"": ""Se le achila el pelo a pesar de gastar fortunas en cuidados y tratamientos."", ""output"": {""definicion"": ""El cabello se deteriora y se pierde calidad a pesar de invertir mucho dinero en tratamientos.""}}"
achiote,"{""prompt_id"": ""P1"", ""input"": ""El achiote crece y se desarrolla en muy buenas condiciones desde el nivel del mar hasta los 1.200 metros de altura."", ""output"": {""definicion"": ""Planta de color anaranjado utilizada para dar color y sabor a alimentos, crece desde el nivel del mar hasta los 1.200 metros de altura.""}}"
achiquitar,"{""prompt_id"": ""P1"", ""input"": ""No metas tu ropa de lana en la secadora, ya que se puede rasgar y achiquitar."", ""output"": {""definicion"": ""Instrucción para no usar secadora en prendas de lana para evitar daños.""}}"
achira,"{""prompt_id"": ""P1"", ""input"": ""Por su buen tamaño, su color verde intenso y un sabor muy agradable, en algunas regiones de Colombia los tamales se envuelven en hojas de achira y no de plátano."", ""output"": {""definicion"": ""Hojas grandes y resistentes de la planta achira, utilizadas en algunas regiones de Colombia para envoltura de tamales en lugar de hojas de plátano.""}}"
achucado,"{""prompt_id"": ""P1"", ""input"": ""Está como achucado por esa tos."", ""output"": {""definicion"": ""Se dice de alguien que tiene una tos persistente y molesta.""}}"
