modismo;significado;ejemplo;fuente
abrebocas;Adelanto que a manera de muestra se ofrece como motivación para que el público asista a una presentación o a un espectáculo.;Cine, arte y paz en 5 cortometrajes de abrebocas al festival Caleidoscopio de sueños.;DICOL
abrigar;Calentar los alimentos en la estufa.;Le voy a abrigar la arepita para que le sepa más rico.;DICOL
abrirse;Irse de un lugar.;No nos venga a engañar otra vez con sus cuentos, ábrase.;DICOL
abrochar;Exigirle duramente a alguien que realice una tarea o cumpla con sus deberes.;Ponte a hacer la tarea, antes de que alguien llegue y te abroche.;DICOL
abuelita;Cuna portátil para bebé que facilita llevarlo de un sitio a otro.;Trate de viajar en horarios que no haya congestión. Empaque un cargador de bebé, una abuelita cómoda o un coche portátil tipo paraguas.;DICOL
abullonado;Referido a un mueble o prenda de vestir, relleno o abultado por un material que se expande, utilizado en los textiles con que se recubren o elaboran estos objetos.;Mientras se acomoda en el abullonado sofá, sufre un remezón sentimental enorme.;DICOL
aburria;Ave de hasta 70 cm de longitud, de cabeza pequeña, cuello largo y delgado, patas amarillas y pico de color azul pálido en la base y oscuro en el extremo.;Esta pava se encuentra en estado de Casi Amenazada y es la única pava negra relativamente grande que habite en zonas montañosas.;DICOL
aburrición;Cosa o situación que produce pereza o falta de interés.;¡Qué aburrición! Siempre los mismos con lo mismo en lo mismo.;DICOL
acabado;Referido a una persona, con aspecto débil y enfermizo.;Si bien se ve acabado físicamente, su voz está intacta. Su intervención duró casi siete horas.;DICOL
acabarropa;Referido a una persona, holgazán.;Tronco acabarropa, no hizo nada y está pidiendo más plata.;DICOL
acabose;Acontecimiento irreparable o con el que se llega al extremo de una situación negativa.;El restaurante dejaba mucho que desear pero el acabose fue cuando los meseros exigieron unas propinas exageradas.;DICOL
acartonado;Referido a una persona, poco natural en su comportamiento, esquemática.;El cantante vallenato no hacía gala de sus acostumbradas actuaciones y se le notaba serio y acartonado.;DICOL
acatar;Caer en cuenta de algo.;Sólo cuando descargamos el mercado acatamos que se nos habían quedado los plátanos en la casa del compadre.;DICOL
accesar;Tener acceso a los datos de un sistema informático.;Para accesar al sistema debes introducir tu contraseña.;DICOL
aceite;Comprobar o evaluar alguien la capacidad de otro sometiéndolo de manera inadvertida a una prueba o situación difícil para determinar el curso posterior de una acción.;Los camioneros le midieron el aceite al nuevo ministro amenazándolo con un paro de transportadores que nunca pensaron llevar a cabo.;DICOL
acelerado;Referido a una persona, que actúa con precipitud, impaciencia.;Sus amigos dicen que Angelita es muy acelerada, pero que siempre tiene iniciativa y es muy decidida.;DICOL
acelere;Afán o rapidez exagerada con que se hace algo.;El acelere de la Administración Municipal conlleva a graves errores en los cálculos de la tributación.;DICOL
acema;Pan dulce de forma redonda, elaborado con harina de trigo y bicarbonato sódico y condimentado con anís, papelón y, en ocasiones, queso rallado.;Que uno vaya a una casa a realizar un pesebre y le tengan su chocolate, su pedazo de queso, su pedazo de acema, se ve muy tradicional.;DICOL
achacado;Referido a una persona, enferma o débil, especialmente por problemas asociados con la vejez.;Volvió más achacado, entonces lo trajeron a la clínica. Pero él es fuerte y se está reponiendo.;DICOL
achajuanado;Referido a una persona o un animal, sofocado por el calor o el trabajo excesivo.;Los dos viajeros llegaron a la posada hambrientos y achajuanados.;DICOL
achantado;Referdio a una persona, triste, desencantado.;Así que empecé a devolverme y un poco achantado miraba atrás constantemente, en un intento por mantener la esperanza de llegar a verla.;DICOL
achantar;Desalentar o hacer perder el ánimo.;No se dejó achantar, decidió irse por el lado de la percusión rítmica y ahí, por fin, llegó el swing esperado.;DICOL
achante;Depresión, abatimiento.;Andaba en un achante porque nadie lo había felicitado de cumpleaños en el colegio.;DICOL
achapado;Referido a una persona, avara, tacaña.;Es muy achapado, dijo que quería ir al baño cuando ya íbamos a pagar.;DICOL
achicar;Extraer el agua que se mete en las embarcaciones al navegar.;Mijo, ayúdeme a achicar la champa para que no se nos hunda.;DICOL
achicharrar;Tostar demasiado o quemar algo.;Los campos se secaron y se achicharraron por la falta de lluvia, y las cosechas se marchitaban de sed.;DICOL
achicopalado;Referido a una persona, triste, desencantado.;Carajo, me hace falta Estelita hoy para subirme el ánimo, porque estoy achicopalada.;DICOL
achicopalar;Desalentar o hacer perder el ánimo.;Hay que sacarle también jugo a la experiencia, y eso depende de nosotras mismas, de no dejarnos achicopalar.;DICOL
achilado;Referido al cabello o a las plantas, deteriorados o sin la vitalidad que deberían mostrar.;Fue una música que los padres detestaron porque venía de personajes con el pelo lacio, largo y caótico, de barbas achiladas y guitarras destrozadas.;DICOL
achilar;Perder algo la apariencia de vitalidad que debería tener, especialmente el pelo y las plantas.;Se le achila el pelo a pesar de gastar fortunas en cuidados y tratamientos.;DICOL
achiote;Arbusto de hasta 5 m de altura, de hojas alternas, flores rosadas o rojas y fruto de color castaño cuyas semillas se usan como colorante o condimento.;El achiote crece y se desarrolla en muy buenas condiciones desde el nivel del mar hasta los 1.200 metros de altura.;DICOL
achiquitar;Hacer que algo sea más pequeño de lo normal.;No metas tu ropa de lana en la secadora, ya que se puede rasgar y achiquitar.;DICOL
achira;"Planta herbácea, de hasta 3 m de altura, con hojas grandes, flores amarillas, naranjas o rojas; sus hojas sirven para envolver algunos alimentos y de sus rizomas se extrae almidón comestible.";Por su buen tamaño, su color verde intenso y un sabor muy agradable, en algunas regiones de Colombia los tamales se envuelven en hojas de achira y no de plátano.;DICOL
achucado;Referido a una persona, atragantado o que tiene dificultades para respirar ya sea por la comida, por enfermedad o por una aspiración.;Está como achucado por esa tos.;DICOL
achucarse;Referido a una persona o un animal, ahogarse con algo que le obstaculiza la garganta.;Me achuqué ayer por comer rápido y casi muero.;DICOL
achín;Planta herbácea, de hojas de color verde oscuro muy grandes, que se utilizan en el forraje y de tallos comestibles ricos en almidón al cocinarla cambia de blanco a morado.;También está la papa china o achín, un tubérculo parecido a la yuca, de gran tamaño y de sabor delicado, con la que se pueden preparar sudados y purés para acompañar pollo o mariscos.;DICOL
aco;Mezcla de maíz, linaza o cebada tostada y molida con panela o azúcar.;"Para preparar el aco, tostaba la linaza en callana y después se la molía; se cernía en cedazo muy fino y esta harina se la preparaba con panela rallada.";DICOL
acobalar;Devolver la simetría a algo que estaba torcido.;El taller ofrece chalecos, cascos, forros, mecánica en general, servicio electrónico, y técnicos en radiar y acobalar toda clase de rines.;DICOL
acolitar;Apoyar a una persona en algún proyecto o idea.;Antes de enviudar, su esposo le acolitó su voluntariado, como también le auspició sus clases de cocina.;DICOL
acomedirse;Ofrecerse o ponerse al servicio de otro para hacer algo.;Como vieron que no podía solo, varios de sus compañeros rápidamente se acomidieron y con la fuerza de siete hombres, la pesada puerta se abrió lentamente.;DICOL
acondicionar;Modificar las características de algo, agregando un implemento que no es original.;Pensando en la calidad de vida de los discapacitados, la empresa ofrece acondicionar los vehículos y así mejorar su movilidad.;DICOL
acordeonero;Persona que toca en el acordeón música vallenata o músico que toca el acordeón en el conjunto vallenato.;Estos conjuntos clásicos se caracterizaban porque el acordeonero era el mismo cantante y se hacía acompañar de una caja y una guacharaca.;DICOL
acose;Persecusión o presión causada por la insistencia de alguien.;Pero qué acose el tuyo. Al menos espera a que lleguemos a la casa.;DICOL
acosón;Referido a una persona, que acostumbra presionar a los demás.;Soy muy exigente, muy acosón y me exijo a mí mismo. Discutir conmigo no es fácil, pero cedo ante las razones de la inteligencia.;DICOL
acotejar;Acomodar, disponer en orden una serie de objetos en un espacio o lugar;Se están acotejando las pruebas para demostrar que financieramente esta empresa no puede asumir el contrato.;DICOL
acudiente;Persona mayor de edad, generalmente familiar o amigo, que se hace responsable de un estudiante ante las directivas de una institución escolar.;El rector informó que el desconocido ingresó como cualquier acudiente que llega a la institución a traer a un estudiante que viene tarde.;DICOL
acuerpado;Referido a una persona, grande, robusta.;A la entrada un guardaespaldas de estatura media, acuerpado y de traje negro intenta impedir el ingreso de más personas.;DICOL
aculillarse;Atemorizarse o acobardarse alguien ante una situación.;Tembló la madre tierra y hasta los más incrédulos, los que no van a misa, se aculillaron, se echaron la bendición y gritaron.;DICOL
acurrucarse;Ponerse en posición de cuclillas.;En el momento en que la tierra se empezó a sacudir bruscamente, mi amigo tiró su bicicleta y se acurrucó al lado del barranco.;DICOL
acusaletas;Referido a una persona, que tiene por costumbre acusar a otros.;El niño Jorge Mario se ha ganado la enemistad de sus compañeros, que lo tildan de acusaletas.;DICOL
acusetas;Referido a una persona, que tiene por costumbre acusar a otros.;Pone en tela de juicio a todo el que se le atraviese, sin que hasta ahora en sus múltiples incursiones de rufián desafiante y acusetas, haya podido probar nada de lo que afirma.;DICOL
acápite;En un escrito legal, fragmento que aclara o especifica algún aspecto de una ley o un decreto.;En los acápites que se leen a continuación, se especifica cuando un hecho doloso puede considerarse como agravado.;DICOL
aeróbicos;Ejercicios físicos que se caracterizan por seguir esquemas rítmicos que generan un alto consumo de oxígeno y por tener acompañamiento musical.;La profesora de aeróbicos supervisa que los ejercicios se realicen de forma apropiada.;DICOL
afanar;Preocuparse o angustiarse ante una situación.;- Te veo muy seguro. - Lo he pensado con calma, sin afanarme.;DICOL
afiche;Cartel impreso con información, publicidad o contenidos decorativos.;¿Le prende veladora al afiche de la selección que tiene autografiado en el cuarto?;DICOL
afiebrado;Referido a una persona, que actúa con excesiva ansia por gusto o interés en la realización de algo.;El New York Times destaca que colombianos son los más 'afiebrados' por su selección de fútbol.;DICOL
afiebrarse;Tener fiebre.;Con la llegada de los primeros dientes lo más probable es que el niño se afiebre y tenga otras molestias.;DICOL
afilado;Referido a una persona, bien preparada para una prueba o examen.;Estudiamos en grupos y llegamos a presentar bien afiladas el examen final que tanto nos preocupaba.;DICOL
afilarse;Prepararse para realizar adecuadamente una tarea.;Tenía planeado trasnochar y afilarse para el examen de admisión.;DICOL
afirmativo;Entre militares, policías y operadores de radio, sí, aceptado o confirmado.;Afirmativo, mi General: en cosa de minutos le traigo al plomero.;DICOL
aflojachocho;Bebida alcohólica que desinhibe el deseo sexual.;Todos esos tragos eran bien recibidos por nosotros, sin embargo, yo le hacía fuerza para que mi amiga tomara el popular 'aflojachocho'.;DICOL
aforar;Referido al equipaje o a un producto, calcular su cantidad y su valor.;Si usted considera que su equipaje vale más entonces deberá aforar su equipaje en donde se asegurará y se declarará su valor.;DICOL
afrijolar;Propinar un golpe.;En medio del relajo le afrijolaron dos pepazos en la cabeza y por eso expulsaron al culpable.;DICOL
afro;Referido a una persona, que pertenece o que es propio de los afrocolombianos.;Dentro de un mes se realizará en Medellín la primera muestra de cine y video afro e indígena.;DICOL
afugias;Apuros, problemas, especialmente económicos.;El proyecto de reelección pasará sin mayores afugias su primera prueba esta semana en el Congreso.;DICOL
agache;Evadir con astucia un problema o un asunto pendiente.;Lo preocupante fue que en la noticia publicada pasaron de agache que la pobreza extrema prácticamente se mantuvo inalterada.;DICOL
agalla;Despertársele el afán de poseer más de algo o de adquirir riquezas.;Creo que se precipitó o se le abrió la agalla, se hubiera esperado un año más y hubiera ganado más dinero.;DICOL
agalludo;Referido a una persona, ambiciosa, que siempre busca obtener más de lo que sería justo.;Ya continuaremos esta crónica de cómo una nación, pequeña pero resuelta, agalluda como ninguna otra, acaba engulléndose a otra.;DICOL
agarrar;Obtener o conseguir algo, especialmente de manera veloz, ágil.;Fue Tránsito Ariza la que agarró la ocasión al vuelo y mandó a la viuda para el dormitorio del hijo, con el pretexto de que en el suyo no había lugar.;DICOL
agarrón;Altercado, riña muy fuerte o pelea a golpes.;El agarrón se filtró a los medios y al otro día era la comidilla de las crónicas políticas.;DICOL
agonía;Hambre.;Tengo una agonía en el estómago que con gusto me comería tu plato también.;DICOL
agrieras;Acidez estomacal.;Últimamente he tenido 'agrieras', que aparecen después de que he comido. Y para eso tomo antiácidos.;DICOL
agringarse;Adoptar los hábitos o el aspecto propios de un gringo.;Después de vivir tanto tiempo en Chicago, la verdad poco a poco se le ha ido el acento barranquillero que tenía, ya está empezando a agringarse.;DICOL
agrio;Referido a una persona, de mal carácter.;Su abuela paterna, una mujer agria y dominante, la cuidó desde sus cuatro años.;DICOL
agripado;Referido a una persona, enferma de gripa.;Consúltale si tu hijo puede realizar actividades normalmente a pesar de estar agripado.;DICOL
agropecuario;Referido a una persona, que tiene gustos grotescos, ordinaria.;Siempre que combinaba mal la ropa su tía arribista lo llamaba agropecuario.;DICOL
agua;Época del año con grandes lluvias y aumento del caudal de los ríos y lagunas hasta el máximo nivel de las zonas inundables.;Se desarrolló una caracterización física y química de los principales ríos, quebradas y humedales en la época de aguas altas y bajas del Río Orinoco.;DICOL
aguacatado;Persona aburrida, que no gusta de las fiestas.;Según el actor su papel será el de un cachaco, realmente 'aguacatado' que le hará la vida imposible a su yerno.;DICOL
aguacatarse;Referido a una persona, intimidarse, asumir la posición menos comprometida frente a un problema o asunto.;Esa pelea ya la teníamos ganada en el juzgado, pero cuando el negocio subió al tribunal, mis abogados se aguacataron y les dio miedo o flojera.;DICOL
aguacero;Llover fuertemente.;Eran las 8:05 de la mañana cuando se desgajó un aguacero descomunal y el río Anaime comenzó a crujir.;DICOL
aguachento;Referido a la consistencia de algo, acuosa o con exceso de agua, especialmente la textura de los alimentos.;Esta variedad de papa tiene la característica de ser más aguachenta: según el experto, no se deshace en caldos pero puede procesarse en forma de hojuelas y bastones.;DICOL
aguado;Referido a una sustancia, especialmente un alimento, con más agua o líquido del que debería tener y por tanto insípida.;Dicen los abuelos que si se está de mal humor o se lo prepara de mala gana, el ajiaco queda aguado, se agria o se corta.;DICOL
aguaguado;Referido a un niño o adolescente, consentido o que se comporta de manera infantil.;Ese niño es muy aguaguado, no se le puede decir nada que por todo llora y les cuenta a sus padres.;DICOL
aguaitacaminos;Ave de hasta 28 cm de longitud, de plumaje  café grisáceo, blanco en la garganta y abdomen, pico corto, alas largas de punta redondeada y de canto persistente.;El llanero personifica en sus cantos, dichos y leyendas, al alcaraván, aguaitacaminos, y muchos otros animales, adjudicándoles propiedades, cualidades y defectos.;DICOL
aguaitar;Observar y esperar a alguien o algo con cautela y disimulo.;"Antes Nuánashe se volvía tigre y se comía la gente: un día fue a la roza con su mujer y se convirtió en tigre; la iba aguaitando, cada vez se le parecía más como a una piña, le pareció muy sabrosa y se la comió.";DICOL
aguajina;Bebida refrescante que se elabora con la pulpa del fruto de la palma de aguaje y agua.;Del aguaje maduro se obtiene la pulpa sin semilla de donde se elabora la aguajina: bebida denominada 'leche de la Amazonía'.;DICOL
aguallevame;Referido a una persona, que se deja influenciar por otros.;Debe argumentar muy bien sus razones a Marcos, a Pedro no porque es un aguallevame, con él todo es más fácil.;DICOL
aguamasa;Mezcla de residuos orgánicos de alimentos que sirve para alimentar a los cerdos.;El porcicultor sabe que a sus animales no les puede dar el coctel de desperdicios humanos e inhumanos que suele ser la aguamasa.;DICOL
aguamiel;Mezcla de agua con panela o con el jugo de la caña cocinado.;Las mulas después de desaparejadas se revolcaban en el polvo y tomaban su aguamiel, comían su caña y se les echaba agua por el lomo.;DICOL
aguamil;Lavamanos.;Como siempre, se lavó las manos en el aguamil antes de sentarse a comer.;DICOL
aguanoso;Referido a un tubérculo, especialmente a la yuca, que adquiere una consistencia cristalina después de cocinada.;Según la clasificación de los indígenas existen dos tipos de yuca: una aguanosa que no se aprecia y una arenosa que es rica y apetecida.;DICOL
aguantador;Referido a una persona o a algo, que resiste un esfuerzo físico o un deterioro.;Esa carpa era aguantadora. Había pasado por varios campamentos y estaba intacta.;DICOL
aguarapar;Referido a la caña de azúcar o a una fruta, adquirir el sabor y la consistencia del guarapo.;Debido a la falta de agua y los intensos soles, los jugos dentro de la caña se aguarapan.;DICOL
aguardientoso;Referido a una persona, que tiene voz ronca y áspera.;Uno no tiene que disfrazar el ajedrez de emocionante, ni de narrador aguardientoso para que sea atractivo.;DICOL
aguarse;Llenarse de lágrimas los ojos de alguien a causa de una emoción.;Se me aguaron los ojos al despedirme porque recordé en una sola instantánea los momentos más luminosos de mi infancia.;DICOL
aguasal;Caldo hecho a base de cebolla, sal, huevo y, en ocasiones, tomate y cilantro.;Le recomendaron tomar aguasal para su malestar de estómago.;DICOL
aguatero;Persona que tiene por oficio trasportar y vender agua.;El oficio de aguadora o aguatera fue muy popular en épocas en que no estaba generalizado el suministro de agua corriente.;DICOL
aguatudo;Río crecido que, por mezclarse con el material de su cauce, se torna espeso y de color arcilloso.;Y arrancó a correr sin darse cuenta de que el río bajaba aguatudo y violento. Por poco se resbala y quién sabe a dónde hubiera ido a parar.;DICOL
aguijar;Incitar a un perro para que ataque.;El perro me mordió porque usted me lo aguijó.;DICOL
aguinaldo;Juegos variados que se hacen en la temporada navideña, generalmente del 16 al 24 de diciembre, donde el jugador que acumule más puntos recibe un premio.;No deje pasar esta Navidad sin jugar aguinaldos, una buena manera de recordar el primer beso robado y la primera pajita en boca.;DICOL
agáchese;Puesto de venta informal o conjunto de estos puestos en el que se ofrecen diversidad de artículos  en el piso o en mesas muy bajas en los andenes de la ciudad.;La gente empezó a llamar a esos puestos los agáchese por la necesidad del cliente de doblarse por la cintura para alcanzar algún artículo que llamara su atención.;DICOL
agüerista;Referido a una persona, que cree ciegamente en los agüeros.;Mi abuela es demasiado agüerista. Ella me mantiene hasta el cuello con sus temores y cuidados: que cuidado pasas debajo de una escalera, que cuidado se te riega la sal o el azúcar.;DICOL
agüero;De una vez y sin pensarlo tanto.;A veces la mejor opción ante la adversidad es renunciar sin agüero a las aspiraciones o al menos contemplarlas con extrañeza y retirarse.;DICOL
ahogado;Referido a un político, que ha perdido las elecciones.;Para Concejo su hermano resultó ahogado por un voto.;DICOL
ahorcado;Referido a una persona, que cuenta con poco dinero para cubrir sus obligaciones.;Está ahorcado pagando las cuotas del apartamento.;DICOL
ahorcar;Estrangular, asfixiar a alguien apretándole el cuello.;Cuando don Gabriel se le arrojó encima para ahorcarlo, Mr. Carl Michael lo rechazó de un disparo en la pierna.;DICOL
ahorita;En un momento, no de inmediato.;No mamá, nos pusimos a revisar unas cosas del colegio y se me hizo tarde, pero si quiere almorzamos ahorita con sumercé.;DICOL
ahuyama;"Planta rastrera, con tallos muy largos y cubiertos de pelos ásperos, hojas anchas y lobuladas; grandes flores amarillas y fruto de gran tamaño.";Vasijas Quimbayas y del imperio Inca, hablan de la antigüedad de la ahuyama en el mundo indoamericano.;DICOL
ahí;No muy bien, más o menos.;"Cuando te saludamos y nos contestaste: ""Ahí, sin novedad"", supimos que no te había ido del todo bien en el examen.";DICOL
aire;Sufrir un dolor muscular en alguna parte del cuerpo, especialmente en la espalda.;Abrí una ventana y tengo aire en el cuello, espalda y cintura.;DICOL
ajetreo;Relación sexual.;Se vanaglorian de hacer el amor tres veces por noche y de reventar en pareja las cuerdas del mosquitero o de caerse en pleno ajetreo de la hamaca al suelo.;DICOL
ajiaco;Sopa espesa, de la cocina tradicional del altiplano cundiboyacense, hecho con diversas clases de papa, pollo, maíz tierno, y aromatizado con hojas de guasca.;Sobre la mesa hay alcaparras y crema de leche. Anuncio indudable del menú que los espera. Ajiaco santafereño.;DICOL
ajicie;Afición causada por algo nuevo, un objeto o actividad.;Nos dejó este video en nuestro muro, y con tanto ajicie y ganas, cómo no lo íbamos a publicar.;DICOL
ajustar;Referido a una persona, llegar a cierta edad.;Ella es oriunda de Chiquinquirá, allá conoció a José Vicente, cuando ella apenas ajustaba 15 años.;DICOL
ala;Mostrar a una persona de manera indirecta el interés que se tiene por ella en términos amorosos.;Por lo que veo, el hijo de don José le anda arrastrando el ala a la hija del médico.;DICOL
alabado;Canto de alabanza ofrendado a Dios, a los santos y como homenaje en un funeral de un adulto, especialmente durante el velorio y en la última noche de la novena.;Los santos alabados reflejan tristeza, despedidas, perdón, dolor por el amigo, padre, hijo o, en general, por algún familiar que murió.;DICOL
alargue;En algunos deportes, como el fútbol, tiempo extra que se juega después de la finalización del partido, en caso de empate en el marcador.;Ya en el segundo minuto del alargue, el delantero alemán anotaba el uno a cero con el que finalmente su equipo ganó el partido.;DICOL
alarma;Estar preparado para tomar medidas de control ante alguna situación.;Después de conocerse más de 11 mil 200 casos, de chikungunya en Cúcuta, se prendieron las alarmas.;DICOL
alberca;Depósito de agua del lavadero de una casa.;Es necesario saber que los pequeños se pueden ahogar en una alberca, en un estanque de agua o incluso en la tina de bañarlos.;DICOL
albiriscado;Referido a una persona, que está alborotada o exaltada.;Usted estaba contentísimo y muy albiriscado porque yo me dejé besar las orejas y el cuello, y entonces empezó a beber sabajón y brandy como un loco.;DICOL
alcabala;Retén o puesto de vigilancia que hay en las carreteras o fronteras.;Ellos se embarcan en moto, teniendo que recorrer más de dos horas, hasta llegar a otra alcabala y si cuentan con suerte, se salvan de una atracada.;DICOL
alcahueta;Persona permisiva, que consiente o mima exageradamente a otra.;"Recuerdo que a su abuelo le dio rabia verla conversar con desconocidos; sin embargo, a quien le quitó la palabra fue a mí por alcahueta.";DICOL
alcahuetear;Consentir o mimar exageradamente a otro, especialmente a los hijos y nietos.;Ya está bueno que los profesores le tengan miedo a los alumnos y que los padres alcahueteen conductas agresivas de sus hijos.;DICOL
alcancía;Caja con una ranura para depositar las limosnas o donativos en las iglesias.;Se generalizó esta religiosidad popular por la Virgen y las alcancías de varias iglesias se crecieron porque fueron muy generosas las limosnas;DICOL
alcanzado;Referido a una persona, que cuenta con poco dinero para cumplir sus obligaciones.;Vive un poco alcanzada porque tiene que enviarle dinero a sus padres todos los meses.;DICOL
alcanzamocho;Alimento hecho a base de arroz preparado en caldo de carne, con alverja, maíz y hogao que se envuelve en hojas de plátano.;Tengo antojo de alcanzamochos con arepa. ¿Vamos a la galería y compramos unos para el almuerzo?;DICOL
alcaparro;Arbusto de hasta 3 m de altura, muy ramificado y de flores amarillas agrupadas en racimos.;Miguel Antonio Caro procuraba hablar sólo en latín bajo los alcaparros florecidos de la Sabana de Bogotá.;DICOL
alcaraván;"Ave zancuda y corredora de hasta 46 cm de longitud, de patas largas, dorso y parte superior de la cabeza café claro moteado de blanco, garganta y vientre blancos, cabeza con ojos muy grandes y amarillos con cejas blancas bordeadas por una raya negra y pico corto; propia de las zonas bajas y arenosas de los Llanos y la Costa Caribe.";Era un inmenso salón al aire libre, por donde se paseaban a voluntad no menos de doscientos alcaravanes que daban la hora con un cacareo ensordecedor.;DICOL
alcayata;Gancho metálico que se fija en la pared y del cual se amarra cada uno de los lazos de la hamaca.;Todas las habitaciones de este centro asistencial tienen en las paredes argollas de hierro, alcayatas, para colgar las hamacas.;DICOL
alebrestar;Perturbar, alterar los nervios o alborotar a una persona o a un animal.;Es un bailarín alegre pero se alebresta completamente cuando escucha salsa de la buena.;DICOL
alegadera;Discusión prolongada y reiterada que causa molestia.;Después de una hora de alegadera decidieron resolver la situación llamando a un policía.;DICOL
alegar;Discutir o protestar de manera vehemente.;Recordé que unos amigos estaban alegando sobre cuál es la mejor arepa de huevo: si la de Soledad o la de Barranquilla.;DICOL
alegato;Discusión o disputa intensa, vehemente.;Claro que me dio un poquito de miedo intervenir porque los dos vecinos estaban furiosos y al calor del alegato cualquier cosa me pudo pasar.;DICOL
alegrías;Golosina redonda que se forma bañando maíz pira o millo con melao de panela o miel.;A mí la boca también me sabe a coco, al arroz con coco, al coco de las alegrías.;DICOL
alegrón;Referido a una persona, que está ligeramente embriagada y animada.;Salen a tomarse unas cervezas y sólo se delatan como músicos reputados cuando, ya alegrones, comienzan a cantar.;DICOL
alentarse;Recuperar la salud o curarse de una enfermedad.;Si no te alientas de una gripa con remedios caseros, debe ser que lo que tienes es algo más serio.;DICOL
alepruz;Niño insoportable, que molesta en exceso.;Su sobrino se comporta cada vez peor, está inaguantable…todo un alepruz.;DICOL
alero;Tejado que sobresale de la pared y corredor en la fachada o en los costados de una casa que sirven para protegerse de la lluvia o el sol.;Añoré mi viejo barrio de Boston donde nací, de nobles casas con alero para que cuando lloviera nos escampáramos los parroquianos que íbamos a misa.;DICOL
alerta;Estar preparada una persona para tomar medidas de control ante alguna situación.;Y de igual modo prender alertas rojas en el país para verificar zonas de riesgo en los municipios de Colombia.;DICOL
aleta;Generar problemas y peleas con hechos o palabras.;Se le advirtió, se le repitió que dejara de dar aleta, y se le preguntó: ¿quiere que se le colabore con la salida?;DICOL
aletear;Provocar a una persona a iniciar una discusión o una pelea.;Yo sacaba a pelear a los que venía a 'aletiar', entonces decía “voy por el más parado, por la cabeza”, y buscaba al más bravo.;DICOL
aletoso;Referido a una persona, conflictiva, que provoca discusiones o peleas.;Se las da de aletoso y ni siquiera sabe pelear.;DICOL
alevino;Cría de ciertos peces de agua dulce que se suelen utilizar para repoblar ríos, lagos y estanques.;Más de 20 mil alevinos de bocachico y blanquillo fueron sembrados en la Ciénaga El Llanito de Barrancabermeja dentro del programa de repoblamiento de los espejos de agua.;DICOL
alevoso;Persona que causa peleas y discusiones.;Espero que no se enfrasquen en una discusión con este muchachito alevoso y ridículo que cree siempre tener la razón.;DICOL
alfabeto;Referido a una persona, que sabe leer y escribir.;Según el estudio más del 50% de la población eran mujeres alfabetas.;DICOL
alfombrar;Cubrir el piso, especialmente de una vivienda, con tapete, alfombra u otro material.;Las áreas sociales no se deben alfombrar de pared a pared. Hay que lucir los pisos, especialmente, si son de madera.;DICOL
