modismo,amazon_nova-micro-v1
achante,"{""prompt_id"": ""P2"", ""input"": ""Andaba en un achante porque nadie lo había felicitado de cumpleaños en el colegio."", ""output"": {""es_modismo"": ""No""}}"
achapado,"{""prompt_id"": ""P2"", ""input"": ""Es muy achapado, dijo que quería ir al baño cuando ya íbamos a pagar."", ""output"": {""es_modismo"": ""No""}}"
achicar,"{""prompt_id"": ""P2"", ""input"": ""Mijo, ayúdeme a achicar la champa para que no se nos hunda."", ""output"": {""es_modismo"": ""No""}}"
achicharrar,"{""prompt_id"": ""P2"", ""input"": ""Los campos se secaron y se achicharraron por la falta de lluvia, y las cosechas se marchitaban de sed."", ""output"": {""es_modismo"": ""No""}}"
achicopalado,"{""prompt_id"": ""P2"", ""input"": ""Carajo, me hace falta Estelita hoy para subirme el ánimo, porque estoy achicopalada."", ""output"": {""es_modismo"": ""No""}}"
achicopalar,"{""prompt_id"": ""P2"", ""input"": ""Hay que sacarle también jugo a la experiencia, y eso depende de nosotras mismas, de no dejarnos achicopalar."", ""output"": {""es_modismo"": ""No""}}"
achilado,"{""prompt_id"": ""P2"", ""input"": ""Fue una música que los padres detestaron porque venía de personajes con el pelo lacio, largo y caótico, de barbas achiladas y guitarras destrozadas."", ""output"": {""es_modismo"": ""No""}}"
achilar,"{""prompt_id"": ""P2"", ""input"": ""Se le achila el pelo a pesar de gastar fortunas en cuidados y tratamientos."", ""output"": {""es_modismo"": ""No""}}"
achiote,"{""prompt_id"": ""P2"", ""input"": ""El achiote crece y se desarrolla en muy buenas condiciones desde el nivel del mar hasta los 1.200 metros de altura."", ""output"": {""es_modismo"": ""No""}}"
achiquitar,"{""prompt_id"": ""P2"", ""input"": ""No metas tu ropa de lana en la secadora, ya que se puede rasgar y achiquitar."", ""output"": {""es_modismo"": ""No""}}"
achira,"{""prompt_id"": ""P2"", ""input"": ""Por su buen tamaño, su color verde intenso y un sabor muy agradable, en algunas regiones de Colombia los tamales se envuelven en hojas de achira y no de plátano."", ""output"": {""es_modismo"": ""No""}}"
achucado,"{""prompt_id"": ""P2"", ""input"": ""Está como achucado por esa tos."", ""output"": {""es_modismo"": ""No""}}"
