modismo,amazon_nova-micro-v1
achantado,"{""prompt_id"": ""P4"", ""input"": ""achantado"", ""output"": {""reemplazo"": ""decepcionado""}}"
achantar,"{""prompt_id"": ""P4"", ""input"": ""achantar"", ""output"": {""reemplazo"": ""poner en su lugar""}}"
achante,"{""prompt_id"": ""P4"", ""input"": ""achante"", ""output"": {""reemplazo"": ""molesto""}}"
achapado,"{""prompt_id"": ""P4"", ""input"": ""achapado"", ""output"": {""reemplazo"": ""sin energía""}}"
achicar,"{""prompt_id"": ""P4"", ""input"": ""achicar"", ""output"": {""reemplazo"": ""reducir""}}"
achicharrar,"{""prompt_id"": ""P4"", ""input"": ""achicharrar"", ""output"": {""reemplazo"": ""hacer que algo se queme""}}"
achicopalado,"{""prompt_id"": ""P4"", ""input"": ""achicopalado"", ""output"": {""reemplazo"": ""cansado y desanimado""}}"
achicopalar,"{""prompt_id"": ""P4"", ""input"": ""achicopalar"", ""output"": {""reemplazo"": ""agobiar""}}"
achilado,"{""prompt_id"": ""P4"", ""input"": ""achilado"", ""output"": {""reemplazo"": ""enfriado""}}"
achilar,"{""prompt_id"": ""P4"", ""input"": ""achilar"", ""output"": {""reemplazo"": ""reducir""}}"
achiote,"ERROR: status=502 ""<!DOCTYPE HTML PUBLIC \""-//IETF//DTD HTML 2.0//EN\"">\n<html><head>\n<title>502 Proxy Error</title>\n</head><body>\n<h1>Proxy Error</h1>\n<p>The proxy server received an invalid\r\nresponse from an upstream server.<br />\r\nThe proxy server could not handle the request<p>Reason: <strong>Error reading from remote server</strong></p></p>\n<hr>\n<address>Apache/2.4.52 (Ubuntu) Server at api.straico.com Port 443</address>\n</body></html>\n"""
achiquitar,"ERROR: status=503 ""<!DOCTYPE HTML PUBLIC \""-//IETF//DTD HTML 2.0//EN\"">\n<html><head>\n<title>503 Service Unavailable</title>\n</head><body>\n<h1>Service Unavailable</h1>\n<p>The server is temporarily unable to service your\nrequest due to maintenance downtime or capacity\nproblems. Please try again later.</p>\n<hr>\n<address>Apache/2.4.52 (Ubuntu) Server at api.straico.com Port 443</address>\n</body></html>\n"""
achira,"ERROR: status=503 ""<!DOCTYPE HTML PUBLIC \""-//IETF//DTD HTML 2.0//EN\"">\n<html><head>\n<title>503 Service Unavailable</title>\n</head><body>\n<h1>Service Unavailable</h1>\n<p>The server is temporarily unable to service your\nrequest due to maintenance downtime or capacity\nproblems. Please try again later.</p>\n<hr>\n<address>Apache/2.4.52 (Ubuntu) Server at api.straico.com Port 443</address>\n</body></html>\n"""
achucado,"ERROR: status=503 ""<!DOCTYPE HTML PUBLIC \""-//IETF//DTD HTML 2.0//EN\"">\n<html><head>\n<title>503 Service Unavailable</title>\n</head><body>\n<h1>Service Unavailable</h1>\n<p>The server is temporarily unable to service your\nrequest due to maintenance downtime or capacity\nproblems. Please try again later.</p>\n<hr>\n<address>Apache/2.4.52 (Ubuntu) Server at api.straico.com Port 443</address>\n</body></html>\n"""
