modismo;significado;ejemplo;fuente
abotar;Ubicarse alguien o algo en la orilla del río o la acera.;Niña, abótese que la puede atropellar el carro.;DICOL
abotar;Cruzarse el río o el mar de un lado para el otro.;Los manglares considerados uno de más ricos y frágiles del planeta, por ser donde allí, donde se reproduce y crecen miles de especies, antes de abotarse a la mar.;DICOL
abozao;Danza caracterizada por movimientos pélvicos enérgicos y rápidos de los danzantes y se acompaña con frecuentes gritos.;El grupo de Chocó bailó Voltea en ritmo de abozao que es una danza folclórica del Pacífico colombiano.;DICOL
abrebocas;Adelanto que a manera de muestra se ofrece como motivación para que el público asista a una presentación o a un espectáculo.;Cine, arte y paz en 5 cortometrajes de abrebocas al festival Caleidoscopio de sueños.;DICOL
abrigar;Calentar los alimentos en la estufa.;Le voy a abrigar la arepita para que le sepa más rico.;DICOL
abrirse;Irse de un lugar.;No nos venga a engañar otra vez con sus cuentos, ábrase.;DICOL
abrirse;Desistir de un compromiso asumido, especialmente dentro de un grupo.;"Vean, hasta ahora colaboré... pero esto se puede transformar en un gran lío en cualquier momento; yo me abro, ustedes hagan lo que quieran.";DICOL
abrirse;Separarse una pareja.;Después haber intentado la reconciliación por meses decidieron abrirse y coger cada uno por su lado.;DICOL
abrochar;Exigirle duramente a alguien que realice una tarea o cumpla con sus deberes.;Ponte a hacer la tarea, antes de que alguien llegue y te abroche.;DICOL
abuelita;Cuna portátil para bebé que facilita llevarlo de un sitio a otro.;Trate de viajar en horarios que no haya congestión. Empaque un cargador de bebé, una abuelita cómoda o un coche portátil tipo paraguas.;DICOL
abuelita;Calzado femenino de tela sin tacón.;;DICOL
abuelita;Especie de torcaza o tórtola de hasta 16 cms de longitud, de color castaño.;;DICOL
abullonado;Referido a un mueble o prenda de vestir, relleno o abultado por un material que se expande, utilizado en los textiles con que se recubren o elaboran estos objetos.;Mientras se acomoda en el abullonado sofá, sufre un remezón sentimental enorme.;DICOL
aburria;Ave de hasta 70 cm de longitud, de cabeza pequeña, cuello largo y delgado, patas amarillas y pico de color azul pálido en la base y oscuro en el extremo.;Esta pava se encuentra en estado de Casi Amenazada y es la única pava negra relativamente grande que habite en zonas montañosas.;DICOL
aburrición;Cosa o situación que produce pereza o falta de interés.;¡Qué aburrición! Siempre los mismos con lo mismo en lo mismo.;DICOL
acabado;Referido a una persona, con aspecto débil y enfermizo.;Si bien se ve acabado físicamente, su voz está intacta. Su intervención duró casi siete horas.;DICOL
acabarropa;Referido a una persona, holgazán.;Tronco acabarropa, no hizo nada y está pidiendo más plata.;DICOL
acabose;Acontecimiento irreparable o con el que se llega al extremo de una situación negativa.;El restaurante dejaba mucho que desear pero el acabose fue cuando los meseros exigieron unas propinas exageradas.;DICOL
acartonado;Referido a una persona, poco natural en su comportamiento, esquemática.;El cantante vallenato no hacía gala de sus acostumbradas actuaciones y se le notaba serio y acartonado.;DICOL
acatar;Caer en cuenta de algo.;Sólo cuando descargamos el mercado acatamos que se nos habían quedado los plátanos en la casa del compadre.;DICOL
accesar;Tener acceso a los datos de un sistema informático.;Para accesar al sistema debes introducir tu contraseña.;DICOL
aceite;Comprobar o evaluar alguien la capacidad de otro sometiéndolo de manera inadvertida a una prueba o situación difícil para determinar el curso posterior de una acción.;Los camioneros le midieron el aceite al nuevo ministro amenazándolo con un paro de transportadores que nunca pensaron llevar a cabo.;DICOL
aceite;En un automotor, perder aceite el motor.;;DICOL
acelerado;Referido a una persona, que actúa con precipitud, impaciencia.;Sus amigos dicen que Angelita es muy acelerada, pero que siempre tiene iniciativa y es muy decidida.;DICOL
acelere;Afán o rapidez exagerada con que se hace algo.;El acelere de la Administración Municipal conlleva a graves errores en los cálculos de la tributación.;DICOL
acelere;Impaciencia, ansiedad.;Respira profundo, controlando la irritabilidad, el acelere y el estrés.;DICOL
acema;Pan dulce de forma redonda, elaborado con harina de trigo y bicarbonato sódico y condimentado con anís, papelón y, en ocasiones, queso rallado.;Que uno vaya a una casa a realizar un pesebre y le tengan su chocolate, su pedazo de queso, su pedazo de acema, se ve muy tradicional.;DICOL
acerola;Arbusto de hasta 6 m de altura, corteza obscura y denso ramaje, hojas simples de color verde obscuro, flores de color lila, rosado y blanco, su fruto es redondo y comestible.;;DICOL
acerola;Fruto de este arbusto, redondo y de hasta 2 cm de diámetro, de cáscara muy delgada, lisa y de color naranja o violeta al madurar, su pulpa es jugosa, muy ácida y usada en refrescos y dulces.;Pruebe nuestro té, una poderosa y refrescante combinación de té verde, té blanco y acerola.;DICOL
achacado;Referido a una persona, enferma o débil, especialmente por problemas asociados con la vejez.;Volvió más achacado, entonces lo trajeron a la clínica. Pero él es fuerte y se está reponiendo.;DICOL
achajuanado;Referido a una persona o un animal, sofocado por el calor o el trabajo excesivo.;Los dos viajeros llegaron a la posada hambrientos y achajuanados.;DICOL
achantada;Depresión, abatimiento.;;DICOL
achantada;Sensación de humillación.;;DICOL
achantado;Referdio a una persona, triste, desencantado.;Así que empecé a devolverme y un poco achantado miraba atrás constantemente, en un intento por mantener la esperanza de llegar a verla.;DICOL
achantar;Desalentar o hacer perder el ánimo.;No se dejó achantar, decidió irse por el lado de la percusión rítmica y ahí, por fin, llegó el swing esperado.;DICOL
achantar;Avergonzar.;Se achantó cuando su mamá la llenó de mimos delante de sus amigos.;DICOL
achante;Depresión, abatimiento.;Andaba en un achante porque nadie lo había felicitado de cumpleaños en el colegio.;DICOL
achante;Sensación de humillación.;;DICOL
achapado;Referido a una persona, avara, tacaña.;Es muy achapado, dijo que quería ir al baño cuando ya íbamos a pagar.;DICOL
achicar;Extraer el agua que se mete en las embarcaciones al navegar.;Mijo, ayúdeme a achicar la champa para que no se nos hunda.;DICOL
achicar;Extraer con vasijas y baldes el agua que entra a una edificación como producto de la lluvia o una inundación.;;DICOL
achicar;Amarrar a un animal arisco para calmarlo o sacrificarlo.;Se achica la vaca para el sacrificio, se ordeña, se aprende y se canta.;DICOL
achicar;En el fútbol, reducir el campo de acción de un jugador impiendo que llegue a la valla contraria o que se haga una jugada peligrosa.;Recuperar el balón por anticipación, sin olvidar el principio básico de la defensa, que es achicar la cancha y proteger el centro.;DICOL
achicharrar;Tostar demasiado o quemar algo.;Los campos se secaron y se achicharraron por la falta de lluvia, y las cosechas se marchitaban de sed.;DICOL
achicopalado;Referido a una persona, triste, desencantado.;Carajo, me hace falta Estelita hoy para subirme el ánimo, porque estoy achicopalada.;DICOL
achicopalar;Desalentar o hacer perder el ánimo.;Hay que sacarle también jugo a la experiencia, y eso depende de nosotras mismas, de no dejarnos achicopalar.;DICOL
achicopalar;Atemorizarse, intimidarse, asumir la posición menos comprometida frente a un problema o asunto.;Me dijeron que no era capaz de ir a contar un chiste en televisión, y por no dejarme achicopalar decidí aceptar la apuesta.;DICOL
achilado;Referido al cabello o a las plantas, deteriorados o sin la vitalidad que deberían mostrar.;Fue una música que los padres detestaron porque venía de personajes con el pelo lacio, largo y caótico, de barbas achiladas y guitarras destrozadas.;DICOL
achilado;Referido a una persona, triste, desencantada.;Hola, soy el gol y como tal, estoy achilado, vale decir, achicopalado, derrumbado.;DICOL
achilado;Referido a una persona, ruborizada o tímida por algo o por alguien.;;DICOL
achilar;Perder algo la apariencia de vitalidad que debería tener, especialmente el pelo y las plantas.;Se le achila el pelo a pesar de gastar fortunas en cuidados y tratamientos.;DICOL
achilar;Sentir vergüenza o intimidarse por algo.;La María se achiló, no aguanta ni un chiste.;DICOL
achiote;Arbusto de hasta 5 m de altura, de hojas alternas, flores rosadas o rojas y fruto de color castaño cuyas semillas se usan como colorante o condimento.;El achiote crece y se desarrolla en muy buenas condiciones desde el nivel del mar hasta los 1.200 metros de altura.;DICOL
achiote;Fruto de esta planta, de color castaño y en forma de cápsula con espinas blandas que encierra numerosas semillas cubiertas con una pulpa intensamente roja que se emplean como colorante o condimento.;;DICOL
achiote;Cada una de las semillas que porta el fruto del achiote.;;DICOL
achiote;Sustancia de color rojo intenso que se usa como colorante o condimento y que se obtiene directamente de la pulpa de las semillas de esta planta o del polvo resultante de su desecación y maceración.;La tuvieron por una gran muñeca decrépita que llevaban y traían por los rincones, disfrazada con trapos de colores y la cara pintada con hollín y achiote.;DICOL
achiquitar;Hacer que algo sea más pequeño de lo normal.;No metas tu ropa de lana en la secadora, ya que se puede rasgar y achiquitar.;DICOL
achira;"Planta herbácea, de hasta 3 m de altura, con hojas grandes, flores amarillas, naranjas o rojas; sus hojas sirven para envolver algunos alimentos y de sus rizomas se extrae almidón comestible.";Por su buen tamaño, su color verde intenso y un sabor muy agradable, en algunas regiones de Colombia los tamales se envuelven en hojas de achira y no de plátano.;DICOL
achira;Panecillo crujiente y salado, con algo de sabor dulce y ácido que se elabora principalmente con cuajada y el almidón del rizoma de la achira.;;DICOL
achucado;Referido a una persona, atragantado o que tiene dificultades para respirar ya sea por la comida, por enfermedad o por una aspiración.;Está como achucado por esa tos.;DICOL
achucarse;Referido a una persona o un animal, ahogarse con algo que le obstaculiza la garganta.;Me achuqué ayer por comer rápido y casi muero.;DICOL
achín;Planta herbácea, de hojas de color verde oscuro muy grandes, que se utilizan en el forraje y de tallos comestibles ricos en almidón al cocinarla cambia de blanco a morado.;También está la papa china o achín, un tubérculo parecido a la yuca, de gran tamaño y de sabor delicado, con la que se pueden preparar sudados y purés para acompañar pollo o mariscos.;DICOL
aco;Mezcla de maíz, linaza o cebada tostada y molida con panela o azúcar.;"Para preparar el aco, tostaba la linaza en callana y después se la molía; se cernía en cedazo muy fino y esta harina se la preparaba con panela rallada.";DICOL
acobalar;Devolver la simetría a algo que estaba torcido.;El taller ofrece chalecos, cascos, forros, mecánica en general, servicio electrónico, y técnicos en radiar y acobalar toda clase de rines.;DICOL
acolitar;Apoyar a una persona en algún proyecto o idea.;Antes de enviudar, su esposo le acolitó su voluntariado, como también le auspició sus clases de cocina.;DICOL
acolitar;Encubrir a quien hace algo ilícito.;Aparentemente el agente le acolitó al servidor público que parqueara su vehículo sobre un andén del parque principal.;DICOL
acomedirse;Ofrecerse o ponerse al servicio de otro para hacer algo.;Como vieron que no podía solo, varios de sus compañeros rápidamente se acomidieron y con la fuerza de siete hombres, la pesada puerta se abrió lentamente.;DICOL
acondicionar;Modificar las características de algo, agregando un implemento que no es original.;Pensando en la calidad de vida de los discapacitados, la empresa ofrece acondicionar los vehículos y así mejorar su movilidad.;DICOL
acordeonero;Persona que toca en el acordeón música vallenata o músico que toca el acordeón en el conjunto vallenato.;Estos conjuntos clásicos se caracterizaban porque el acordeonero era el mismo cantante y se hacía acompañar de una caja y una guacharaca.;DICOL
acose;Persecusión o presión causada por la insistencia de alguien.;Pero qué acose el tuyo. Al menos espera a que lleguemos a la casa.;DICOL
acosón;Referido a una persona, que acostumbra presionar a los demás.;Soy muy exigente, muy acosón y me exijo a mí mismo. Discutir conmigo no es fácil, pero cedo ante las razones de la inteligencia.;DICOL
acotejar;Acomodar, disponer en orden una serie de objetos en un espacio o lugar;Se están acotejando las pruebas para demostrar que financieramente esta empresa no puede asumir el contrato.;DICOL
acotejar;Favorecer o proteger por negligencia o descuido actitudes o acciones cuestionables.;Siga usted acotejando el comportamiento de estos delincuentes y cuando toquen con usted o con los suyos hablamos.;DICOL
acuacultura;Técnica empleada para el cultivo de especies vegetales y animales acuáticas.;;DICOL
acudiente;Persona mayor de edad, generalmente familiar o amigo, que se hace responsable de un estudiante ante las directivas de una institución escolar.;El rector informó que el desconocido ingresó como cualquier acudiente que llega a la institución a traer a un estudiante que viene tarde.;DICOL
acuerpado;Referido a una persona, grande, robusta.;A la entrada un guardaespaldas de estatura media, acuerpado y de traje negro intenta impedir el ingreso de más personas.;DICOL
aculillarse;Atemorizarse o acobardarse alguien ante una situación.;Tembló la madre tierra y hasta los más incrédulos, los que no van a misa, se aculillaron, se echaron la bendición y gritaron.;DICOL
acurrucarse;Ponerse en posición de cuclillas.;En el momento en que la tierra se empezó a sacudir bruscamente, mi amigo tiró su bicicleta y se acurrucó al lado del barranco.;DICOL
acusaletas;Referido a una persona, que tiene por costumbre acusar a otros.;El niño Jorge Mario se ha ganado la enemistad de sus compañeros, que lo tildan de acusaletas.;DICOL
acusetas;Referido a una persona, que tiene por costumbre acusar a otros.;Pone en tela de juicio a todo el que se le atraviese, sin que hasta ahora en sus múltiples incursiones de rufián desafiante y acusetas, haya podido probar nada de lo que afirma.;DICOL
acápite;En un escrito legal, fragmento que aclara o especifica algún aspecto de una ley o un decreto.;En los acápites que se leen a continuación, se especifica cuando un hecho doloso puede considerarse como agravado.;DICOL
acápite;En un escrito, fragmento de texto compuesto por uno o más párrafos que se refieren a un aspecto particular del tema tratado.;El primer acápite de este cuarto capítulo que lleva por nombre “Sombreros anchos y mentes estrechas”, plantea la relación entre el tamaño del cerebro y la inteligencia.;DICOL
ademanoso;Referido a una persona, delicada por su excesiva compostura y esmero.;;DICOL
ademanoso;Referido a una persona, que se niega a ejecutar una labor, ya sea por la fuerza que implica o el esfuerzo.;Deje de ser ademanoso y mejor pongase a jornaliar.;DICOL
aeróbicos;Ejercicios físicos que se caracterizan por seguir esquemas rítmicos que generan un alto consumo de oxígeno y por tener acompañamiento musical.;La profesora de aeróbicos supervisa que los ejercicios se realicen de forma apropiada.;DICOL
afanar;Preocuparse o angustiarse ante una situación.;- Te veo muy seguro. - Lo he pensado con calma, sin afanarme.;DICOL
afanar;Referido a una persona, apresurarla para que actúe o para que aumente la rapidez con la que hace algo.;Como no había ascensor, de niño tenía que bajar los 4 pisos de mi edificio como un equilibrista extremo, con mi papá afanándome detrás.;DICOL
afiche;Cartel impreso con información, publicidad o contenidos decorativos.;¿Le prende veladora al afiche de la selección que tiene autografiado en el cuarto?;DICOL
afiebrado;Referido a una persona, que actúa con excesiva ansia por gusto o interés en la realización de algo.;El New York Times destaca que colombianos son los más 'afiebrados' por su selección de fútbol.;DICOL
afiebrarse;Tener fiebre.;Con la llegada de los primeros dientes lo más probable es que el niño se afiebre y tenga otras molestias.;DICOL
afiebrarse;Aficionarse intensamente a una actividad.;En los llanos se afiebró, como dice el mismo cantante, por dos cosas: los caballos y la música llanera.;DICOL
afilado;Referido a una persona, bien preparada para una prueba o examen.;Estudiamos en grupos y llegamos a presentar bien afiladas el examen final que tanto nos preocupaba.;DICOL
afilarse;Prepararse para realizar adecuadamente una tarea.;Tenía planeado trasnochar y afilarse para el examen de admisión.;DICOL
afirmativo;Entre militares, policías y operadores de radio, sí, aceptado o confirmado.;Afirmativo, mi General: en cosa de minutos le traigo al plomero.;DICOL
aflojachocho;Bebida alcohólica que desinhibe el deseo sexual.;Todos esos tragos eran bien recibidos por nosotros, sin embargo, yo le hacía fuerza para que mi amiga tomara el popular 'aflojachocho'.;DICOL
aforar;Referido al equipaje o a un producto, calcular su cantidad y su valor.;Si usted considera que su equipaje vale más entonces deberá aforar su equipaje en donde se asegurará y se declarará su valor.;DICOL
afrechero;Ave de hasta 16 cm de longitud, de coloración blanquecina o gris en el pecho y el vientre, y rayas negras y castañas en el dorso.;;DICOL
afrijolar;Propinar un golpe.;En medio del relajo le afrijolaron dos pepazos en la cabeza y por eso expulsaron al culpable.;DICOL
afrijolar;Endosarle un trabajo difícil a una persona.;Me afrijolaron dos horas más de trabajo y sin ninguna compensación.;DICOL
afro;Referido a una persona, que pertenece o que es propio de los afrocolombianos.;Dentro de un mes se realizará en Medellín la primera muestra de cine y video afro e indígena.;DICOL
afro;Estilo de peinado que se caracteriza por tener el pelo muy rizado, gran volumen y forma redondeada.;;DICOL
afugias;Apuros, problemas, especialmente económicos.;El proyecto de reelección pasará sin mayores afugias su primera prueba esta semana en el Congreso.;DICOL
agache;Evadir con astucia un problema o un asunto pendiente.;Lo preocupante fue que en la noticia publicada pasaron de agache que la pobreza extrema prácticamente se mantuvo inalterada.;DICOL
agalla;Despertársele el afán de poseer más de algo o de adquirir riquezas.;Creo que se precipitó o se le abrió la agalla, se hubiera esperado un año más y hubiera ganado más dinero.;DICOL
agalla;Ser valiente.;"""Para cantar hay que tener agallas"", dijo el jurado del concurso de canto.";DICOL
agalludo;Referido a una persona, ambiciosa, que siempre busca obtener más de lo que sería justo.;Ya continuaremos esta crónica de cómo una nación, pequeña pero resuelta, agalluda como ninguna otra, acaba engulléndose a otra.;DICOL
agapanto;Planta ornamental de origen africano, de hasta 1 m de altura, hojas largas que salen de un mismo punto sin tallo visible.;;DICOL
agapanto;Flor de esta planta, con corola en forma de embudo, de color azul o blanco y que se halla en grupos al extremo de un largo tallo.;;DICOL
agarrar;Obtener o conseguir algo, especialmente de manera veloz, ágil.;Fue Tránsito Ariza la que agarró la ocasión al vuelo y mandó a la viuda para el dormitorio del hijo, con el pretexto de que en el suyo no había lugar.;DICOL
agarrar;Tomar o iniciar un camino o ruta.;Mi esposa me dijo que nos hiciéramos un fiambre bien sabroso y agarráramos camino para cualquier parte para comérnoslo.;DICOL
agarrar;Producir su efecto de embriaguez una bebida alcohólica.;Cuando sentí que los primeros traguitos de aguardiente comenzaron a agarrarme, me levanté de la mesa y busqué algo de comer.;DICOL
agarrón;Altercado, riña muy fuerte o pelea a golpes.;El agarrón se filtró a los medios y al otro día era la comidilla de las crónicas políticas.;DICOL
agonía;Hambre.;Tengo una agonía en el estómago que con gusto me comería tu plato también.;DICOL
agonía;Desespero ante algo o alguien por su pasividad y lentitud.;"Como el viejo Anselmo que es una agonía, siempre que le cobro sale con que está sin cinco; y hay que ver lo que gasta esa gente.";DICOL
agregado;Persona encargada de administrar y vigilar una propiedad rural.;;DICOL
agregado;Persona que habita y trabaja en una propiedad rural ajena y que obtiene como ganancia parte de lo producido.;Sin duda, la mano derecha del finquero es su agregado, de quien depende en muy buena parte la producción, la productividad y la renta que genere la finca.;DICOL
agria;Cerveza.;;DICOL
agrieras;Acidez estomacal.;Últimamente he tenido 'agrieras', que aparecen después de que he comido. Y para eso tomo antiácidos.;DICOL
agringarse;Adoptar los hábitos o el aspecto propios de un gringo.;Después de vivir tanto tiempo en Chicago, la verdad poco a poco se le ha ido el acento barranquillero que tenía, ya está empezando a agringarse.;DICOL
agrio;Referido a una persona, de mal carácter.;Su abuela paterna, una mujer agria y dominante, la cuidó desde sus cuatro años.;DICOL
agripado;Referido a una persona, enferma de gripa.;Consúltale si tu hijo puede realizar actividades normalmente a pesar de estar agripado.;DICOL
agriparse;Contagiarse y padecer de la gripa.;;DICOL
agropecuario;Referido a una persona, que tiene gustos grotescos, ordinaria.;Siempre que combinaba mal la ropa su tía arribista lo llamaba agropecuario.;DICOL
agua;Época del año con grandes lluvias y aumento del caudal de los ríos y lagunas hasta el máximo nivel de las zonas inundables.;Se desarrolló una caracterización física y química de los principales ríos, quebradas y humedales en la época de aguas altas y bajas del Río Orinoco.;DICOL
agua;Bebida que se elabora mediante la infusión de hierbas aromáticas o digestivas en agua caliente.;Entonces decidió dedicarse a vender tinto y agua aromática en la plaza de mercado. Un oficio que escasamente le daba para comer.;DICOL
agua;Época del año con disminución de lluvias y descenso del nivel de los ríos y las lagunas hasta su mínimo caudal.;La pesca moviliza cerca de 500 turistas cada año, durante la época de aguas bajas en Puerto Carreño, Vichada.;DICOL
agua;Las que tienen una coloración amarillenta, apariencia barrosa, ricas en arcillas y nutrientes y que generalmente nacen en los Andes.;Los ríos de aguas blancas y sus bordes de inundación, se caracterizan por una alta productividad puesto que arrastran sales disueltas desde la cordillera andina.;DICOL
agua;Las que tienen un aspecto translúcido, de color amarillo verdoso y que nacen generalmente en áreas planas y muy pobladas de vegetación.;Estos bosques se encuentran en suelos arenosos y los caños que bordean son principalmente de aguas claras.;DICOL
agua;Fiesta que se hace en horas de la tarde y en la que no se ingieren licores.;Los jóvenes aprovechaban sus tardes libres para disfrutar de las llamadas 'agua lulo', que eran fiestas en las que se bailaba salsa y se tomaba agua de lulo.;DICOL
agua;Bebida que se prepara con panela que se hierve en agua a manera de cocción.;Mientras hervía el agua de panela para mezclarla con café, lavaba su rostro y manos en la jofaina.;DICOL
agua;Las que tienen una coloración café obscuro, poco sedimento, son pobres en nutrientes y que generalmente nacen en la Amazonía o la Orinoquía.;El río Inírida nace en el Guaviare y atraviesa el Guainía hasta entregar sus aguas negras, puras y brillantes al Guaviare.;DICOL
agua;Preparar más comida de lo usual por si llegan más personas de las previstas.;;DICOL
agua;Poner a una persona en evidencia o enfrentarla repentinamente a una situación inesperada.;Estaba tranquila en la conferencia, no tenía deseos de hablar, cuando de repente mi amigo me echó al agua pidiéndome mi opinión sobre el tema.;DICOL
agua;Ser de carácter poco firme e indeciso.;Así es Lola Colón, el nombre artístico de este personaje de amores y odios, no es de aguas tibias.;DICOL
aguacatado;Persona aburrida, que no gusta de las fiestas.;Según el actor su papel será el de un cachaco, realmente 'aguacatado' que le hará la vida imposible a su yerno.;DICOL
aguacatarse;Referido a una persona, intimidarse, asumir la posición menos comprometida frente a un problema o asunto.;Esa pelea ya la teníamos ganada en el juzgado, pero cuando el negocio subió al tribunal, mis abogados se aguacataron y les dio miedo o flojera.;DICOL
aguacate;Agente de la policía.;;DICOL
aguacero;Llover fuertemente.;Eran las 8:05 de la mañana cuando se desgajó un aguacero descomunal y el río Anaime comenzó a crujir.;DICOL
aguachento;Referido a la consistencia de algo, acuosa o con exceso de agua, especialmente la textura de los alimentos.;Esta variedad de papa tiene la característica de ser más aguachenta: según el experto, no se deshace en caldos pero puede procesarse en forma de hojuelas y bastones.;DICOL
aguado;Referido a una sustancia, especialmente un alimento, con más agua o líquido del que debería tener y por tanto insípida.;Dicen los abuelos que si se está de mal humor o se lo prepara de mala gana, el ajiaco queda aguado, se agria o se corta.;DICOL
aguadulce;Bebida que se prepara cocinando la panela en agua.;;DICOL
aguaguado;Referido a un niño o adolescente, consentido o que se comporta de manera infantil.;Ese niño es muy aguaguado, no se le puede decir nada que por todo llora y les cuenta a sus padres.;DICOL
aguaitacaminos;Ave de hasta 28 cm de longitud, de plumaje  café grisáceo, blanco en la garganta y abdomen, pico corto, alas largas de punta redondeada y de canto persistente.;El llanero personifica en sus cantos, dichos y leyendas, al alcaraván, aguaitacaminos, y muchos otros animales, adjudicándoles propiedades, cualidades y defectos.;DICOL
aguaitar;Observar y esperar a alguien o algo con cautela y disimulo.;"Antes Nuánashe se volvía tigre y se comía la gente: un día fue a la roza con su mujer y se convirtió en tigre; la iba aguaitando, cada vez se le parecía más como a una piña, le pareció muy sabrosa y se la comió.";DICOL
aguaje;Ostentación de algo que no se es o no se tiene.;;DICOL
aguaje;Palma de hasta 35 m de altura, hojas en abanico usadas en la elaboración de techos y para extraer fibras para diversas manufacturas.;En la comunidad de los yaguas los hombres y niños se ponen una especie de falda felpuda hecha con fibras sueltas de aguaje.;DICOL
aguaje;Fruto de esta palma de 5 cm de largo, forma ovoide y dispuesta en racimos, cáscara compuesta por escamas de color rojo, carnosidad amarilla de sabor ligeramente amargo, del que se obtiene una bebida refrescante y laxante.;También comen aguaje, el fruto de una palma con el mismo nombre;DICOL
aguaje;Estela sobre la superficie del agua que dejan los peces al pasar.;Experto como era, reconocía el aguaje del pescado grande y allí buscaba.;DICOL
aguajina;Bebida refrescante que se elabora con la pulpa del fruto de la palma de aguaje y agua.;Del aguaje maduro se obtiene la pulpa sin semilla de donde se elabora la aguajina: bebida denominada 'leche de la Amazonía'.;DICOL
aguallevame;Referido a una persona, que se deja influenciar por otros.;Debe argumentar muy bien sus razones a Marcos, a Pedro no porque es un aguallevame, con él todo es más fácil.;DICOL
aguamasa;Mezcla de residuos orgánicos de alimentos que sirve para alimentar a los cerdos.;El porcicultor sabe que a sus animales no les puede dar el coctel de desperdicios humanos e inhumanos que suele ser la aguamasa.;DICOL
aguamiel;Mezcla de agua con panela o con el jugo de la caña cocinado.;Las mulas después de desaparejadas se revolcaban en el polvo y tomaban su aguamiel, comían su caña y se les echaba agua por el lomo.;DICOL
aguamil;Lavamanos.;Como siempre, se lavó las manos en el aguamil antes de sentarse a comer.;DICOL
aguanoso;Referido a un tubérculo, especialmente a la yuca, que adquiere una consistencia cristalina después de cocinada.;Según la clasificación de los indígenas existen dos tipos de yuca: una aguanosa que no se aprecia y una arenosa que es rica y apetecida.;DICOL
aguantador;Referido a una persona o a algo, que resiste un esfuerzo físico o un deterioro.;Esa carpa era aguantadora. Había pasado por varios campamentos y estaba intacta.;DICOL
aguantador;Referido a una persona, que soporta mucho dolor.;Somos un país de aguantadores. Somos un país de triunfadores.;DICOL
aguantar;Referido a una persona, que tiene afán o poco tiempo para esperar por alguien o por algo.;;DICOL
aguantar;Detener total o provisionalmente una actividad o proceso.;;DICOL
aguarapar;Referido a la caña de azúcar o a una fruta, adquirir el sabor y la consistencia del guarapo.;Debido a la falta de agua y los intensos soles, los jugos dentro de la caña se aguarapan.;DICOL
aguardientoso;Referido a una persona, que tiene voz ronca y áspera.;Uno no tiene que disfrazar el ajedrez de emocionante, ni de narrador aguardientoso para que sea atractivo.;DICOL
aguarse;Llenarse de lágrimas los ojos de alguien a causa de una emoción.;Se me aguaron los ojos al despedirme porque recordé en una sola instantánea los momentos más luminosos de mi infancia.;DICOL
aguasal;Caldo hecho a base de cebolla, sal, huevo y, en ocasiones, tomate y cilantro.;Le recomendaron tomar aguasal para su malestar de estómago.;DICOL
aguatero;Persona que tiene por oficio trasportar y vender agua.;El oficio de aguadora o aguatera fue muy popular en épocas en que no estaba generalizado el suministro de agua corriente.;DICOL
