"palabra","significado","ejemplo"
"acomedido","dicho de una persona, servicial",""
"acomedirse","ayudar, colaborar en algo","y no hubo un cristiano que se acomidiera a hacerlo acostar siquiera"
"aconductado","de buena conducta",""
"acotejar","ordenar, acomodar algo",""
"acudiente","persona que en representación de los padres cubre, por cuenta de estos, las necesidades de un estudiante","los dos estudiantes, sus compañeros, le predicaban también, entre veras y chanzas [ .]. los acudientes lo apuraban con puyas y consejos"
"acuerpado","corpulento, bien desarrollado, voluminoso","dentro de ella se le presentó, muy patente, un señor muy acuerpado y respetable"
"aculillarse","sentir miedo por algo","me aculille al pasar por ese lugar"
"acusetas","que tiene la manía de acusar",""
"afrijolar","comer un alimento con avidez","se afrijoló un tamal"
"afrijolar","endosar obligaciones o responsabilidades en forma indebida","me afrijoló la deuda, la culpa"
"afrijolar","asestar, propinar un golpe, un disparo, u otras acciones violentas",""
"afugias","afanes, prisa","lo puso en afugias para conseguir con qué pagarle el dinero que le debía"
"agallinado","acobardado","así que vido a don jerónimo bien agallinao por la pobreza [ .] determinó protegerlo"
"agallinar","acobardar","por eso nos agallina tanto la pobreza"
"agalludo","muy ambicioso",""
"agarrón","altercado, riña","pedro y juan tuvieron un agarrón por una simpleza"
"agente viajero","persona que representa a una empresa y viaja para hacer negocios",""
"agregado","persona que cuida una propiedad rural ajena, a cambio de alguna retribución",""
"agripado","aquejado de gripa",""
"agua aromática","bebida que se prepara con hierbas digestivas o medicinales y agua caliente",""
"agua de panela","bebida que se prepara cocinando la panela en agua",""
"aguachento","dicho de una cosa, impregnada, empapada o llena de agua",""
"aguachento","dicho de la fruta u otro alimento, insípido por exceso de agua","papa aguachenta"
"aguadijiar","manar de una herida un humor claro como el agua","las niguas tienen la culpa/ ¡que yo no te vaya a ver! / ¡qué demontre de las niguas/pa'aguadijiar y doler"
"aguadulce","bebida que se prepara cocinando la panela en agua","ai los tengo castigaos, aunque vino juan con los muchachos: los bajé a aguadulce dende la semana pasada [ .] quitales el cacaíto a los builes es el mejor castigo"
"aguaitar","espiar","me estabas aguaitando tras la celosía"
"aguaitar","esperar a alguien","aguáitame un poco"
"aguaitar","mirar","estoy aguaitando a ver si vienen"
"aguamasa","conjunto de sobras de la cocina mezcladas con algún líquido que suelen darse a los animales domésticos",""
"aguanga","telar indígena antiquísimo, posiblemente de procedencia incaica",""
"aguanta","expresión usada por los pasajeros de un vehículo para que el conductor se detenga",""
"aguapanela","bebida que se prepara cocinando la panela en agua",""
"agüevarse","acobardarse",""
"agüevarse","apendejarse",""
"ahijuelita","expresión que manifiesta sorpresa o desagrado o cualquier impresión repentina",""
"ahoritica","ahora, hace un momento","ahoritica regreso. ahoritica se fue"
"ahí","regular, medianamente","cómo estás? ahí"
"ajiaco","sopa espesa, típica del altiplano colombiano, cuyos principales ingredientes son diversas clases de papa, carne de pollo, maíz tierno y guascas",""
"ajonjolear","tratar a alguien con especial cariño y consideración",""
"ajonjolear","sacudir, vapulear",""
"al bagazo poco caso","denota la poca importancia que debe darse a lo que dice o hace una persona de poco valor",""
"al que es maletero viejo no le falta qué cargar","proverbio con el que se expresa que la persona de experiencia siempre tiene ocupación",""
"al que no quiere caldo, se le dan dos tazas","se dice cuando alguien se ve obligado a hacer o padecer precisamente lo que no deseaba",""
"alabado","conjunto de composiciones líricas que se cantan al son de música regional en los velorios",""
"alborotista","persona dada a ocasionar ruido, desorden, disturbios",""
"alcayata","repisa para sostener matas del jardín",""
"alcayata","cada uno de los dos ganchos metálicos de los que se amarran los lazos para colgar una hamaca",""
"alcayata","cada uno de los cuatro soportes para apoyar las andas en que van los pasos al parar las procesiones",""
"alcayata","repisa donde se coloca la vela","la vela en el candilero, / l'alcayata en la paré;/señores, los bailadores: /los músicos tienen sé"
"alcuza","vasija de varios materiales, de forma esférica, cuello largo, estrecho y cilíndrico con pico y tapa ajustada que se usa para guardar algo comestible",""
"alebrestado","alborotado, agitado",""
"alebrestarse","dicho de una persona o animal, alborotarse, alterarse",""
"alegadera","discusión que se repite hasta causar fastidio",""
"alegar","discutir acaloradamente",""
"alegato","disputa o discusión acalorada",""
"alentado","aliviado, recuperado de una enfermedad",""
"alentado","sano, que goza de buena salud",""
"alentarse","reponerse de una enfermedad, recuperar la salud",""
"alicorado","bebido, embriagado ligeramente",""
"alicoramiento","ligera embriaguez ocasionada por el consumo de bebidas alcohólicas",""
"alicorarse","embriagarse, emborracharse ligeramente",""
"alinderar","fijar o establecer los límites de un terreno o propiedad",""
"aliviarse","dar a luz una mujer",""
"almorzadero","sitio donde se sirve almuerzo y comida en general",""
"alpargatón","persona de baja condición social","fulano es un alpargatón"
"alzado","engreído, soberbio o insolente",""
"alzado","dicho de un animal doméstico, que se vuelve salvaje, montaraz",""
"alzado","ebrio",""
"alzar moño","en la jerga gallística, acobardarse un gallo ante su adversario, correrse",""
"amacise","abrazo estrecho entre una pareja, especialmente al bailar",""
"amacizarse","abrazarse estrechamente una pareja, especialmente al bailar",""
"amacizarse","asegurarse económicamente",""
"amanecido","que ha pasado la noche o parte de esta sin dormir","fernando llegó todo amanecido"
"amangualarse","ponerse de acuerdo dos o más personas para un fin, generalmente ilícito",""
"amansar","dicho del calzado, de dentaduras postizas, etc , hacer que por el uso se acomoden al pie, a la encía, etc","un galán que no ha podido amansar los botines"
"amarradijo","amarradura hecha con descuido y ligereza",""
"amañado","que se adapta o se siente a gusto en un ambiente nuevo","está muy amañada en su nuevo trabajo"
"amañado","que vive en concubinato",""
"amañador","dicho de un lugar o a un ambiente, que tiene ciertas condiciones para que uno se acomode y se sienta a gusto en él","verá que le va cogiendo el golpe al pueblo. si no es maluco [ .], más bien es amañador pa vivir"
"amañarse","adaptarse o sentirse a gusto en un ambiente nuevo","en esta casa tan grande y con tanto solar y tanta güerta, se va' amañar mucho"
"amaño","comodidad, agrado",""
"amaño","tiempo de convivencia prematrimonial",""
"ambicia","ambición","la ambicia rompe el saco"
"amenito","sí, así sea, correcto","le dieron tetero al niño? –amenito, contesta la madre"
"ameritar","merecer retribución, recompensa u honor","su desempeño amerita un ascenso"
"ameritar","requerir","el asunto amerita más estudio"
"amero","envoltura de la mazorca del maíz",""
"amiguero","dicho de una persona, que entabla y mantiene fácilmente amistades",""
"amoblado","establecimiento en el que se arriendan habitaciones confortables a parejas para tener relaciones sexuales",""
"amonado","dicho de una cosa, que ha perdido su color blanco",""
"amonado","dicho de una persona, que tiende a ser rubia",""
"amonado","dicho del cabello, que tiende a ser rubio",""
"amontunarse","volverse una persona rústica, de modales rudos, montaraz",""
"anaco","talega de fique, provista de dos cargadores para llevarla a la espalda, sujeta a los hombros",""
"anaco","falda usada por los varones de la etnia guambiana",""
"ancheta","canasta con diversos licores y comestibles que se suele regalar en la época de navidad",""
"ancianato","hogar para ancianos",""
"andadera","estado en el que una persona camina repetidamente de un sitio a otro, en algunos casos, sin propósito especial","estoy cansado de tanta andadera"
"andar","transportarse en algún vehículo o bestia de montar","anda en un carro viejo. anda en una yegua blanca"
"andar muy pinta","estar bien vestido",""
"andareguear","andar sin dirección determinada",""
"andonear","andareguear, ir de un lugar a otro sin dirección determinada",""
"andén","acera de la calle",""
"angeo","malla de metal o plástico que se emplea, entre otros usos, para impedir el paso de insectos",""
"angurria","hambre",""
"angurria","ambición desmedida","mostró mucha angurria por ese terreno"
"angurriento","que demuestra angurria, ambición desmedida",""
"antioqueñada","comportamiento que se considera típico de los habitantes del departamento de antioquia",""
"anzuelear","pescar con anzuelo",""
"anzueliar","pescar con anzuelo",""
"apartamentero","persona experta en hurtar bienes de los apartamentos",""
"apechichar","tratar a una persona con especial cariño",""
"apenado","avergonzado","muy apenadas que estaban con el regalo"
"apendejado","dicho de una persona, atontada","tu primo me pareció un poco apendejado"
"apendejarse","dicho de una persona, atontarse",""
"aperado","dicho de una persona, provista de lo necesario, especialmente de ropa","el muchacho quedó bien aperado para el colegio"
"aperar","poner los arreos a una cabalgadura",""
"aperar","proveer de lo necesario a una persona",""
"aperezado","que se siente falto de ánimo","hoy amanecí bastante aperezado"
"aperezarse","entrar en un estado de desánimo o pereza",""
"apero","silla y demás arreos para montar en una cabalgadura",""
"apicharse","descomponerse un alimento","la leche se apichó"
"apilonar","amontonar, reunir cosas en un montón",""
"aplanchada","estado de decaimiento, desánimo",""
"aplanchado","decaído, desanimado por algún suceso",""
"aplanchado","que ha sido regañado",""
"aplanchar","abatir a alguien con palabras muy ásperas","mi jefe me aplanchó esta mañana"
"aplanchar","vencer a alguien en una discusión",""
"aplatanado","inseguro, vacilante","el presidente, otrora enérgico y firme ante la adversidad electoral, se mostró errático, aplatanado e indeciso"
"aporreada","golpe, magulladura",""
"aporreadura","herida, marca o lesión que queda como consecuencia de un porrazo",""
"aporrear","hacer reñir a los gallos de pelea, calzándoles botainas en las espuelas para que no se hieran o se maten",""
"aporrear","golpearse, lastimarse",""
"aporriada","golpe, magulladura",""
"aporriadura","herida, marca o lesión que queda como consecuencia de un porrazo",""
"aporriar","hacer reñir a los gallos de pelea, calzándoles botainas en las espuelas para que no se hieran o se maten",""
"aporriar","golpearse, lastimarse",""
"apostador","clavícula de gallina, hueso en horqueta que sirve para el juego en que dos personas tiran de sus extremos hasta romperlo, ganando quien queda con el trozo de hueso más grande",""
"apozarse","aposentarse el agua, quedar detenida en un sitio, formando un charco o pozo",""
"aprensible","valle. dicho de una persona, que siente temor",""
"apretado","que ahorra en exceso, tacaño","no le pidas dinero prestado que ella es muy apretada"
"apretar","ahorrar en exceso","pueda ser"
"apuntalar","e . tomar un refrigerio o licor","cuando llegamos estaban apuntalando"
"apuntarse","abotonarse","apúntese"
"apurruñar","apretar una persona o cosa",""
"apurón","aprieto, trance difícil",""
"aquí entre nos","expresión con la que se confía un secreto a alguien",""
"ardido","ofendido, resentido. están ardidos porque no los invitaron al paseo",""
"arepa","especie de torta de maíz de forma circular",""
"arepazo","palmada",""
"arepazo","chiripa, golpe de suerte",""
"arepear","dar palmadas a alguien, imitando la forma de apelmazar la masa del maíz","lo arepiaron por haber llegado tarde"
"arepear","practicar actos lesbianos",""
"arepera","mujer que realiza prácticas lesbianas",""
"arepiar","practicar actos lesbianos",""
"arepiar","dar palmadas a alguien, imitando la forma de apelmazar la masa del maíz","lo arepiaron por haber llegado tarde"
"arepuela","arepa frita, con dulce o sin él",""
"arequipe","postre o dulce de leche","a las once se habían atracado de chocolate y arequipe"
"argolla","anillo de matrimonio","esa mano tan blanda"
"argolla","aro de metal que se pone a los cerdos y a los bueyes en la nariz","yo lo vide a él [ .] jartando yerba y hozando que ni cuchino sin argolla"
"argollado","que está comprometido en matrimonio y usa como prenda una argolla","yo no sabía que alberto estaba argollado"
"argollero","engañador, que trata de sacar ventaja","juan es argollero en todos sus tratos"
"armar el pedo","iniciar un lío, una gresca",""
"armatroste","armatoste, mueble grande",""
"arracachada","necedad, tontería, simplicidad","fíjese [ .] en el compañero que le va a tocar, para que no le haga caso cuando le salga con alguna arracachada"
"arranchado","individuo, militar o civil que come y duerme dentro del cuartel",""
"arrancharse","alojarse en un lugar, por lo general sin consentimiento de los dueños",""
"arrancharse","empecinarse en hacer o no hacer algo",""
"arrastraderas","pantuflas, chancletas",""
"arrecharse","excitarse sexualmente",""
"arrecharse","enojarse, enfurecerse","vinieron a cobrarle. entonces don luis se arrechó"
"arrechera","fuerte apetito sexual",""
"arrecho","excitado sexualmente",""
"arrecho","valiente, decidido",""
"arrecho","enfadado, encolerizado",""
"arrequintar","arreglar o componer la carga de las bestias",""
"arrevolverado","insolente, agresivo",""
"arrevolverado","malgeniado, de trato difícil","así son las mujeres: mientras uno más las quiere más arrivolveradas se vuelven"
"arriscar","alcanzar, lograr, tener fuerza suficiente para hacer algo","no arriscó con las maletas. no arriscó a llegar a la cumbre"
"arriscar","doblar o doblarse algo hacia arriba","el caballo arriscó las orejas; arriscar el sombrero"
"arrivolverado","insolente, agresivo",""
"arrivolverado","malgeniado, de trato difícil","así son las mujeres: mientras uno más las quiere más arrivolveradas se vuelven"
"arrozudo","que tiene la piel erizada por el frío, miedo u otra sensación","me puse arrozudo y se me fueron los pulsos. esto no tiene remedio [ .]. es casi fijo que me van a empuntar para los infiernos"
"arrugarse","eludir un compromiso","tenía que hablar, pero se arrugó al ver tanta gente"
"arrumar","amontonar","tiene arrumados los libros en una esquina"
"arrumbarse","oxidarse una vasija de cobre, soltar rumbo",""
"arrume","pila, montón","qué arrume de periódicos"
"arruncharse","encogerse para dormir, hacerse un ovillo",""
"asentar los cascos","adquirir seriedad y juicio","estos enredos de la chatica [ .] son ardores de la mocedad, aunque algo anticipados. ahí se le irán pasando, a conforme vaya asentando los cascos"
"asentarse","ajuiciarse","pueda ser que nicanor se asiente con el casamiento"
"aserruchar","cortar con serrucho",""
"aserrío","aserradero",""
"asistencia","establecimiento público donde se sirven comidas",""
"asistente","persona que ayuda a otra en un cargo u oficio",""
"asistir","residir, habitar","eusebio asiste en la montaña"
"asquiento","dicho de una persona, que es propensa a tener asco","se me apaga el tabaco y me dan ansias"
"asustada","susto",""
"atacuñar","rellenar un hueco o espacio vacío",""
"atacuñar","embutirse uno de alimentos",""
"atarantado","que obra con precipitud o falta de reflexión",""
"atarantarse","precipitarse a hacer las cosas sin reflexión",""
"atarragarse","comer en exceso",""
"atarrayar","pescar con atarraya",""
"atarván","grosero, insolente, agresivo",""
"ataúd de las ánimas","féretro de madera tosca, sin pulimento ni pintura, que se emplea en los pueblos para enterrar a los pobres de solemnidad","salieron los comisarios con el ataúd de las ánimas"
"atembado","dicho de una persona, atolondrada, atontada",""
"atembar","embobar, atontar","se va volviendo un insulso, un pendejete, un indolente boquiabierto. será . que esta tierra nos va atembando"
"atenido","que vive a costa de otra persona","juan vive todavía atenido a su padre"
"aterrizar","volver a sus cabales, captar plenamente la realidad dejando un estado de distracción o ensimismamiento","con cualquiera de los panoramas, es gravísima la ausencia de realidad de la clase dirigente. no quiere aterrizar o no quiere entender lo que está pasando"
"aterrizar","instalarse, acomodarse, establecerse en algún lugar","camilo apenas está aterrizando"
"atierrar","rodear con tierra el pie de las plantas cultivadas formando un pequeño promontorio alrededor de ellas",""
"atisbón","fisgón, atisbador","aquel ¡tun! ¡tun! perpetuo de [ .] rateros atisbones [ .] son para coger el monte"
"atortolarse","azorarse, ponerse nervioso","se atortolaron al ver al policía"
"atotumarse","atolondrarse, aturdirse momentáneamente",""
"atraviesa","cosecha menor que se obtiene fuera de las épocas de las cosechas principales",""
"atrincar","trincar, atar fuertemente","aquí le tengo aparte la"
"atronado","torpe, tardo, falto de habilidad y destreza",""
"atronado","irreflexivo, impulsivo",""
"atulampar","aturdir, atontar, desorientar","los atulamparon con tantos gritos"
"aturugarse","atiborrarse o hartarse de algo",""
"auca","persona no bautizada","esta huaca es de aucas, o sea, de infieles"
"autoferro","vagón ferroviario autopropulsado especial para pasajeros",""
"avaluador","persona que cumple la función de valorar bienes u objetos","necesito un certificado de un avaluador para vender la casa"
"aventado","dicho de una persona, lanzada, que afronta sin vacilar las situaciones","es muy aventado para hacer negocios"
"aventar","pasarle algo a alguien, lanzándoselo por el aire","aviénteme el sombrero"
"aventar","abalanzarse sobre alguien o algo","me li aventé a palazos en la nuca, y lo hice caer en el empedrao"
"aventar","atreverse alguien a hacer algo",""
"averigüetas","entrometido, fisgón","aquí se sabe todo antes qui uno lu haga y las marines son muy averigüetas"
"aviso","anuncio, soporte, visual o auditivo que se usa para dar publicidad a algo",""
"avispón","dulce de maíz con miel, en forma de bola",""
"avispón","avispado, despierto, vivo",""
"avivatada","acción propia del avivato","fulano siempre con sus avivatadas"
"avivato","avispado, astuto, hábil para aprovecharse de las circunstancias",""
"avión","que quiere sacar provecho o ventaja indebida en cualquier circunstancia",""
"ayudado","persona de quien se cree que tiene poderes extraordinarios, porque tiene pacto con el diablo","si es o no bruja escobera o voladora, se discute: mas ¿cómo no creer que es una ayudada de siete suelas"
"ayuntar","poner el yugo a los bueyes",""
"azafate","bandeja",""
"azafato","bandeja",""
"azaroso","que causa miedo, que tiene apariencia de peligroso","si l'imagen del diablo hiciera daños, no la tenería mi amo el señor cura, tan patente y tan azarosa, en la urna del arcángel san miguel"
"azogado","dicho de una persona, muy inquieta","no le digo que es azogado? parece un lagarto, una ardilla, un muñeco de caucho"
"azucararse","cristalizarse el azúcar de algún dulce","el arequipe se nos azucaró"
"añangotarse","ponerse en cuclillas",""
"añingotarse","ponerse en cuclillas",""
"babilejo","palustre, herramienta de albañilería que consta de una pala triangular con un mango y se usa para extender la mezcla",""
"bacanería","algo extraordinario, maravilloso","la fiesta resultó una bacanería"
"bacano","dicho de una persona, amable, simpática, buena",""
"bacano","dicho de una situación o cosa, excelente, muy buena","es una película bacana. ¡qué almuerzo tan bacano"
"bacán","dicho de un hombre, estupendo, buena persona",""
"badulaque","persona inútil, falta de carácter","tu novio resultó un completo badulaque"
"bagacear","desacreditar o despreciar a una persona",""
"bagazo","residuo de la caña de azúcar después de extraerle el jugo",""
"bahareque","pared de palos entretejidos con cañas y barro","casa de bahareque"
"bajar","atracar y robar a una persona","le bajaron el reloj en el bus"
"bajar","entregar algo, bajo amenaza, a un atracador","bájese de la chompa"
"bajar","alojarse temporalmente en casa de alguien","me bajaré donde mi hermano"
"bajar bandera","iniciar las ventas de un día",""
"bajareque","pared de palos entretejidos con cañas y barro","casa de bahareque"
"balaca","cinta o tira con que se sujetan el pelo las mujeres","anudada adelante sobre la carrera, en formidable lazo, llevaba una balaca azul"
"balacera","tiroteo","anoche hubo una balacera cerca de mi casa"
"bambuco","música que acompaña este baile y en el que se usan instrumentos como tiple, bandola, guitarra y requinto",""
"bambuco","baile folclórico de la región andina",""
"bambuquear","bailar bambuco o interpretarlo",""
"bambuquero","persona que compone, baila, interpreta o es aficionada al bambuco",""
"bambuquero","del bambuco o relacionado con él","neiva, capital bambuquera del huila"
"banano","plátano que por lo general se come crudo",""
"banano","abultamiento grasoso de forma cilíndrica o semicilíndrica que se forma en la cintura de las personas","así las fueron alcanzando los años, surgieron las patas de gallo, las canas, los bananos. (el espectador"
"banderearse","mostrarse, exhibirse","le gusta mucho banderearse"
"banquetero","persona que tiene a su cargo el servicio de comida y licor en reuniones sociales",""
"baratero","persona que vende a bajo precio",""
"bareque","pared de palos entretejidos con cañas y barro","casa de bahareque"
"bareta","cigarrillo de marihuana",""
"baretero","que fuma marihuana",""
"bareto","cigarrillo de marihuana",""
"barredura","en la minería, conjunto de operaciones para recoger todo el oro contenido en determinado lugar de un aluvión",""
"barrida","despido masivo de funcionarios o empleados",""
"basuco","cigarrillo de fuertes efectos alucinógenos, preparado a base de una mezcla de cocaína, marihuana y otras sustancias",""
"basuquear","fumar cigarrillo de basuco",""
"basuquero","persona adicta al basuco o que comercia con este alucinógeno",""
"batata","pantorrilla",""
"batea","recipiente, generalmente de madera, que se usa para lavar o mezclar y conservar alimentos y materiales para construcción",""
"batería","conjunto de utensilios destinados a la fabricación de miel o panela",""
"batán","conjunto de productos ordinarios de lana, como mantas, cobijas, colchones o ruanas",""
"bazuco","cigarrillo de fuertes efectos alucinógenos, preparado a base de una mezcla de cocaína, marihuana y otras sustancias",""
"bazuquear","fumar cigarrillo de basuco",""
"bazuquero","persona adicta al basuco o que comercia con este alucinógeno",""
"bebeco","albino, persona o animal que por falta congénita de pigmentación tiene la piel y el pelo blancos",""
"beber como una guapucha","beber mucho",""
"bebeta","reunión en la que se toma mucha bebida alcohólica","no faltará hoy alguna bebeta y bullanga por esos"
"bejuco","que está disgustado, de mal humor o encolerizado. s","e puso bejuco por mero saludarlo"
"bemba","boca de labios gruesos y abultados, característicos, especialmente, de la raza negra",""
"bembón","dicho de una persona, de labios gruesos y pronunciados",""
"beneficiadero","en las fincas, cobertizo que alberga las maquinarias e instrumentos para descerezar, lavar y secar el grano de café",""
"berrenchín","olor desagradable que, por desaseo, exhala una persona",""
"berrietas","niño que suele llorar mucho","jorge y alberto arango eran neciesísimos y muy berrietas"
"berrinche","olor a orines","huele a berrinche"
"berrinchín","olor desagradable que, por desaseo, exhala una persona",""
"berriondo","persona audaz, valiente",""
"berriondo","persona mal intencionada",""
"berrión","niño llorón",""
"biche","dicho de una persona, que no ha alcanzado la madurez en su comportamiento","ese joven se maduró biche"
"biche","dicho de una fruta, que no ha terminado su proceso de maduración","el mango biche con limón es muy rico"
"bichento","que es enfermizo",""
"bichirón","que vagabundea, que va de una parte a otra","se volvió una bichirona de siete suelas"
"bichuria","conjunto de menudencias de cabrito y oveja",""
"bienmesabe","dulce de leche cuajada y hervida con panela",""
"billullo","dinero",""
"biringo","desnudo",""
"birria","adicción al juego",""
"birrioso","que le gusta jugar mucho",""
"biscorneto","bizco, que padece estrabismo","el bizcorneto tiene el malvado vicio de robase las gallinas"
"bitoque","cánula que se asegura en el extremo del tubo para aplicar los enemas","si jueres a piquetiar/y el piquete se te empacha,/ metete una lavativa/con bitoque de arracacha"
"bitute","comida, alimento","no gana ni pal bitute"
"bizcochería","tienda donde se venden bizcochos, pasteles y golosinas",""
"bizcocho","persona muy atractiva para el sexo opuesto",""
"bizcocho","órgano genital de la mujer",""
"bizcorneto","bizco, que padece estrabismo","el bizcorneto tiene el malvado vicio de robase las gallinas"
"blanco","persona adinerada y de clase alta, sin importar el color de la piel","vean que ponerse a hablar de nobleza esta pastora [ .] ¡tan blanca que es y no se fija en el pelo pasudo que tiene"
"blanqueado","golosina elaborada con miel de caña que se bate, sin llegar al punto de caramelo","al ratico me dieron alfandoque, conejo y blanquiao"
"blanqueado","en un deporte o juego, apabullado, derrotado",""
"blanquiao","en un deporte o juego, apabullado, derrotado",""
"blanquiao","golosina elaborada con miel de caña que se bate, sin llegar al punto de caramelo","al ratico me dieron alfandoque, conejo y blanquiao"
"bluyines","pantalón de tela gruesa, generalmente azul, utilizado como prenda informal",""
"bluyín","pantalón de tela gruesa, generalmente azul, utilizado como prenda informal",""
"bocachico","pez de agua dulce y comestible, emblemático de la cultura ribereña colombiana",""
"bocadillo","dulce de guayaba en pasta, que originalmente se envolvía en hojas secas de plátano",""
"boconear","fanfarronear, decir baladronadas",""
"bocín","en el juego de tejo, artefacto que sirve de blanco, compuesto de un aro de metal, rodeado de mechas explosivas que estallan al contacto con los tejos",""
"bocón","que se expresa en forma soez u ofensiva",""
"bogar","beber con avidez y sin detenerse","pacho está bogando en la tienda desde la una. se lo bogó de una"
"boje","pulmón de la res destinado al consumo",""
"boje","blando, podrido","ese palo resultó boje"
"bojote","persona gorda","pascual es un bojote"
"bojote","envoltorio, paquete",""
"bola","persona tonta",""
"bolate","confusión por causa del movimiento desordenado de las personas","en el volate de la manifestación se me perdió el sombrero"
"bolear","despedir a alguien de un empleo",""
"boleta","ostentoso, indiscreto",""
"boletear","extorsionar a alguien por medio de un mensaje",""
"boletear","exhibirse de manera ostentosa e indiscreta",""
"boleteo","amenaza o extorsión",""
"bolillo","instrumento cilíndrico de madera o goma, de unos cincuenta centímetros de longitud, que usan los agentes de policía y los vigilantes",""
"bollo","enredo, problema",""
"bollo","persona antipática, pretenciosa","fulano o fulana es un bollo"
"bollo","mojón, porción compacta de excremento humano",""
"bollo","mujer joven y atractiva",""
"bololó","desorden, barullo",""
"bolsicona","mujer que usa el bolsicón",""
"bolsicón","enaguas de tela de algodón",""
"bolsiquear","esculcar subrepticiamente los bolsillos de alguien",""
"bolsón","tonto, sin inteligencia",""
"bomba","globo que se infla con aire o con gas","en la fiesta los arreglos fueron hechos con bombas de colores"
"bombada","alud, mole de agua, tierra o piedras que se precipitan desde una altura","la represa que se ha formado en el sirpe puede volverse una bombada"
"bombero","empleado que trabaja en una bomba de gasolina",""
"bombillo","bombilla eléctrica",""
"bonche","disputa, pelea",""
"bonche","tumulto, desorden, algarabía, disturbio","se armó el bonche"
"bongo","recipiente de madera o metal, de forma esférica y de poco fondo, empleado en las labores caseras","pues cuando ha tenido cara de estregale las patas a ese taita, y ella misma ha llevao el bongo con l'agua"
"bongo","canoa cubierta parcialmente con techumbre para transporte fluvial",""
"boqueto","que tiene labio leporino",""
"boquinche","que tiene labio leporino",""
"boquín","que tiene labio leporino",""
"boroló","desorden, barullo",""
"borona","partícula pequeña o fracción de algo","la porcelana quedó hecha boronas"
"borona","migaja",""
"borugo","paca, mamífero roedor",""
"botado","muy barato","ese libro está botado, cómpralo"
"botado","generoso, derrochador","carlos es botado con sus amigas"
"botado","fácil","acabé rápido la tarea porque estaba botada"
"botaina","vaina de cuero, acolchada con lana o algodón, que se pone sobre los espolones del gallo para que no hieran al adversario",""
"botalón","poste al que se amarran las bestias para amansarlas o herrarlas",""
"botar","arrojar, tirar algo al piso",""
"botar","extraviar, perder algo","boté la billetera"
"botar","despedir a alguien de un empleo",""
"botar corriente","interesarse de manera especial en alguien o algo","no bote corriente con ella porque está perdiendo el tiempo"
"botarata","despilfarrador, que gasta mucho dinero",""
"botarate","despilfarrador, que gasta mucho dinero",""
"bramadera","bravera o respiradero de los hornos",""
"bramadero","poste al que se sujetan las reses para amansarlas o herrarlas",""
"brocha","dicho de una persona, burda, ruda","ese amigo suyo es muy brocha"
"bronquinoso","pendenciero, peleador, camorrista",""
"buchácara","cierto juego de billar que consiste en meter todas las bolas en la busaca",""
