palabra;significado;ejemplo;fuente
abotar;Ubicarse alguien o algo en la orilla del río o la acera.;Niña, abótese que la puede atropellar el carro.;AcademiaColombianaLengua
abozado;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
abozao;Danza caracterizada por movimientos pélvicos enérgicos y rápidos de los danzantes y se acompaña con frecuentes gritos.;El grupo de Chocó bailó Voltea en ritmo de abozao que es una danza folclórica del Pacífico colombiano.;AcademiaColombianaLengua
abrebocas;Adelanto que a manera de muestra se ofrece como motivación para que el público asista a una presentación o a un espectáculo.;Cine, arte y paz en 5 cortometrajes de abrebocas al festival Caleidoscopio de sueños.;AcademiaColombianaLengua
abrigar;Calentar los alimentos en la estufa.;Le voy a abrigar la arepita para que le sepa más rico.;AcademiaColombianaLengua
abrigo;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
abrirse;Irse de un lugar.;No nos venga a engañar otra vez con sus cuentos, ábrase.;AcademiaColombianaLengua
abrochar;Exigirle duramente a alguien que realice una tarea o cumpla con sus deberes.;Ponte a hacer la tarea, antes de que alguien llegue y te abroche.;AcademiaColombianaLengua
abuelita;Cuna portátil para bebé que facilita llevarlo de un sitio a otro.;Trate de viajar en horarios que no haya congestión. Empaque un cargador de bebé, una abuelita cómoda o un coche portátil tipo paraguas.;AcademiaColombianaLengua
abullonado;Referido a un mueble o prenda de vestir, relleno o abultado por un material que se expande, utilizado en los textiles con que se recubren o elaboran estos objetos.;Mientras se acomoda en el abullonado sofá, sufre un remezón sentimental enorme.;AcademiaColombianaLengua
aburria;Ave de hasta 70 cm de longitud, de cabeza pequeña, cuello largo y delgado, patas amarillas y pico de color azul pálido en la base y oscuro en el extremo.;Esta pava se encuentra en estado de Casi Amenazada y es la única pava negra relativamente grande que habite en zonas montañosas.;AcademiaColombianaLengua
aburrición;Cosa o situación que produce pereza o falta de interés.;¡Qué aburrición! Siempre los mismos con lo mismo en lo mismo.;AcademiaColombianaLengua
acabado;Referido a una persona, con aspecto débil y enfermizo.;Si bien se ve acabado físicamente, su voz está intacta. Su intervención duró casi siete horas.;AcademiaColombianaLengua
acabarropa;Referido a una persona, holgazán.;Tronco acabarropa, no hizo nada y está pidiendo más plata.;AcademiaColombianaLengua
acabose;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
acartonado;Referido a una persona, poco natural en su comportamiento, esquemática.;El cantante vallenato no hacía gala de sus acostumbradas actuaciones y se le notaba serio y acartonado.;AcademiaColombianaLengua
acatar;Caer en cuenta de algo.;Sólo cuando descargamos el mercado acatamos que se nos habían quedado los plátanos en la casa del compadre.;AcademiaColombianaLengua
accesar;Tener acceso a los datos de un sistema informático.;Para accesar al sistema debes introducir tu contraseña.;AcademiaColombianaLengua
aceite;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
acelerado;Referido a una persona, que actúa con precipitud, impaciencia.;Sus amigos dicen que Angelita es muy acelerada, pero que siempre tiene iniciativa y es muy decidida.;AcademiaColombianaLengua
acelere;Afán o rapidez exagerada con que se hace algo.;El acelere de la Administración Municipal conlleva a graves errores en los cálculos de la tributación.;AcademiaColombianaLengua
acema;Pan dulce de forma redonda, elaborado con harina de trigo y bicarbonato sódico y condimentado con anís, papelón y, en ocasiones, queso rallado.;Que uno vaya a una casa a realizar un pesebre y le tengan su chocolate, su pedazo de queso, su pedazo de acema, se ve muy tradicional.;AcademiaColombianaLengua
acerola;Arbusto de hasta 6 m de altura, corteza obscura y denso ramaje, hojas simples de color verde obscuro, flores de color lila, rosado y blanco, su fruto es redondo y comestible.;Ejemplo no encontrado.;AcademiaColombianaLengua
achacado;Referido a una persona, enferma o débil, especialmente por problemas asociados con la vejez.;Volvió más achacado, entonces lo trajeron a la clínica. Pero él es fuerte y se está reponiendo.;AcademiaColombianaLengua
achajuanado;Referido a una persona o un animal, sofocado por el calor o el trabajo excesivo.;Los dos viajeros llegaron a la posada hambrientos y achajuanados.;AcademiaColombianaLengua
achantada;Depresión, abatimiento.;Ejemplo no encontrado.;AcademiaColombianaLengua
achantado;Referdio a una persona, triste, desencantado.;Así que empecé a devolverme y un poco achantado miraba atrás constantemente, en un intento por mantener la esperanza de llegar a verla.;AcademiaColombianaLengua
achantar;Desalentar o hacer perder el ánimo.;No se dejó achantar, decidió irse por el lado de la percusión rítmica y ahí, por fin, llegó el swing esperado.;AcademiaColombianaLengua
achante;Depresión, abatimiento.;Andaba en un achante porque nadie lo había felicitado de cumpleaños en el colegio.;AcademiaColombianaLengua
achapado;Referido a una persona, avara, tacaña.;Es muy achapado, dijo que quería ir al baño cuando ya íbamos a pagar.;AcademiaColombianaLengua
achicar;Extraer el agua que se mete en las embarcaciones al navegar.;Mijo, ayúdeme a achicar la champa para que no se nos hunda.;AcademiaColombianaLengua
achicharrar;Tostar demasiado o quemar algo.;Los campos se secaron y se achicharraron por la falta de lluvia, y las cosechas se marchitaban de sed.;AcademiaColombianaLengua
achicopalado;Referido a una persona, triste, desencantado.;Carajo, me hace falta Estelita hoy para subirme el ánimo, porque estoy achicopalada.;AcademiaColombianaLengua
achicopalar;Desalentar o hacer perder el ánimo.;Hay que sacarle también jugo a la experiencia, y eso depende de nosotras mismas, de no dejarnos achicopalar.;AcademiaColombianaLengua
achilado;Referido al cabello o a las plantas, deteriorados o sin la vitalidad que deberían mostrar.;Fue una música que los padres detestaron porque venía de personajes con el pelo lacio, largo y caótico, de barbas achiladas y guitarras destrozadas.;AcademiaColombianaLengua
achilar;Perder algo la apariencia de vitalidad que debería tener, especialmente el pelo y las plantas.;Se le achila el pelo a pesar de gastar fortunas en cuidados y tratamientos.;AcademiaColombianaLengua
achiote;Arbusto de hasta 5 m de altura, de hojas alternas, flores rosadas o rojas y fruto de color castaño cuyas semillas se usan como colorante o condimento.;El achiote crece y se desarrolla en muy buenas condiciones desde el nivel del mar hasta los 1.200 metros de altura.;AcademiaColombianaLengua
achiquitar;Hacer que algo sea más pequeño de lo normal.;No metas tu ropa de lana en la secadora, ya que se puede rasgar y achiquitar.;AcademiaColombianaLengua
achira;"Planta herbácea, de hasta 3 m de altura, con hojas grandes, flores amarillas, naranjas o rojas; sus hojas sirven para envolver algunos alimentos y de sus rizomas se extrae almidón comestible.";Por su buen tamaño, su color verde intenso y un sabor muy agradable, en algunas regiones de Colombia los tamales se envuelven en hojas de achira y no de plátano.;AcademiaColombianaLengua
achote;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
achucado;Referido a una persona, atragantado o que tiene dificultades para respirar ya sea por la comida, por enfermedad o por una aspiración.;Está como achucado por esa tos.;AcademiaColombianaLengua
achucarse;Referido a una persona o un animal, ahogarse con algo que le obstaculiza la garganta.;Me achuqué ayer por comer rápido y casi muero.;AcademiaColombianaLengua
achucharrar;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
achín;Planta herbácea, de hojas de color verde oscuro muy grandes, que se utilizan en el forraje y de tallos comestibles ricos en almidón al cocinarla cambia de blanco a morado.;También está la papa china o achín, un tubérculo parecido a la yuca, de gran tamaño y de sabor delicado, con la que se pueden preparar sudados y purés para acompañar pollo o mariscos.;AcademiaColombianaLengua
aco;Mezcla de maíz, linaza o cebada tostada y molida con panela o azúcar.;"Para preparar el aco, tostaba la linaza en callana y después se la molía; se cernía en cedazo muy fino y esta harina se la preparaba con panela rallada.";AcademiaColombianaLengua
acobalar;Devolver la simetría a algo que estaba torcido.;El taller ofrece chalecos, cascos, forros, mecánica en general, servicio electrónico, y técnicos en radiar y acobalar toda clase de rines.;AcademiaColombianaLengua
acolitar;Apoyar a una persona en algún proyecto o idea.;Antes de enviudar, su esposo le acolitó su voluntariado, como también le auspició sus clases de cocina.;AcademiaColombianaLengua
acomedido;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
acomedirse;Ofrecerse o ponerse al servicio de otro para hacer algo.;Como vieron que no podía solo, varios de sus compañeros rápidamente se acomidieron y con la fuerza de siete hombres, la pesada puerta se abrió lentamente.;AcademiaColombianaLengua
acondicionar;Modificar las características de algo, agregando un implemento que no es original.;Pensando en la calidad de vida de los discapacitados, la empresa ofrece acondicionar los vehículos y así mejorar su movilidad.;AcademiaColombianaLengua
acordeonero;Persona que toca en el acordeón música vallenata o músico que toca el acordeón en el conjunto vallenato.;Estos conjuntos clásicos se caracterizaban porque el acordeonero era el mismo cantante y se hacía acompañar de una caja y una guacharaca.;AcademiaColombianaLengua
acose;Persecusión o presión causada por la insistencia de alguien.;Pero qué acose el tuyo. Al menos espera a que lleguemos a la casa.;AcademiaColombianaLengua
acosón;Referido a una persona, que acostumbra presionar a los demás.;Soy muy exigente, muy acosón y me exijo a mí mismo. Discutir conmigo no es fácil, pero cedo ante las razones de la inteligencia.;AcademiaColombianaLengua
acotejar;Acomodar, disponer en orden una serie de objetos en un espacio o lugar;Se están acotejando las pruebas para demostrar que financieramente esta empresa no puede asumir el contrato.;AcademiaColombianaLengua
acuacultura;Técnica empleada para el cultivo de especies vegetales y animales acuáticas.;Ejemplo no encontrado.;AcademiaColombianaLengua
acudiente;Persona mayor de edad, generalmente familiar o amigo, que se hace responsable de un estudiante ante las directivas de una institución escolar.;El rector informó que el desconocido ingresó como cualquier acudiente que llega a la institución a traer a un estudiante que viene tarde.;AcademiaColombianaLengua
acuerpado;Referido a una persona, grande, robusta.;A la entrada un guardaespaldas de estatura media, acuerpado y de traje negro intenta impedir el ingreso de más personas.;AcademiaColombianaLengua
aculillarse;Atemorizarse o acobardarse alguien ante una situación.;Tembló la madre tierra y hasta los más incrédulos, los que no van a misa, se aculillaron, se echaron la bendición y gritaron.;AcademiaColombianaLengua
acurrucarse;Ponerse en posición de cuclillas.;En el momento en que la tierra se empezó a sacudir bruscamente, mi amigo tiró su bicicleta y se acurrucó al lado del barranco.;AcademiaColombianaLengua
acusaletas;Referido a una persona, que tiene por costumbre acusar a otros.;El niño Jorge Mario se ha ganado la enemistad de sus compañeros, que lo tildan de acusaletas.;AcademiaColombianaLengua
acusetas;Referido a una persona, que tiene por costumbre acusar a otros.;Pone en tela de juicio a todo el que se le atraviese, sin que hasta ahora en sus múltiples incursiones de rufián desafiante y acusetas, haya podido probar nada de lo que afirma.;AcademiaColombianaLengua
acápite;En un escrito legal, fragmento que aclara o especifica algún aspecto de una ley o un decreto.;En los acápites que se leen a continuación, se especifica cuando un hecho doloso puede considerarse como agravado.;AcademiaColombianaLengua
ademanoso;Referido a una persona, delicada por su excesiva compostura y esmero.;Ejemplo no encontrado.;AcademiaColombianaLengua
adulto;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
aeróbicos;Ejercicios físicos que se caracterizan por seguir esquemas rítmicos que generan un alto consumo de oxígeno y por tener acompañamiento musical.;La profesora de aeróbicos supervisa que los ejercicios se realicen de forma apropiada.;AcademiaColombianaLengua
afanar;Preocuparse o angustiarse ante una situación.;- Te veo muy seguro. - Lo he pensado con calma, sin afanarme.;AcademiaColombianaLengua
afiche;Cartel impreso con información, publicidad o contenidos decorativos.;¿Le prende veladora al afiche de la selección que tiene autografiado en el cuarto?;AcademiaColombianaLengua
afiebrado;Referido a una persona, que actúa con excesiva ansia por gusto o interés en la realización de algo.;El New York Times destaca que colombianos son los más 'afiebrados' por su selección de fútbol.;AcademiaColombianaLengua
afiebrarse;Tener fiebre.;Con la llegada de los primeros dientes lo más probable es que el niño se afiebre y tenga otras molestias.;AcademiaColombianaLengua
afilado;Referido a una persona, bien preparada para una prueba o examen.;Estudiamos en grupos y llegamos a presentar bien afiladas el examen final que tanto nos preocupaba.;AcademiaColombianaLengua
afilarse;Prepararse para realizar adecuadamente una tarea.;Tenía planeado trasnochar y afilarse para el examen de admisión.;AcademiaColombianaLengua
afirmativo;Entre militares, policías y operadores de radio, sí, aceptado o confirmado.;Afirmativo, mi General: en cosa de minutos le traigo al plomero.;AcademiaColombianaLengua
aflojachocho;Bebida alcohólica que desinhibe el deseo sexual.;Todos esos tragos eran bien recibidos por nosotros, sin embargo, yo le hacía fuerza para que mi amiga tomara el popular 'aflojachocho'.;AcademiaColombianaLengua
aforar;Referido al equipaje o a un producto, calcular su cantidad y su valor.;Si usted considera que su equipaje vale más entonces deberá aforar su equipaje en donde se asegurará y se declarará su valor.;AcademiaColombianaLengua
afrechero;Ave de hasta 16 cm de longitud, de coloración blanquecina o gris en el pecho y el vientre, y rayas negras y castañas en el dorso.;Ejemplo no encontrado.;AcademiaColombianaLengua
afrijolar;Propinar un golpe.;En medio del relajo le afrijolaron dos pepazos en la cabeza y por eso expulsaron al culpable.;AcademiaColombianaLengua
afro;Referido a una persona, que pertenece o que es propio de los afrocolombianos.;Dentro de un mes se realizará en Medellín la primera muestra de cine y video afro e indígena.;AcademiaColombianaLengua
afugias;Apuros, problemas, especialmente económicos.;El proyecto de reelección pasará sin mayores afugias su primera prueba esta semana en el Congreso.;AcademiaColombianaLengua
agache;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
agalla;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
agalludo;Referido a una persona, ambiciosa, que siempre busca obtener más de lo que sería justo.;Ya continuaremos esta crónica de cómo una nación, pequeña pero resuelta, agalluda como ninguna otra, acaba engulléndose a otra.;AcademiaColombianaLengua
agapanto;Planta ornamental de origen africano, de hasta 1 m de altura, hojas largas que salen de un mismo punto sin tallo visible.;Ejemplo no encontrado.;AcademiaColombianaLengua
agarrar;Obtener o conseguir algo, especialmente de manera veloz, ágil.;Fue Tránsito Ariza la que agarró la ocasión al vuelo y mandó a la viuda para el dormitorio del hijo, con el pretexto de que en el suyo no había lugar.;AcademiaColombianaLengua
agarrón;Altercado, riña muy fuerte o pelea a golpes.;El agarrón se filtró a los medios y al otro día era la comidilla de las crónicas políticas.;AcademiaColombianaLengua
agonía;Hambre.;Tengo una agonía en el estómago que con gusto me comería tu plato también.;AcademiaColombianaLengua
agregado;Persona encargada de administrar y vigilar una propiedad rural.;Ejemplo no encontrado.;AcademiaColombianaLengua
agria;Cerveza.;Ejemplo no encontrado.;AcademiaColombianaLengua
agrieras;Acidez estomacal.;Últimamente he tenido 'agrieras', que aparecen después de que he comido. Y para eso tomo antiácidos.;AcademiaColombianaLengua
agringarse;Adoptar los hábitos o el aspecto propios de un gringo.;Después de vivir tanto tiempo en Chicago, la verdad poco a poco se le ha ido el acento barranquillero que tenía, ya está empezando a agringarse.;AcademiaColombianaLengua
agrio;Referido a una persona, de mal carácter.;Su abuela paterna, una mujer agria y dominante, la cuidó desde sus cuatro años.;AcademiaColombianaLengua
agripado;Referido a una persona, enferma de gripa.;Consúltale si tu hijo puede realizar actividades normalmente a pesar de estar agripado.;AcademiaColombianaLengua
agriparse;Contagiarse y padecer de la gripa.;Ejemplo no encontrado.;AcademiaColombianaLengua
agropecuario;Referido a una persona, que tiene gustos grotescos, ordinaria.;Siempre que combinaba mal la ropa su tía arribista lo llamaba agropecuario.;AcademiaColombianaLengua
agua;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
aguacatado;Persona aburrida, que no gusta de las fiestas.;Según el actor su papel será el de un cachaco, realmente 'aguacatado' que le hará la vida imposible a su yerno.;AcademiaColombianaLengua
aguacatarse;Referido a una persona, intimidarse, asumir la posición menos comprometida frente a un problema o asunto.;Esa pelea ya la teníamos ganada en el juzgado, pero cuando el negocio subió al tribunal, mis abogados se aguacataron y les dio miedo o flojera.;AcademiaColombianaLengua
aguacate;Agente de la policía.;Ejemplo no encontrado.;AcademiaColombianaLengua
aguacero;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
aguachento;Referido a la consistencia de algo, acuosa o con exceso de agua, especialmente la textura de los alimentos.;Esta variedad de papa tiene la característica de ser más aguachenta: según el experto, no se deshace en caldos pero puede procesarse en forma de hojuelas y bastones.;AcademiaColombianaLengua
aguado;Referido a una sustancia, especialmente un alimento, con más agua o líquido del que debería tener y por tanto insípida.;Dicen los abuelos que si se está de mal humor o se lo prepara de mala gana, el ajiaco queda aguado, se agria o se corta.;AcademiaColombianaLengua
aguadulce;Bebida que se prepara cocinando la panela en agua.;Ejemplo no encontrado.;AcademiaColombianaLengua
aguaguado;Referido a un niño o adolescente, consentido o que se comporta de manera infantil.;Ese niño es muy aguaguado, no se le puede decir nada que por todo llora y les cuenta a sus padres.;AcademiaColombianaLengua
aguaitacaminos;Ave de hasta 28 cm de longitud, de plumaje  café grisáceo, blanco en la garganta y abdomen, pico corto, alas largas de punta redondeada y de canto persistente.;El llanero personifica en sus cantos, dichos y leyendas, al alcaraván, aguaitacaminos, y muchos otros animales, adjudicándoles propiedades, cualidades y defectos.;AcademiaColombianaLengua
aguaitar;Observar y esperar a alguien o algo con cautela y disimulo.;"Antes Nuánashe se volvía tigre y se comía la gente: un día fue a la roza con su mujer y se convirtió en tigre; la iba aguaitando, cada vez se le parecía más como a una piña, le pareció muy sabrosa y se la comió.";AcademiaColombianaLengua
aguaje;Ostentación de algo que no se es o no se tiene.;Ejemplo no encontrado.;AcademiaColombianaLengua
aguajina;Bebida refrescante que se elabora con la pulpa del fruto de la palma de aguaje y agua.;Del aguaje maduro se obtiene la pulpa sin semilla de donde se elabora la aguajina: bebida denominada 'leche de la Amazonía'.;AcademiaColombianaLengua
aguallevame;Referido a una persona, que se deja influenciar por otros.;Debe argumentar muy bien sus razones a Marcos, a Pedro no porque es un aguallevame, con él todo es más fácil.;AcademiaColombianaLengua
aguamasa;Mezcla de residuos orgánicos de alimentos que sirve para alimentar a los cerdos.;El porcicultor sabe que a sus animales no les puede dar el coctel de desperdicios humanos e inhumanos que suele ser la aguamasa.;AcademiaColombianaLengua
aguamiel;Mezcla de agua con panela o con el jugo de la caña cocinado.;Las mulas después de desaparejadas se revolcaban en el polvo y tomaban su aguamiel, comían su caña y se les echaba agua por el lomo.;AcademiaColombianaLengua
aguamil;Lavamanos.;Como siempre, se lavó las manos en el aguamil antes de sentarse a comer.;AcademiaColombianaLengua
aguanoso;Referido a un tubérculo, especialmente a la yuca, que adquiere una consistencia cristalina después de cocinada.;Según la clasificación de los indígenas existen dos tipos de yuca: una aguanosa que no se aprecia y una arenosa que es rica y apetecida.;AcademiaColombianaLengua
aguantador;Referido a una persona o a algo, que resiste un esfuerzo físico o un deterioro.;Esa carpa era aguantadora. Había pasado por varios campamentos y estaba intacta.;AcademiaColombianaLengua
aguantar;Referido a una persona, que tiene afán o poco tiempo para esperar por alguien o por algo.;Ejemplo no encontrado.;AcademiaColombianaLengua
aguapanela;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
aguarapar;Referido a la caña de azúcar o a una fruta, adquirir el sabor y la consistencia del guarapo.;Debido a la falta de agua y los intensos soles, los jugos dentro de la caña se aguarapan.;AcademiaColombianaLengua
aguardientoso;Referido a una persona, que tiene voz ronca y áspera.;Uno no tiene que disfrazar el ajedrez de emocionante, ni de narrador aguardientoso para que sea atractivo.;AcademiaColombianaLengua
aguarse;Llenarse de lágrimas los ojos de alguien a causa de una emoción.;Se me aguaron los ojos al despedirme porque recordé en una sola instantánea los momentos más luminosos de mi infancia.;AcademiaColombianaLengua
aguasal;Caldo hecho a base de cebolla, sal, huevo y, en ocasiones, tomate y cilantro.;Le recomendaron tomar aguasal para su malestar de estómago.;AcademiaColombianaLengua
aguatero;Persona que tiene por oficio trasportar y vender agua.;El oficio de aguadora o aguatera fue muy popular en épocas en que no estaba generalizado el suministro de agua corriente.;AcademiaColombianaLengua
aguatudo;Río crecido que, por mezclarse con el material de su cauce, se torna espeso y de color arcilloso.;Y arrancó a correr sin darse cuenta de que el río bajaba aguatudo y violento. Por poco se resbala y quién sabe a dónde hubiera ido a parar.;AcademiaColombianaLengua
aguijar;Incitar a un perro para que ataque.;El perro me mordió porque usted me lo aguijó.;AcademiaColombianaLengua
aguinaldo;Juegos variados que se hacen en la temporada navideña, generalmente del 16 al 24 de diciembre, donde el jugador que acumule más puntos recibe un premio.;No deje pasar esta Navidad sin jugar aguinaldos, una buena manera de recordar el primer beso robado y la primera pajita en boca.;AcademiaColombianaLengua
agutí;Mamífero roedor de tamaño mediano, cuerpo alargado que vive en cuevas y zonas boscosas.;Ejemplo no encontrado.;AcademiaColombianaLengua
agáchese;Puesto de venta informal o conjunto de estos puestos en el que se ofrecen diversidad de artículos  en el piso o en mesas muy bajas en los andenes de la ciudad.;La gente empezó a llamar a esos puestos los agáchese por la necesidad del cliente de doblarse por la cintura para alcanzar algún artículo que llamara su atención.;AcademiaColombianaLengua
agüerista;Referido a una persona, que cree ciegamente en los agüeros.;Mi abuela es demasiado agüerista. Ella me mantiene hasta el cuello con sus temores y cuidados: que cuidado pasas debajo de una escalera, que cuidado se te riega la sal o el azúcar.;AcademiaColombianaLengua
agüero;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
agüevado;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
agüevar;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
ahogado;Referido a un político, que ha perdido las elecciones.;Para Concejo su hermano resultó ahogado por un voto.;AcademiaColombianaLengua
ahorcado;Referido a una persona, que cuenta con poco dinero para cubrir sus obligaciones.;Está ahorcado pagando las cuotas del apartamento.;AcademiaColombianaLengua
ahorcar;Estrangular, asfixiar a alguien apretándole el cuello.;Cuando don Gabriel se le arrojó encima para ahorcarlo, Mr. Carl Michael lo rechazó de un disparo en la pierna.;AcademiaColombianaLengua
ahorita;En un momento, no de inmediato.;No mamá, nos pusimos a revisar unas cosas del colegio y se me hizo tarde, pero si quiere almorzamos ahorita con sumercé.;AcademiaColombianaLengua
ahoritica;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
ahuevado;Tonto, que actúa con poca inteligencia o poco entendimiento.;Ejemplo no encontrado.;AcademiaColombianaLengua
ahuevar;Actuar con poca inteligencia o poco entendimiento.;Ejemplo no encontrado.;AcademiaColombianaLengua
ahuevonar;Hacer que alguien actúe con poca inteligencia o poco entendimiento.;Ejemplo no encontrado.;AcademiaColombianaLengua
ahuyama;"Planta rastrera, con tallos muy largos y cubiertos de pelos ásperos, hojas anchas y lobuladas; grandes flores amarillas y fruto de gran tamaño.";Vasijas Quimbayas y del imperio Inca, hablan de la antigüedad de la ahuyama en el mundo indoamericano.;AcademiaColombianaLengua
ahí;No muy bien, más o menos.;"Cuando te saludamos y nos contestaste: ""Ahí, sin novedad"", supimos que no te había ido del todo bien en el examen.";AcademiaColombianaLengua
aire;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
ajetreo;Relación sexual.;Se vanaglorian de hacer el amor tres veces por noche y de reventar en pareja las cuerdas del mosquitero o de caerse en pleno ajetreo de la hamaca al suelo.;AcademiaColombianaLengua
ajiaco;Sopa espesa, de la cocina tradicional del altiplano cundiboyacense, hecho con diversas clases de papa, pollo, maíz tierno, y aromatizado con hojas de guasca.;Sobre la mesa hay alcaparras y crema de leche. Anuncio indudable del menú que los espera. Ajiaco santafereño.;AcademiaColombianaLengua
ajicero;Recipiente que contiene la salsa de ají.;Ejemplo no encontrado.;AcademiaColombianaLengua
ajicie;Afición causada por algo nuevo, un objeto o actividad.;Nos dejó este video en nuestro muro, y con tanto ajicie y ganas, cómo no lo íbamos a publicar.;AcademiaColombianaLengua
ajustar;Referido a una persona, llegar a cierta edad.;Ella es oriunda de Chiquinquirá, allá conoció a José Vicente, cuando ella apenas ajustaba 15 años.;AcademiaColombianaLengua
ají;Planta herbácea de hasta 2 m de altura, hojas lanceoladas, flores blancas, moradas o verdes en racimos y fruto comestible.;Ejemplo no encontrado.;AcademiaColombianaLengua
ala;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
alabado;Canto de alabanza ofrendado a Dios, a los santos y como homenaje en un funeral de un adulto, especialmente durante el velorio y en la última noche de la novena.;Los santos alabados reflejan tristeza, despedidas, perdón, dolor por el amigo, padre, hijo o, en general, por algún familiar que murió.;AcademiaColombianaLengua
alabao;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
alambique;Lugar clandestino en el que se fabrica aguardiente.;Ejemplo no encontrado.;AcademiaColombianaLengua
alambre;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
alargue;En algunos deportes, como el fútbol, tiempo extra que se juega después de la finalización del partido, en caso de empate en el marcador.;Ya en el segundo minuto del alargue, el delantero alemán anotaba el uno a cero con el que finalmente su equipo ganó el partido.;AcademiaColombianaLengua
alarma;Definición no encontrada.;Ejemplo no encontrado.;AcademiaColombianaLengua
alberca;Depósito de agua del lavadero de una casa.;Es necesario saber que los pequeños se pueden ahogar en una alberca, en un estanque de agua o incluso en la tina de bañarlos.;AcademiaColombianaLengua
albiriscado;Referido a una persona, que está alborotada o exaltada.;Usted estaba contentísimo y muy albiriscado porque yo me dejé besar las orejas y el cuello, y entonces empezó a beber sabajón y brandy como un loco.;AcademiaColombianaLengua
alboroto;Golosina redonda que se forma bañando maíz pira o millo con melao de panela o miel.;Ejemplo no encontrado.;AcademiaColombianaLengua
alcabala;Retén o puesto de vigilancia que hay en las carreteras o fronteras.;Ellos se embarcan en moto, teniendo que recorrer más de dos horas, hasta llegar a otra alcabala y si cuentan con suerte, se salvan de una atracada.;AcademiaColombianaLengua
