modismo,amazon_nova-micro-v1
abrirse,"{""prompt_id"": ""P3"", ""input"": ""No nos venga a engañar otra vez con sus cuentos, ábrase."", ""output"": {""definicion"": ""Advertencia para que alguien deje de mentir o de ocultar la verdad."", ""es_modismo"": ""No""}}"
abrochar,"{""prompt_id"": ""P3"", ""input"": ""Ponte a hacer la tarea, antes de que alguien llegue y te abroche."", ""output"": {""definicion"": ""Comienza a hacer la tarea para evitar problemas o críticas cuando llegue alguien."", ""es_modismo"": ""Sí""}}"
abuelita,"{""prompt_id"": ""P3"", ""input"": ""Trate de viajar en horarios que no haya congestión. Empaque un cargador de bebé, una abuelita cómoda o un coche portátil tipo paraguas."", ""output"": {""definicion"": ""Instrucciones para viajar de manera eficiente y cómoda, incluyendo sugerencias para equipaje."", ""es_modismo"": ""No""}}"
abullonado,"{""prompt_id"": ""P3"", ""input"": ""Mientras se acomoda en el abullonado sofá, sufre un remezón sentimental enorme."", ""output"": {""definicion"": ""Una persona se sienta en un sofá viejo y experimenta una intensa emoción o recuerdo."", ""es_modismo"": ""No""}}"
aburria,"{""prompt_id"": ""P3"", ""input"": ""Esta pava se encuentra en estado de Casi Amenazada y es la única pava negra relativamente grande que habite en zonas montañosas."", ""output"": {""definicion"": ""Referido a una especie de ave, probablemente el carricero negro (Laterallus jamaicensis), que se encuentra en peligro de extinción y habita en zonas montañosas."", ""es_modismo"": ""No""}}"
aburrición,"{""prompt_id"": ""P3"", ""input"": ""¡Qué aburrición! Siempre los mismos con lo mismo en lo mismo."", ""output"": {""definicion"": ""Expresión de desinterés o hastío por una situación repetida."", ""es_modismo"": ""Sí""}}"
acabado,"{""prompt_id"": ""P3"", ""input"": ""Si bien se ve acabado físicamente, su voz está intacta. Su intervención duró casi siete horas."", ""output"": {""definicion"": ""Descripción de la condición física de una persona contrapuesta con la calidad de su voz y la duración de su intervención."", ""es_modismo"": ""No""}}"
acabarropa,"{""prompt_id"": ""P3"", ""input"": ""Tronco acabarropa, no hizo nada y está pidiendo más plata."", ""output"": {""definicion"": ""Persona que pide constantemente más dinero o recompensas, aun cuando no ha hecho nada significativo."", ""es_modismo"": ""Sí""}}"
acabose,"{""prompt_id"": ""P3"", ""input"": ""El restaurante dejaba mucho que desear pero el acabose fue cuando los meseros exigieron unas propinas exageradas."", ""output"": {""definicion"": ""La situación que llegó al punto de extremo o al límite inaceptable."", ""es_modismo"": ""Sí""}}"
acartonado,"{""prompt_id"": ""P3"", ""input"": ""El cantante vallenato no hacía gala de sus acostumbradas actuaciones y se le notaba serio y acartonado."", ""output"": {""definicion"": ""Mostrar o exhibir con orgullo una cualidad o habilidad."", ""es_modismo"": ""Sí""}}"
acatar,"{""prompt_id"": ""P3"", ""input"": ""Sólo cuando descargamos el mercado acatamos que se nos habían quedado los plátanos en la casa del compadre."", ""output"": {""definicion"": ""Reconocer demasiado tarde una situación familiar que se ha acumulado."", ""es_modismo"": ""Sí""}}"
accesar,"{""prompt_id"": ""P3"", ""input"": ""Para accesar al sistema debes introducir tu contraseña."", ""output"": {""definicion"": ""Acceder al sistema introduciendo la contraseña de seguridad."", ""es_modismo"": ""No""}}"
aceite,"{""prompt_id"": ""P3"", ""input"": ""Los camioneros le midieron el aceite al nuevo ministro amenazándolo con un paro de transportadores que nunca pensaron llevar a cabo."", ""output"": {""definicion"": ""Expresión que hace referencia a someter a alguien a una presión o a una prueba severa para evaluar su reacción."", ""es_modismo"": ""Sí""}}"
acelerado,"{""prompt_id"": ""P3"", ""input"": ""Sus amigos dicen que Angelita es muy acelerada, pero que siempre tiene iniciativa y es muy decidida."", ""output"": {""definicion"": ""Angelita es una persona que actúa con rapidez y entusiasmo, pero también demuestra proactividad y firmeza en sus decisiones."", ""es_modismo"": ""No""}}"
acelere,"{""prompt_id"": ""P3"", ""input"": ""El acelere de la Administración Municipal conlleva a graves errores en los cálculos de la tributación."", ""output"": {""definicion"": ""La rapidez excesiva en las operaciones de la Administración Municipal que resulta en errores significativos en los cálculos de impuestos."", ""es_modismo"": ""No""}}"
acema,"{""prompt_id"": ""P3"", ""input"": ""Que uno vaya a una casa a realizar un pesebre y le tengan su chocolate, su pedazo de queso, su pedazo de acema, se ve muy tradicional."", ""output"": {""definicion"": ""Una expresión que describe la tradición de recibir pequeños regalos o atenciones en una casa durante una visita, especialmente en contextos festivos o tradicionales."", ""es_modismo"": ""Sí""}}"
acerola,"{""prompt_id"": ""P3"", ""input"": ""acerola"", ""output"": {""definicion"": ""Fruta pequeña de color rojo o rosa con una apariencia similar a una fresa, originaria de América del Sur."", ""es_modismo"": ""No""}}"
achacado,"{""prompt_id"": ""P3"", ""input"": ""Volvió más achacado, entonces lo trajeron a la clínica. Pero él es fuerte y se está reponiendo."", ""output"": {""definicion"": ""El sujeto ha empeorado de salud y fue llevado a un centro médico; sin embargo, está recuperando fuerzas."", ""es_modismo"": ""No""}}"
achajuanado,"{""prompt_id"": ""P3"", ""input"": ""Los dos viajeros llegaron a la posada hambrientos y achajuanados."", ""output"": {""definicion"": ""Los viajeros estaban muy cansados y con hambre."", ""es_modismo"": ""No""}}"
achantada,"{""prompt_id"": ""P3"", ""input"": ""achantada"", ""output"": {""definicion"": ""Una persona que está achantada es alguien que está abatido, desanimado o con poca energía."", ""es_modismo"": ""No""}}"
achantado,"{""prompt_id"": ""P3"", ""input"": ""Así que empecé a devolverme y un poco achantado miraba atrás constantemente, en un intento por mantener la esperanza de llegar a verla."", ""output"": {""definicion"": ""Volver a uno mismo, retroceder o reconsiderar una acción."", ""es_modismo"": ""No""}}"
achantar,"{""prompt_id"": ""P3"", ""input"": ""No se dejó achantar, decidió irse por el lado de la percusión rítmica y ahí, por fin, llegó el swing esperado."", ""output"": {""definicion"": ""Expresiones utilizadas en el contexto de la música y la percusión, donde 'achantar' se refiere a intimidar o asustar, y 'swing esperado' es un término musical para un ritmo esperado."", ""es_modismo"": ""No""}}"
achante,"{""prompt_id"": ""P3"", ""input"": ""Andaba en un achante porque nadie lo había felicitado de cumpleaños en el colegio."", ""output"": {""definicion"": ""Estaba molesto o enojado debido a que no había recibido felicitaciones por su cumpleaños en el colegio."", ""es_modismo"": ""Sí""}}"
achapado,"{""prompt_id"": ""P3"", ""input"": ""Es muy achapado, dijo que quería ir al baño cuando ya íbamos a pagar."", ""output"": {""definicion"": ""Se refiere a alguien que actúa de manera deshonesta o que miente para evitar cumplir con un compromiso."", ""es_modismo"": ""No""}}"
achicar,"{""prompt_id"": ""P3"", ""input"": ""Mijo, ayúdeme a achicar la champa para que no se nos hunda."", ""output"": {""definicion"": ""'Mijo' es un término de cariño que se usa para referirse a un hijo o a alguien cercano. 'Achicar la champa' es una expresión que no conozco específicamente en el español colombiano estándar, pero podría referirse a reducir o disminuir algo, quizás en este contexto específico se refiere a reducir el peso o la carga en algo para evitar que se hunda. 'Se nos hunda' indica que algo, probablemente una embarcación, está a punto de hundirse."", ""es_modismo"": ""No""}}"
achicharrar,"{""prompt_id"": ""P3"", ""input"": ""Los campos se secaron y se achicharraron por la falta de lluvia, y las cosechas se marchitaban de sed."", ""output"": {""definicion"": ""Los campos perdieron humedad y se volvieron secos y quemados debido a la falta de precipitación, y las plantas se deshidratan y se debilitan."", ""es_modismo"": ""No""}}"
achicopalado,"{""prompt_id"": ""P3"", ""input"": ""Carajo, me hace falta Estelita hoy para subirme el ánimo, porque estoy achicopalada."", ""output"": {""definicion"": ""Expresación de deseo de tener a alguien para levantar el ánimo, debido a un estado de ánimo bajo."", ""es_modismo"": ""Sí""}}"
achicopalar,"{""prompt_id"": ""P3"", ""input"": ""Hay que sacarle también jugo a la experiencia, y eso depende de nosotras mismas, de no dejarnos achicopalar."", ""output"": {""definicion"": ""Aprovechar al máximo las enseñanzas y aprendizajes obtenidos a partir de una experiencia."", ""es_modismo"": ""Sí""}}"
achilado,"{""prompt_id"": ""P3"", ""input"": ""Fue una música que los padres detestaron porque venía de personajes con el pelo lacio, largo y caótico, de barbas achiladas y guitarras destrozadas."", ""output"": {""definicion"": ""Estilo musical asociado con una imagen visual particular y rechazado por los padres debido a su apariencia y estilo."", ""es_modismo"": ""No""}}"
achilar,"{""prompt_id"": ""P3"", ""input"": ""Se le achila el pelo a pesar de gastar fortunas en cuidados y tratamientos."", ""output"": {""definicion"": ""La expresión describe una situación en la que una persona invierte mucho dinero en cuidar y tratar su cabello, pero a pesar de ello, no logra mantenerlo saludable."", ""es_modismo"": ""No""}}"
achiote,"{""prompt_id"": ""P3"", ""input"": ""El achiote crece y se desarrolla en muy buenas condiciones desde el nivel del mar hasta los 1.200 metros de altura."", ""output"": {""definicion"": ""Referencia al cultivo de la planta achiote (Bixa orellana), que prospera en una variedad de altitudes."", ""es_modismo"": ""No""}}"
achiquitar,"{""prompt_id"": ""P3"", ""input"": ""No metas tu ropa de lana en la secadora, ya que se puede rasgar y achiquitar."", ""output"": {""definicion"": ""Instrucciones para no dañar prendas de lana al secarlas."", ""es_modismo"": ""No""}}"
achira,"{""prompt_id"": ""P3"", ""input"": ""Por su buen tamaño, su color verde intenso y un sabor muy agradable, en algunas regiones de Colombia los tamales se envuelven en hojas de achira y no de plátano."", ""output"": {""definicion"": ""Utilización de hojas de achira en lugar de las típicas de plátano para envolver tamales."", ""es_modismo"": ""No""}}"
achucado,"{""prompt_id"": ""P3"", ""input"": ""Está como achucado por esa tos."", ""output"": {""definicion"": ""Se dice de alguien que está molestado o afectado por una tos persistente."", ""es_modismo"": ""Sí""}}"
